period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,32.0,68.0,,,32%,68%,2,ballPossession
ALL,Match overview,Expected goals,0.47,0.87,,,0.47,0.87,2,expectedGoals
ALL,Match overview,Big chances,1.0,0.0,,,1,0,1,bigChanceCreated
ALL,Match overview,Total shots,3.0,23.0,,,3,23,2,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,7.0,0.0,,,7,0,1,goalkeeperSaves
ALL,Match overview,Corner kicks,0.0,6.0,,,0,6,2,cornerKicks
ALL,Match overview,Fouls,18.0,12.0,,,18,12,1,fouls
ALL,Match overview,Passes,282.0,597.0,,,282,597,2,passes
ALL,Match overview,Tackles,12.0,15.0,,,12,15,2,totalTackle
ALL,Match overview,Free kicks,12.0,18.0,,,12,18,2,freeKicks
ALL,Match overview,Yellow cards,6.0,5.0,,,6,5,1,yellowCards
ALL,Shots,Total shots,3.0,23.0,,,3,23,2,totalShotsOnGoal
ALL,Shots,Shots on target,1.0,8.0,,,1,8,2,shotsOnGoal
ALL,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
ALL,Shots,Shots off target,0.0,5.0,,,0,5,2,shotsOffGoal
ALL,Shots,Blocked shots,2.0,10.0,,,2,10,2,blockedScoringAttempt
ALL,Shots,Shots inside box,3.0,12.0,,,3,12,2,totalShotsInsideBox
ALL,Shots,Shots outside box,0.0,11.0,,,0,11,2,totalShotsOutsideBox
ALL,Attack,Big chances scored,1.0,0.0,,,1,0,1,bigChanceScored
ALL,Attack,Through balls,0.0,2.0,,,0,2,2,accurateThroughBall
ALL,Attack,Fouled in final third,0.0,9.0,,,0,9,2,fouledFinalThird
ALL,Attack,Offsides,2.0,0.0,,,2,0,1,offsides
ALL,Passes,Accurate passes,215.0,526.0,,,215,526,2,accuratePasses
ALL,Passes,Throw-ins,9.0,25.0,,,9,25,2,throwIns
ALL,Passes,Final third entries,35.0,78.0,,,35,78,2,finalThirdEntries
ALL,Passes,Long balls,26.0,13.0,54.0,21.0,26/54 (48%),13/21 (62%),2,accurateLongBalls
ALL,Passes,Crosses,0.0,5.0,6.0,21.0,0/6 (0%),5/21 (24%),2,accurateCross
ALL,Duels,Duels,45.0,55.0,,,45%,55%,2,duelWonPercent
ALL,Duels,Dispossessed,8.0,7.0,,,8,7,1,dispossessed
ALL,Duels,Ground duels,33.0,45.0,78.0,78.0,33/78 (42%),45/78 (58%),2,groundDuelsPercentage
ALL,Duels,Aerial duels,5.0,2.0,7.0,7.0,5/7 (71%),2/7 (29%),1,aerialDuelsPercentage
ALL,Duels,Dribbles,9.0,12.0,16.0,17.0,9/16 (56%),12/17 (71%),2,dribblesPercentage
ALL,Defending,Tackles won,7.0,6.0,12.0,15.0,58%,40%,1,wonTacklePercent
ALL,Defending,Total tackles,12.0,15.0,,,12,15,2,totalTackle
ALL,Defending,Interceptions,10.0,4.0,,,10,4,1,interceptionWon
ALL,Defending,Recoveries,58.0,39.0,,,58,39,1,ballRecovery
ALL,Defending,Clearances,28.0,7.0,,,28,7,1,totalClearance
ALL,Goalkeeping,Total saves,7.0,0.0,,,7,0,1,goalkeeperSaves
ALL,Goalkeeping,Goals prevented,0.4177,-1.2138,,,0.42,-1.21,1,goalsPrevented
ALL,Goalkeeping,Goal kicks,9.0,3.0,,,9,3,1,goalKicks
1ST,Match overview,Ball possession,31.0,69.0,,,31%,69%,2,ballPossession
1ST,Match overview,Expected goals,0.11,0.51,,,0.11,0.51,2,expectedGoals
1ST,Match overview,Big chances,0.0,0.0,,,0,0,3,bigChanceCreated
1ST,Match overview,Total shots,1.0,13.0,,,1,13,2,totalShotsOnGoal
1ST,Match overview,Goalkeeper saves,2.0,0.0,,,2,0,1,goalkeeperSaves
1ST,Match overview,Corner kicks,0.0,2.0,,,0,2,2,cornerKicks
1ST,Match overview,Passes,141.0,318.0,,,141,318,2,passes
1ST,Match overview,Tackles,6.0,8.0,,,6,8,2,totalTackle
1ST,Match overview,Free kicks,5.0,11.0,,,5,11,2,freeKicks
1ST,Match overview,Yellow cards,2.0,1.0,,,2,1,1,yellowCards
1ST,Shots,Total shots,1.0,13.0,,,1,13,2,totalShotsOnGoal
1ST,Shots,Shots on target,0.0,2.0,,,0,2,2,shotsOnGoal
1ST,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
1ST,Shots,Shots off target,0.0,3.0,,,0,3,2,shotsOffGoal
1ST,Shots,Blocked shots,1.0,8.0,,,1,8,2,blockedScoringAttempt
1ST,Shots,Shots inside box,1.0,9.0,,,1,9,2,totalShotsInsideBox
1ST,Shots,Shots outside box,0.0,4.0,,,0,4,2,totalShotsOutsideBox
1ST,Attack,Big chances scored,0.0,0.0,,,0,0,3,bigChanceScored
1ST,Attack,Through balls,0.0,1.0,,,0,1,2,accurateThroughBall
1ST,Attack,Fouled in final third,0.0,5.0,,,0,5,2,fouledFinalThird
1ST,Attack,Offsides,0.0,0.0,,,0,0,3,offsides
1ST,Passes,Accurate passes,112.0,288.0,,,112,288,2,accuratePasses
1ST,Passes,Throw-ins,4.0,11.0,,,4,11,2,throwIns
1ST,Passes,Final third entries,12.0,36.0,,,12,36,2,finalThirdEntries
1ST,Passes,Long balls,14.0,6.0,21.0,8.0,14/21 (67%),6/8 (75%),2,accurateLongBalls
1ST,Passes,Crosses,0.0,1.0,3.0,8.0,0/3 (0%),1/8 (13%),2,accurateCross
1ST,Duels,Duels,42.0,58.0,,,42%,58%,2,duelWonPercent
1ST,Duels,Dispossessed,6.0,3.0,,,6,3,1,dispossessed
1ST,Duels,Ground duels,17.0,27.0,44.0,44.0,17/44 (39%),27/44 (61%),2,groundDuelsPercentage
1ST,Duels,Aerial duels,3.0,1.0,4.0,4.0,3/4 (75%),1/4 (25%),1,aerialDuelsPercentage
1ST,Duels,Dribbles,6.0,8.0,8.0,11.0,6/8 (75%),8/11 (73%),1,dribblesPercentage
1ST,Defending,Tackles won,4.0,4.0,6.0,8.0,67%,50%,1,wonTacklePercent
1ST,Defending,Total tackles,6.0,8.0,,,6,8,2,totalTackle
1ST,Defending,Interceptions,4.0,3.0,,,4,3,1,interceptionWon
1ST,Defending,Recoveries,27.0,18.0,,,27,18,1,ballRecovery
1ST,Defending,Clearances,12.0,5.0,,,12,5,1,totalClearance
1ST,Goalkeeping,Total saves,2.0,0.0,,,2,0,1,goalkeeperSaves
1ST,Goalkeeping,Goal kicks,5.0,2.0,,,5,2,1,goalKicks
2ND,Match overview,Ball possession,33.0,67.0,,,33%,67%,2,ballPossession
2ND,Match overview,Expected goals,0.35,0.35,,,0.35,0.35,3,expectedGoals
2ND,Match overview,Big chances,1.0,0.0,,,1,0,1,bigChanceCreated
2ND,Match overview,Total shots,2.0,10.0,,,2,10,2,totalShotsOnGoal
2ND,Match overview,Goalkeeper saves,5.0,0.0,,,5,0,1,goalkeeperSaves
2ND,Match overview,Corner kicks,0.0,4.0,,,0,4,2,cornerKicks
2ND,Match overview,Passes,141.0,279.0,,,141,279,2,passes
2ND,Match overview,Tackles,6.0,7.0,,,6,7,2,totalTackle
2ND,Match overview,Free kicks,7.0,7.0,,,7,7,3,freeKicks
2ND,Match overview,Yellow cards,4.0,4.0,,,4,4,3,yellowCards
2ND,Shots,Total shots,2.0,10.0,,,2,10,2,totalShotsOnGoal
2ND,Shots,Shots on target,1.0,6.0,,,1,6,2,shotsOnGoal
2ND,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
2ND,Shots,Shots off target,0.0,2.0,,,0,2,2,shotsOffGoal
2ND,Shots,Blocked shots,1.0,2.0,,,1,2,2,blockedScoringAttempt
2ND,Shots,Shots inside box,2.0,3.0,,,2,3,2,totalShotsInsideBox
2ND,Shots,Shots outside box,0.0,7.0,,,0,7,2,totalShotsOutsideBox
2ND,Attack,Big chances scored,1.0,0.0,,,1,0,1,bigChanceScored
