minute,value
1.0,-4
2.0,-3
3.0,6
4.0,1
5.0,27
6.0,64
7.0,39
8.0,18
9.0,32
10.0,15
11.0,14
12.0,4
13.0,2
14.0,-43
15.0,-29
16.0,-14
17.0,-38
18.0,-72
19.0,-44
20.0,-30
21.0,-23
22.0,26
23.0,9
24.0,2
25.0,-5
26.0,-41
27.0,-37
28.0,-33
29.0,-70
30.0,-100
31.0,-70
32.0,-39
33.0,-32
34.0,-24
35.0,-12
36.0,-7
37.0,32
38.0,16
39.0,14
40.0,18
41.0,9
42.0,2
43.0,15
44.0,-15
45.0,-5
45.5,13
46.0,6
47.0,-16
48.0,-8
49.0,-11
50.0,-15
51.0,-21
52.0,-12
53.0,-8
54.0,9
55.0,6
56.0,19
57.0,22
58.0,18
59.0,11
60.0,-23
61.0,-4
62.0,-9
63.0,-28
64.0,-23
65.0,-50
66.0,-55
67.0,-29
68.0,-22
69.0,22
70.0,3
71.0,-4
72.0,21
73.0,7
74.0,-7
75.0,-9
76.0,28
77.0,-49
78.0,-61
79.0,-45
80.0,-40
81.0,-37
82.0,-23
83.0,-20
84.0,-18
85.0,-30
86.0,-52
87.0,-37
88.0,-100
89.0,-71
90.0,-53
90.5,-14
