minute,value
1.0,-1
2.0,-11
3.0,-22
4.0,-20
5.0,-63
6.0,-40
7.0,-17
8.0,-3
9.0,46
10.0,37
11.0,31
12.0,21
13.0,-90
14.0,-42
15.0,-26
16.0,75
17.0,39
18.0,31
19.0,18
20.0,11
21.0,-1
22.0,-83
23.0,-49
24.0,-27
25.0,-16
26.0,-30
27.0,-10
28.0,19
29.0,16
30.0,26
31.0,13
32.0,13
33.0,48
34.0,27
35.0,-56
36.0,-17
37.0,-4
38.0,-7
39.0,36
40.0,62
41.0,48
42.0,55
43.0,27
44.0,34
45.0,24
45.5,55
46.0,9
47.0,4
48.0,7
49.0,16
50.0,60
51.0,63
52.0,13
53.0,12
54.0,7
55.0,24
56.0,13
57.0,-10
58.0,-1
59.0,1
60.0,-17
61.0,-3
62.0,114
63.0,74
64.0,53
65.0,57
66.0,49
67.0,81
68.0,53
69.0,37
70.0,25
71.0,51
72.0,34
73.0,-27
74.0,6
75.0,6
76.0,6
77.0,-16
78.0,8
79.0,14
80.0,-21
81.0,-1
82.0,12
83.0,13
84.0,37
85.0,30
86.0,24
87.0,26
88.0,23
89.0,11
90.0,12
90.5,77
