name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ
Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,3693,M,901892,"{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",False,block,assisted,right-foot,41,2422,2422,,16.1,65.6,0,54.7,19.0
Jordan Clark,,,jordan-clark,J. Clark,M,18,124,M,150477,"{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",False,block,assisted,right-foot,41,2419,2419,,8.8,61.3,0,46.5,19.0
Ameen Al-Dakhil,,,ameen-al-dakhil,A. Al-Dakhil,D,2,812,M,964761,"{'nameTranslation': {'ar': 'أمين الدخيل', 'hi': 'अमीन अल-दखिल', 'bn': 'আমীন আল দাখিল'}, 'shortNameTranslation': {'ar': 'أ. الدخيل', 'hi': 'ए. अल-दखिल', 'bn': 'এ. আল-দাখিল'}}",True,miss,assisted,left-foot,40,2386,2386,,8.0,43.8,0,60.5,27.8
Zeki Amdouni,,,zeki-amdouni,Z. Amdouni,F,7,2862,M,990550,"{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",True,goal,regular,right-foot,36,2156,2156,regular,7.5,50.8,0,49.7,8.9
Wilson Odobert,,,wilson-odobert,W. Odobert,F,28,4085,M,1142679,"{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",True,miss,assisted,right-foot,34,2039,2039,,22.1,26.1,0,41.3,65.3
Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,3693,M,901892,"{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",False,miss,assisted,right-foot,28,1655,1655,,14.7,56.7,0,67.1,1.4
Ross Barkley,,,ross-barkley,R. Barkley,M,6,2380,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",False,block,assisted,right-foot,26,1556,1556,,19.3,46.4,0,50.3,19.0
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,389,M,49805,"{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",True,miss,free-kick,left-foot,24,1408,1408,,20.0,75.6,0,46.4,72.2
Ross Barkley,,,ross-barkley,R. Barkley,M,6,2380,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",False,block,corner,right-foot,21,1227,1227,,24.2,32.5,0,50.7,19.0
Chiedozie Ogbene,,,ogbene-chiedozie,C. Ogbene,M,19,794,M,849309,"{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",False,save,assisted,right-foot,12,711,711,,5.7,70.4,0,46.8,19.0
Ross Barkley,,,ross-barkley,R. Barkley,M,6,2380,M,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",False,save,assisted,right-foot,9,513,513,,22.0,45.2,0,48.4,25.3
Lyle Foster,,,foster-lyle,L. Foster,F,9,6277,M,901907,"{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",True,miss,assisted,left-foot,8,447,447,,24.7,35.0,0,40.0,5.6
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,389,M,49805,"{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",True,save,regular,right-foot,7,378,378,,9.8,56.9,0,49.0,8.9
