name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalContest,wonContest,totalClearance,ballRecovery,errorLeadToAGoal,wasFouled,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,dispossessed,shotOffTarget,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,challengeLost,outfielderBlock,accurateCross,bigChanceMissed,goals,totalOffside,sofascoreId,blockedScoringAttempt,goalAssist,bigChanceCreated
Zeki Amdouni,,,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",22.0,13.0,3.0,1.0,3.0,5.0,10.0,17.0,,4.0,3.0,,,4.0,,2.0,,,,,,,,83.0,33.0,7.2,14.0,0.0179406,"{'original': 7.2, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,11.0,1.0,,1.0,,2.0,1.0,1.0,1.0,0.3302,0.4093,2.0,2.0,,,,1.0,,,,,
Connor Roberts,,,connor-roberts,C. Roberts,D,14,175,410,M,804613,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,811814400,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونور روبرتس', 'hi': 'कॉनर रॉबर्ट्स', 'bn': 'কনর রবার্টস'}, 'shortNameTranslation': {'ar': 'ك. روبرتس', 'hi': 'सी. रॉबर्ट्स', 'bn': 'সি. রবার্টস'}}",8.0,5.0,3.0,1.0,2.0,3.0,3.0,6.0,2.0,2.0,,,1.0,,,,,,,,,,,16.0,12.0,6.5,5.0,0.00288123,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
Mike Trésor,,,mike-tresor,M. Trésor,M,31,175,1098,M,826183,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,927849600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك تريزور', 'hi': 'माइक ट्रेसोर', 'bn': 'মাইক ট্রেসর'}, 'shortNameTranslation': {'ar': 'م. تريزور', 'hi': 'एम. ट्रेसोर', 'bn': 'এম. ট্রেসর'}}",2.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,15.0,4.0,6.5,1.0,0.00059813,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,,,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",2.0,2.0,,,,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,14.0,4.0,6.6,1.0,0.00269961,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,
Jack Cork,,,jack-cork,J. Cork,M,,185,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",3.0,3.0,,,2.0,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,5.0,,,0.00034924,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,
Arijanet Murić,,,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,
Conrad Jaden Egan-Riley,,,cj-egan-riley,C. Egan-Riley,D,20,183,1061,M,1131448,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1041465600,"{'value': 12600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ك. إيغان-رايلي', 'hi': 'सीजे इगन-रिले', 'bn': 'সিজে ইগান-রিলে'}, 'shortNameTranslation': {'ar': 'ك. إيغان-رايلي', 'hi': 'सी. इगन-रिले', 'bn': 'সি. ইগান-রিলে'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Benson,,,manuel-benson,M. Benson,M,21,166,2981,M,552632,"{'alpha2': 'AO', 'alpha3': 'AGO', 'name': 'Angola', 'slug': 'angola'}",EUR,859507200,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بنسون', 'hi': 'मैनुअल बेन्सन', 'bn': 'ম্যানুয়েল বেনসন'}, 'shortNameTranslation': {'ar': 'م. بنسون', 'hi': 'एम. बेन्सन', 'bn': 'এম. বেনসন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,
Jay Rodriguez,,,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,
Anass Zaroury,,,anass-zaroury,A. Zaroury,F,9,176,4183,M,877036,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,973555200,"{'value': 8300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنس زروري', 'hi': 'अनस ज़रौरी', 'bn': 'আনাস জারৌরি'}, 'shortNameTranslation': {'ar': 'أ. زروري', 'hi': 'ए. ज़रौरी', 'bn': 'এ. জারৌরি'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,zaroury,,,
Thomas Kaminski,,,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",34.0,22.0,15.0,3.0,20.0,24.0,2.0,10.0,,,,,,9.0,,,,,3.0,7.0,,,,90.0,46.0,7.8,12.0,0.0005892,"{'original': 7.8, 'alternative': 7.7}",0,0.4461,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,,,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",53.0,42.0,5.0,2.0,33.0,35.0,9.0,18.0,6.0,8.0,,,2.0,5.0,,,,,,,,,,90.0,65.0,6.8,14.0,0.00406501,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,4.0,1.0,,,4.0,2.0,,,1.0,,,,,,,,,,,,,
Gabriel Osho,,,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",75.0,61.0,9.0,4.0,43.0,48.0,18.0,27.0,9.0,14.0,1.0,1.0,2.0,9.0,,,,,,,,,,90.0,86.0,7.4,15.0,0.00694978,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,5.0,,,,2.0,4.0,4.0,1.0,2.0,,,,1.0,,,,,,,,,
Amari'i Bell,,,amarii-bell,A. Bell,D,17,179,253,M,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",75.0,63.0,9.0,5.0,34.0,40.0,29.0,37.0,2.0,8.0,4.0,2.0,1.0,8.0,,1.0,,,,,,,,90.0,93.0,7.0,17.0,0.0215159,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,,2.0,,,,,3.0,2.0,,,,,,,,,,,,,,,
Chiedozie Ogbene,,,ogbene-chiedozie,C. Ogbene,M,19,181,794,M,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",45.0,38.0,4.0,1.0,10.0,10.0,28.0,39.0,1.0,8.0,5.0,5.0,1.0,6.0,,,,,,,,,,90.0,76.0,7.9,18.0,0.115113,"{'original': 7.9, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,2.0,6.0,1.0,,3.0,,2.0,1.0,4.0,,0.2026,0.2581,4.0,3.0,,,,,,,1.0,,
Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",62.0,55.0,6.0,3.0,25.0,29.0,30.0,34.0,1.0,5.0,1.0,1.0,,5.0,,2.0,,,,,,,,86.0,76.0,7.3,10.0,0.036889,"{'original': 7.3, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,0.2532,,1.0,,,,,,,,1.0,,
Ross Barkley,,,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",71.0,58.0,8.0,5.0,29.0,35.0,29.0,37.0,2.0,9.0,1.0,1.0,2.0,8.0,,,,,,,,,,90.0,90.0,7.5,17.0,0.0598966,"{'original': 7.5, 'alternative': 7.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,8.0,,,1.0,,6.0,2.0,3.0,1.0,0.1882,0.1051,4.0,2.0,,,,,,,3.0,,
Alfie Doughty,,,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",51.0,44.0,3.0,2.0,22.0,24.0,24.0,41.0,1.0,3.0,1.0,,2.0,5.0,,,,,,,,,,90.0,82.0,7.0,24.0,0.157543,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,,4.0,2.0,,,,2.0,1.0,1.0,,,,1.0,1.0,,2.0,,,3.0,,,1.0,1.0
Andros Townsend,,,andros-townsend,A. Townsend,F,30,181,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",20.0,16.0,3.0,1.0,3.0,4.0,14.0,20.0,,4.0,2.0,1.0,,2.0,,1.0,,,,,,,,64.0,34.0,6.9,11.0,0.202984,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,5.0,1.0,,,,2.0,2.0,2.0,2.0,,,1.0,,,1.0,,,,,,,
Jordan Clark,,,jordan-clark,J. Clark,M,18,183,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",24.0,18.0,3.0,2.0,10.0,10.0,8.0,14.0,,3.0,1.0,,,3.0,,2.0,,,,,,,,74.0,34.0,6.6,10.0,0.0252347,"{'original': 6.6, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,6.0,,1.0,,,1.0,1.0,3.0,,0.1199,,,4.0,,,,,,,1.0,,
