name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,totalOffside,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,fouls,keyPass,goals,accurateCross,challengeLost,outfielderBlock,wasFouled,wonContest,blockedScoringAttempt,firstName,lastName,goalAssist,bigChanceMissed,goodHighClaim,punches,errorLeadToAShot,lastManTackle
Guglielmo Vicario,guglielmo-vicario,G. Vicario,G,1,194,7041,M,guglielmovicario,553606,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,844646400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكاريو غولييلمو', 'hi': 'गुग्लिल्मो विकारियो', 'bn': 'উইলিয়াম দ্য ভিকারিও'}, 'shortNameTranslation': {'ar': 'ف. غولييلمو', 'hi': 'जी. विकारियो', 'bn': 'জি. ভিকারিও'}}",43.0,34.0,10.0,2.0,33.0,37.0,1.0,6.0,5.0,10.0,2.0,2.0,,,90.0,65.0,7.1,9.0,0.00019995,"{'original': 7.1, 'alternative': 6.7}",0,0.2271,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,1.0,,
Pedro Porro,pedro-porro,P. Porro,D,23,173,11089,M,pedroporro29,913654,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,937180800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيدرو بورو', 'hi': 'पेड्रो पोरो', 'bn': 'পেড্রো পোরো'}, 'shortNameTranslation': {'ar': 'ب. بورو', 'hi': 'पी. पोरो', 'bn': 'পি. পোরো'}}",51.0,37.0,4.0,,21.0,26.0,17.0,29.0,3.0,11.0,,,,,90.0,79.0,6.7,20.0,0.0336006,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,1.0,,2.0,2.0,,2.0,,1.0,,,,2.0,,0.0366,0.2132,,1.0,,,1.0,,,,2.0,,,,,,,,,
Cristian Romero,cristian-romero,C. Romero,D,17,185,37279,M,cutiromero2,829932,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,893635200,"{'value': 56000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان روميرو', 'hi': 'क्रिस्टियन रोमेरो', 'bn': 'ক্রিশ্চিয়ান রোমেরো'}, 'shortNameTranslation': {'ar': 'ك. روميرو', 'hi': 'सी. रोमेरो', 'bn': 'সি. রোমেরো'}}",63.0,54.0,1.0,1.0,45.0,52.0,9.0,11.0,4.0,6.0,,,,,90.0,73.0,6.6,9.0,0.00426839,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,2.0,1.0,5.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,
Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,11821,M,mickyvdven,998247,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,987638400,"{'value': 63000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميكي فان دي فين', 'hi': 'मिकी वैन डे वेन', 'bn': 'মিকি ভ্যান ডি ভেন'}, 'shortNameTranslation': {'ar': 'م. فان دي فين', 'hi': 'एम. वैन डे वेन', 'bn': 'এম. ভ্যান ডি ভেন'}}",62.0,56.0,1.0,,40.0,45.0,16.0,17.0,6.0,4.0,,,,,90.0,76.0,7.1,7.0,0.00433834,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,3.0,5.0,6.0,1.0,,,,1.0,3.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0
Destiny Udogie,destiny-udogie,D. Udogie,D,13,186,5987,M,udogiethree,983572,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,1038441600,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديستيني أودوجي', 'hi': 'डेस्टिनी उडोगी', 'bn': 'ডেসটিনি উদোগি'}, 'shortNameTranslation': {'ar': 'د. أودوجي', 'hi': 'डी. उडोगी', 'bn': 'ডি. উদোগি'}}",40.0,27.0,,,12.0,16.0,15.0,24.0,4.0,4.0,,,,,90.0,85.0,7.2,26.0,0.226062,"{'original': 7.2, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,1.0,10.0,9.0,3.0,4.0,,,2.0,7.0,3.0,3.0,,,,1.0,3.0,2.0,,,,,,1.0,,,,1.0,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",57.0,44.0,10.0,7.0,24.0,30.0,20.0,27.0,4.0,8.0,,,,,89.0,77.0,7.1,16.0,0.0102678,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,5.0,5.0,,1.0,2.0,,1.0,3.0,2.0,2.0,,0.0807,,,2.0,,,,2.0,1.0,2.0,,,,,,,,,,
Rodrigo Bentancur,bentancur-rodrigo,R. Bentancur,M,30,187,8373,M,rodrigo_bentancur,791190,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,867196800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو بينتانكور', 'hi': 'बेनटानकुर, रोड्रिगो', 'bn': 'বেন্টানকুর, রদ্রিগো'}, 'shortNameTranslation': {'ar': 'ر. بينتانكور', 'hi': 'आर. बेनटानकुर', 'bn': 'আর. বেন্টানকুর'}}",38.0,31.0,2.0,2.0,17.0,20.0,14.0,18.0,,1.0,,,,,64.0,45.0,6.5,9.0,0.0102346,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,1.0,9.0,3.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,2.0,,,,1.0,,,1.0,,,,,,,,,
Brennan Johnson,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",15.0,6.0,2.0,,1.0,4.0,5.0,12.0,,3.0,,,,,64.0,20.0,6.2,11.0,0.00172693,"{'original': 6.2, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,,7.0,3.0,,2.0,,,,1.0,,,,,,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,
James Maddison,james-maddison,J. Maddison,M,10,175,16399,M,Madders,356398,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848707200,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ماديسون', 'hi': 'जेम्स मैडिसन', 'bn': 'জেমস ম্যাডিসন'}, 'shortNameTranslation': {'ar': 'ج. ماديسون', 'hi': 'जे. मैडिसन', 'bn': 'জে. ম্যাডিসন'}}",35.0,28.0,2.0,,14.0,18.0,14.0,21.0,,,,,,,86.0,56.0,7.1,18.0,0.066752,"{'original': 7.1, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,,,5.0,4.0,1.0,4.0,,2.0,1.0,1.0,1.0,2.0,,0.1135,0.5038,,1.0,1.0,,,,,2.0,1.0,,,,1.0,,,,,
Timo Werner,timo-werner,T. Werner,F,36,180,20181,M,timowerner,232306,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,826070400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيمو فيرنر', 'hi': 'टीमो वर्नर', 'bn': 'টিমো ওয়ার্নার'}, 'shortNameTranslation': {'ar': 'ت. فيرنر', 'hi': 'टी. वर्नर', 'bn': 'টি. ওয়ার্নার'}}",20.0,16.0,1.0,,2.0,4.0,14.0,17.0,,3.0,,,,,86.0,26.0,6.7,8.0,0.0401517,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,1.0,3.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,
Richarlison,richarlison,Richarlison,F,9,184,46727,M,Richarlison,840217,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,863222400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}, 'shortNameTranslation': {'ar': 'ريتشارليسون', 'hi': 'रिचर्डसन', 'bn': 'রিচার্লিসন'}}",24.0,16.0,,,10.0,15.0,6.0,9.0,1.0,3.0,,,,,90.0,46.0,8.1,20.0,0.0308159,"{'original': 8.1, 'alternative': 8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,2.0,17.0,3.0,4.0,3.0,,3.0,,1.0,1.0,5.0,,0.749,1.0882,,1.0,2.0,2.0,,2.0,1.0,,,1.0,,,,,,,,
Dejan Kulusevski,dejan-kulusevski,D. Kulusevski,M,21,186,12068,M,dejan_k10,928124,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,956620800,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديان كولوسيفسكي', 'hi': 'देजान कुलुसेवस्की', 'bn': 'দেজান কুলুসেভস্কি'}, 'shortNameTranslation': {'ar': 'د. كولوسيفسكي', 'hi': 'डी. कुलुसेवस्की', 'bn': 'ডি. কুলুসেভস্কি'}}",12.0,8.0,1.0,,4.0,5.0,4.0,8.0,,4.0,,,,,26.0,23.0,6.5,9.0,0.0249355,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,3.0,3.0,,4.0,,,,1.0,,2.0,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,
Pape Matar Sarr,pape-matar-sarr,P. M. Sarr,M,29,185,33248,M,pape,1002711,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,1031961600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابي مطر سار', 'hi': 'पापे मटर सर्र', 'bn': 'পোপ মাতার সরর'}, 'shortNameTranslation': {'ar': 'ب. م. سار', 'hi': 'पीएम मटर', 'bn': 'পি. এম. সর'}}",22.0,19.0,1.0,1.0,9.0,11.0,10.0,11.0,,4.0,,,,,26.0,28.0,6.6,5.0,0.00895159,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,2.0,1.0,,1.0,,,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",5.0,4.0,,,4.0,4.0,,1.0,,3.0,,,,,14.0,7.0,6.5,1.0,0.00019693,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Bryan Gil,bryan-gil,B. Gil,M,21,176,3690,M,bryan11gil,910026,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,981849600,"{'value': 12400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان جيل', 'hi': 'ब्रायन गिल', 'bn': 'ব্রায়ান গিল'}, 'shortNameTranslation': {'ar': 'ب. جيل', 'hi': 'बी. गिल', 'bn': 'বি. গিল'}}",5.0,3.0,,,2.0,2.0,1.0,3.0,1.0,2.0,,,,,14.0,8.0,6.7,2.0,0.00847179,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13267,M,radudragusin5,997103,"{'alpha2': 'RO', 'alpha3': 'ROU', 'name': 'Romania', 'slug': 'romania'}",EUR,1012694400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رادو دراجوشين', 'hi': 'राडू द्रागुसिन', 'bn': 'রাদু ড্রাগুশিন'}, 'shortNameTranslation': {'ar': 'ر. دراجوشين', 'hi': 'आर. द्रागुसिन', 'bn': 'আর. ড্রাগুসিন'}}",3.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,,,,11.0,5.0,6.4,1.0,0.00024811,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201,1211,M,,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Royal,emerson-royal,E. Royal,D,22,183,9716,M,emerson_royal,856123,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,916272000,"{'value': 8600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}, 'shortNameTranslation': {'ar': 'إ. رويال', 'hi': 'एमर्सन रॉयल', 'bn': 'এমারসন রয়্যাল'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Davies,ben-davies,B. Davies,D,33,181,2694,M,,94758,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,735609600,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بين ديفيز', 'hi': 'बेन डेविस', 'bn': 'বেন ডেভিস'}, 'shortNameTranslation': {'ar': 'ب. ديفيز', 'hi': 'बी. डेविस', 'bn': 'বি. ডেভিস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dane Scarlett,scarlett-dane,D. Scarlett,F,44,180,2195,M,,998772,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1080086400,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكارليت، دين', 'hi': 'स्कारलेट, डेन', 'bn': 'স্কারলেট, ডেন'}, 'shortNameTranslation': {'ar': 'د. سكارليت', 'hi': 'डी. स्कारलेट', 'bn': 'ডি. স্কারলেট'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
