name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,firstName,lastName,sofascoreId
Mark Flekken,mark-flekken,M. Flekken,G,1,2871,M,171919,"{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",15.382142857143,51.521428571429,28,home,,,
Myles Peart-Harris,myles-peart-harris,M. Peart-Harris,M,25,181,M,980649,"{'nameTranslation': {'ar': 'مايلز بيرت-هاريس', 'hi': 'माइल्स पीयर्ट-हैरिस', 'bn': 'মাইলস পিয়ার্ট-হ্যারিস'}, 'shortNameTranslation': {'ar': 'م. بيرت-هاريس', 'hi': 'एम. पीयर्ट-हैरिस', 'bn': 'এম. পিয়ার্ট-হ্যারিস'}}",57.983333333333,87.566666666667,6,home,,,
Shandon Baptiste,shandon-baptiste,S. Baptiste,M,26,142,M,892111,"{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",43.672,54.132,25,home,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,1038,M,855864,"{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",40.032075471698,35.317924528302,106,home,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,1013,M,814873,"{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",50.803149606299,81.633858267717,127,home,,,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,43905,M,805123,"{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",65.364150943396,65.396226415094,53,home,,,yowissa
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,979,M,972421,"{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",58.176470588235,49.1,17,home,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,470,M,826057,"{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",41.9,20.871428571429,7,home,Mads,Roerslev,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,89920,M,927083,"{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",73.286842105263,23.65,76,home,,,bryan_m19
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,8776,M,135256,"{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",52.409230769231,46.564615384615,130,home,,,
