name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalContest,wonContest,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,dispossessed,shotOffTarget,blockedScoringAttempt,totalClearance,ballRecovery,totalTackle,unsuccessfulTouch,fouls,expectedGoals,aerialWon,outfielderBlock,interceptionWon,wonTackle,onTargetScoringAttempt,goals,expectedGoalsOnTarget,keyPass,accurateCross,challengeLost,wasFouled,sofascoreId,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,totalOffside
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",29.0,24.0,2.0,2.0,7.0,7.0,18.0,25.0,2.0,2.0,,90.0,42.0,6.8,11.0,0.110096,"{'original': 6.8, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,5.0,1.0,,2.0,,7.0,1.0,1.0,1.0,0.0844,1.0,,,,1.0,,0.0501,1.0,1.0,1.0,,yowissa,,,,,
Shandon Baptiste,shandon-baptiste,S. Baptiste,M,26,180,142,M,892111,"{'alpha2': 'GD', 'alpha3': 'GRD', 'name': 'Grenada', 'slug': 'grenada'}",EUR,891993600,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",8.0,6.0,2.0,,2.0,3.0,4.0,5.0,3.0,1.0,1.0,20.0,19.0,7.6,5.0,0.241211,"{'original': 7.6, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,3.0,,,,1.0,2.0,2.0,3.0,1.0,0.7021,,,1.0,2.0,1.0,1.0,0.9674,1.0,,1.0,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",3.0,3.0,,,2.0,2.0,2.0,2.0,,,,13.0,6.0,6.5,,0.00714986,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Mads,Roerslev,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",4.0,4.0,,,2.0,2.0,2.0,2.0,2.0,1.0,1.0,12.0,14.0,7.4,1.0,0.00094662,"{'original': 7.4, 'alternative': 7.3}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,2.0,2.0,1.0,2.0,,1.0,,0.5627,1.0,1.0,,,1.0,,0.1159,,,,,,,,,,
Myles Peart-Harris,myles-peart-harris,M. Peart-Harris,M,25,187,181,M,980649,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1032307200,"{'value': 875000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايلز بيرت-هاريس', 'hi': 'माइल्स पीयर्ट-हैरिस', 'bn': 'মাইলস পিয়ার্ট-হ্যারিস'}, 'shortNameTranslation': {'ar': 'م. بيرت-هاريس', 'hi': 'एम. पीयर्ट-हैरिस', 'bn': 'এম. পিয়ার্ট-হ্যারিস'}}",1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,4.0,,1.0,0.00234036,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Angelini,vincent-angelini,V. Angelini,G,,186,30,M,1167601,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1063324800,"{'value': 80000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينسنت أنجليني', 'hi': 'विन्सेंट एंजेलिनी', 'bn': 'ভিনসেন্ট অ্যাঞ্জেলিনি'}, 'shortNameTranslation': {'ar': 'ف. أنجليني', 'hi': 'वी. एंजेलिनी', 'bn': 'ভি. অ্যাঞ্জেলিনি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,Vincent Angelini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Goode,charlie-goode,C. Goode,D,15,196,34,M,798933,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,807408000,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تشارلي جود', 'hi': 'चार्ली गुडे', 'bn': 'চার্লি গুড'}, 'shortNameTranslation': {'ar': 'ت. جود', 'hi': 'सी. गुडे', 'bn': 'সি. গুড'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Olakigbe,olakigbe-michael,M. Olakigbe,M,37,180,76,M,1014556,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1082851200,"{'value': 535000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولاكيجبي، مايكل', 'hi': 'ओलाकिग्बे, माइकल', 'bn': 'ওলাকিগবে, মাইকেল'}, 'shortNameTranslation': {'ar': 'م. أولاكيجبي', 'hi': 'एम. ओलाकिग्बे', 'bn': 'এম. ওলাকিগবে'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
