minute,value
1.0,2
2.0,20
3.0,14
4.0,9
5.0,12
6.0,14
7.0,14
8.0,45
9.0,27
10.0,31
11.0,24
12.0,16
13.0,11
14.0,5
15.0,1
16.0,3
17.0,-11
18.0,-35
19.0,-15
20.0,-4
21.0,6
22.0,8
23.0,13
24.0,13
25.0,13
26.0,58
27.0,94
28.0,81
29.0,54
30.0,38
31.0,57
32.0,52
33.0,35
34.0,27
35.0,22
36.0,16
37.0,71
38.0,86
39.0,69
40.0,44
41.0,63
42.0,43
43.0,33
44.0,29
45.0,27
45.5,80
46.0,14
47.0,17
48.0,18
49.0,19
50.0,82
51.0,45
52.0,31
53.0,63
54.0,83
55.0,49
56.0,59
57.0,74
58.0,46
59.0,25
60.0,19
61.0,14
62.0,65
63.0,4
64.0,19
65.0,19
66.0,34
67.0,24
68.0,42
69.0,63
70.0,38
71.0,30
72.0,20
73.0,13
74.0,29
75.0,16
76.0,12
77.0,-47
78.0,-22
79.0,24
80.0,18
81.0,13
82.0,39
83.0,26
84.0,17
85.0,41
86.0,1
87.0,-3
88.0,-50
89.0,-45
90.0,-64
90.5,9
