name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,sofascoreId,goalAssist,accurateOppositionHalfPasses,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,goals,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,shotOffTarget,blockedScoringAttempt,outfielderBlock,interceptionWon,challengeLost,penaltyConceded,dispossessed,bigChanceMissed,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,penaltyWon
Thomas Kaminski,,,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",40.0,22.0,24.0,8.0,15.0,23.0,17.0,10.0,2.0,,2.0,90.0,50.0,6.2,18.0,0.0017102,"{'original': 6.2, 'alternative': 5.9}",0,-1.2616,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,
Teden Mengi,,,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",42.0,39.0,1.0,1.0,19.0,20.0,22.0,7.0,,,,90.0,58.0,6.5,5.0,0.00991782,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,20.0,,,,4.0,,,,,,,5.0,,,,,1.0,,,,1.0,,,2.0,4.0,1.0,,1.0,,,,,,
Gabriel Osho,,,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",24.0,19.0,4.0,,14.0,15.0,9.0,2.0,,,,90.0,41.0,7.1,6.0,0.00179078,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,5.0,,,,2.0,4.0,1.0,1.0,,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,0.483,0.5036,,,,,1.0,1.0,,,,,,,,,
Amari'i Bell,,,amarii-bell,A. Bell,D,17,179,253,M,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",42.0,34.0,1.0,,17.0,21.0,22.0,8.0,,,,90.0,62.0,6.1,15.0,0.0151398,"{'original': 6.1, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,17.0,1.0,,,5.0,3.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,
Chiedozie Ogbene,,,ogbene-chiedozie,C. Ogbene,M,19,181,794,M,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",31.0,29.0,,,12.0,12.0,21.0,7.0,,,,90.0,62.0,7.5,8.0,0.0115456,"{'original': 7.5, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,17.0,2.0,,,6.0,10.0,7.0,5.0,,1.0,,3.0,,,1.0,5.0,1.0,0.0591,0.0424,,2.0,,,1.0,,,,1.0,,,,,,1.0
Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",45.0,42.0,3.0,2.0,23.0,25.0,20.0,4.0,,,,90.0,65.0,7.2,6.0,0.0415538,"{'original': 7.2, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,19.0,,,3.0,4.0,11.0,1.0,1.0,,,,2.0,5.0,3.0,1.0,2.0,1.0,,,1.0,1.0,,,2.0,2.0,,,2.0,,,,,,
Ross Barkley,,,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",56.0,51.0,5.0,3.0,17.0,18.0,40.0,6.0,,,,90.0,78.0,8.9,7.0,0.44,"{'original': 8.9, 'alternative': 8.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,36.0,2.0,2.0,2.0,6.0,8.0,4.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0,,,,0.7045,0.8116,5.0,2.0,,1.0,,2.0,2.0,,,,,,,,
Alfie Doughty,,,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",29.0,21.0,7.0,3.0,12.0,16.0,16.0,5.0,,,,79.0,46.0,6.4,14.0,0.0512469,"{'original': 6.4, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,10.0,3.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,3.0,1.0,,0.0473,0.3382,1.0,,,,,1.0,,,,,,,,,
Jordan Clark,,,jordan-clark,J. Clark,M,18,183,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",19.0,12.0,1.0,1.0,4.0,7.0,14.0,1.0,,,,68.0,38.0,6.5,15.0,0.00847753,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,8.0,2.0,,,9.0,3.0,2.0,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,3.0,2.0,,5.0,,,,,,
Carlton Morris,,,carlton-morris,C. Morris,F,9,185,1084,M,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",20.0,16.0,1.0,,8.0,10.0,10.0,4.0,,,,79.0,31.0,8.2,6.0,0.141129,"{'original': 8.2, 'alternative': 8.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,8.0,,,4.0,1.0,4.0,,,1.0,2.0,1.0,3.0,,,2.0,,1.0,0.8213,1.0211,2.0,,,,,,,,,,,,,,
Elijah Adebayo,,,adebayo-elijah,E. Adebayo,F,11,193,1056,M,920542,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884131200,"{'value': 4400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أديبايو، إيلايا', 'hi': 'एडेबायो, एलिजा', 'bn': 'অ্যাডেবায়ো, ইলিয়াস'}, 'shortNameTranslation': {'ar': 'أديبايو', 'hi': 'ई. एडेबायो', 'bn': 'ই. অ্যাডেবায়ো'}}",10.0,9.0,1.0,,3.0,4.0,7.0,1.0,,,,88.0,37.0,6.7,16.0,0.0105263,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,1.0,,3.0,11.0,5.0,4.0,1.0,,1.0,1.0,3.0,,,7.0,1.0,2.0,0.1606,0.8945,,1.0,,1.0,,1.0,2.0,,3.0,,,,,,
Pelly Ruddock Mpanzu,,,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",6.0,6.0,,,2.0,2.0,4.0,1.0,,,,22.0,11.0,6.7,1.0,0.00528048,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,4.0,,,,4.0,2.0,1.0,1.0,,1.0,,1.0,,,,1.0,2.0,0.0738,0.1807,,1.0,,,,,,,1.0,,,,,,
Reece Burke,,,reece-burke,R. Burke,D,32,189,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",5.0,2.0,2.0,,,,5.0,,,,,11.0,8.0,6.6,3.0,0.00143095,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Jacob Brown,,,jacob-brown,J. Brown,F,19,178,152,M,858911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,892166400,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب براون', 'hi': 'जैकब ब्राउन', 'bn': 'জ্যাকব ব্রাউন'}, 'shortNameTranslation': {'ar': 'ج. براون', 'hi': 'जे. ब्राउन', 'bn': 'জে. ব্রাউন'}}",8.0,3.0,,,1.0,1.0,7.0,1.0,,,,11.0,17.0,6.6,8.0,0.00158318,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,,3.0,6.0,5.0,3.0,2.0,,,,1.0,,,,,1.0,0.0466,,,2.0,,1.0,,,,,2.0,,,,,,
Cauley Woodrow,,,cauley-woodrow,C. Woodrow,F,12,184,116,M,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",2.0,1.0,1.0,,,1.0,1.0,1.0,,,,13.0,5.0,6.5,2.0,0.00140324,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,2.0,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Tim Krul,,,tim-krul,T. Krul,G,,193,426,M,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issa Kaboré,,,issa-kabore,I. Kaboré,D,12,180,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,issa_kabore_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Berry,,,luke-berry,L. Berry,M,8,177,67,M,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tahith Chong,,,tahith-chong,T. Chong,M,24,185,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andros Townsend,,,andros-townsend,A. Townsend,F,30,181,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
