name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,duelLost,challengeLost,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelWon,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,blockedScoringAttempt,clearanceOffLine,outfielderBlock,expectedGoals,sofascoreId,onTargetScoringAttempt,fouls,expectedGoalsOnTarget,wonContest,shotOffTarget,goals,goalAssist,bigChanceCreated,totalOffside,penaltyWon,lastManTackle,penaltyFaced,punches,bigChanceMissed,hitWoodwork,penaltyConceded,ownGoals
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",35.0,18.0,29.0,12.0,12.0,14.0,,,7.0,3.0,3.0,3.0,,,90.0,46.0,7.0,17.0,0.00062003,"{'original': 7, 'alternative': 5.8}",0,-1.3937,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,21.0,,,,,2.0,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,
Mason Holgate,,,mason-holgate,M. Holgate,D,27,187,409,M,781544,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,845942400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايسون هولجيت', 'hi': 'मेसन होल्गेट', 'bn': 'মেসন হোলগেট'}, 'shortNameTranslation': {'ar': 'م. هولجيت', 'hi': 'एम. होल्गेट', 'bn': 'এম. হলগেট'}}",19.0,15.0,3.0,,9.0,11.0,6.0,2.0,4.0,,,,,,67.0,31.0,5.7,8.0,0.00217105,"{'original': 5.7, 'alternative': 5.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,9.0,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,1.0,0.213,,,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",23.0,19.0,4.0,1.0,16.0,18.0,3.0,,3.0,,,,,,90.0,39.0,7.4,6.0,0.176635,"{'original': 7.4, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,5.0,,,,1.0,3.0,1.0,1.0,4.0,2.0,2.0,,,,2.0,,,2.0,0.495,,1.0,1.0,0.0709,,1.0,1.0,,,,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",20.0,18.0,2.0,1.0,13.0,14.0,,,2.0,,,,,,90.0,35.0,7.3,2.0,0.329718,"{'original': 7.3, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,6.0,,,,,1.0,,,2.0,7.0,,,,1.0,2.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",31.0,25.0,,,6.0,8.0,7.0,,1.0,,,,,,90.0,55.0,6.3,15.0,0.0414811,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,19.0,25.0,2.0,,3.0,2.0,6.0,1.0,1.0,1.0,,2.0,1.0,5.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,
Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1022,M,837495,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,867110400,"{'value': 16800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غوستافو هامير', 'hi': 'गुस्तावो हैमर', 'bn': 'গুস্তাভো হ্যামার'}, 'shortNameTranslation': {'ar': 'غ. هامير', 'hi': 'जी. हैमर', 'bn': 'জি. হ্যামার'}}",30.0,25.0,2.0,,9.0,9.0,4.0,1.0,3.0,,,,,,79.0,43.0,7.1,10.0,0.563284,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,18.0,24.0,3.0,2.0,,,2.0,,2.0,1.0,,,,2.0,1.0,5.0,,,1.0,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,
Oliver Arblaster,Oliver Arblaster,,oliver-arblaster,O. Arblaster,M,4,180,223,M,1191153,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1073520000,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر أربيلاستر'}, 'shortNameTranslation': {'ar': 'أ. أربيلاستر'}}",66.0,58.0,9.0,5.0,20.0,22.0,7.0,3.0,7.0,,,,,,90.0,88.0,6.9,12.0,0.0973457,"{'original': 6.9, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,38.0,44.0,,,,,9.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,1.0,,,,1.0,,5.0,,,,,,,,,,,,,
Andre Brooks,,,andre-brooks,A. Brooks,M,11,180,187,M,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",22.0,19.0,2.0,,6.0,7.0,8.0,2.0,4.0,,,,,,70.0,37.0,6.3,9.0,0.00406241,"{'original': 6.3, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,13.0,15.0,,,1.0,1.0,5.0,3.0,2.0,,1.0,4.0,2.0,1.0,,,,,,0.0854,,,,,,2.0,,,,,,,,,1.0,,,
Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",58.0,47.0,6.0,1.0,21.0,25.0,,,7.0,,,,,,90.0,67.0,6.4,13.0,0.039374,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,27.0,35.0,2.0,1.0,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",14.0,11.0,,,5.0,5.0,3.0,,1.0,,,,,,67.0,23.0,6.8,6.0,0.0269528,"{'original': 6.8, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,10.0,1.0,1.0,3.0,,1.0,,1.0,,,,,3.0,,2.0,2.0,,,0.3556,,,,,1.0,1.0,,,,,,,,,,,,
Ben Brereton Díaz,,,ben-brereton-diaz,B. Brereton Díaz,M,25,188,6193,M,867583,"{'alpha2': 'CL', 'alpha3': 'CHL', 'name': 'Chile', 'slug': 'chile'}",EUR,924393600,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",31.0,25.0,2.0,1.0,14.0,15.0,7.0,1.0,5.0,,,,,,90.0,46.0,7.5,10.0,0.0100765,"{'original': 7.5, 'alternative': 7.3}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,11.0,16.0,,,2.0,2.0,6.0,2.0,3.0,,1.0,1.0,1.0,2.0,,,1.0,,,0.3352,ben.brereton,3.0,2.0,0.1371,3.0,1.0,,,,,,,,,,,,
Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,180,M,98454,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,746841600,"{'value': 520000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك روبنسون', 'hi': 'जैक रॉबिन्सन', 'bn': 'জ্যাক রবিনসন'}, 'shortNameTranslation': {'ar': 'ج. روبنسون', 'hi': 'जे. रॉबिन्सन', 'bn': 'জে. রবিনসন'}}",15.0,12.0,1.0,1.0,9.0,12.0,1.0,1.0,1.0,,,,,,23.0,21.0,6.4,6.0,0.00198845,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,3.0,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
William Osula,,,osula-william,W. Osula,F,18,191,2921,M,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",6.0,6.0,,,2.0,2.0,3.0,,,,,,,,23.0,11.0,6.7,2.0,0.0161537,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,4.0,4.0,,,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,,,,,0.054,,1.0,1.0,0.0901,1.0,,,,,,,,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",16.0,15.0,1.0,,12.0,12.0,2.0,1.0,4.0,,,,,,20.0,23.0,6.8,3.0,0.00185114,"{'original': 6.8, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,4.0,,,,1.0,5.0,1.0,,,,4.0,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",6.0,5.0,,,1.0,2.0,,,2.0,,,,,,11.0,8.0,6.7,1.0,0.00118403,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,4.0,4.0,,,,,1.0,,,,,,,,1.0,,1.0,,,0.0243,,,,,,,,,,,,,,,,,,
Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195,1148,M,283847,"{'alpha2': 'HR', 'alpha3': 'HRV', 'name': 'Croatia', 'slug': 'croatia'}",EUR,821923200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفو غريبيتش', 'hi': 'इवो ग्रबिक', 'bn': 'আইভো গ্রবিক'}, 'shortNameTranslation': {'ar': 'إ. غريبيتش', 'hi': 'आई. ग्रबिक', 'bn': 'আই. গ্রবিক'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasser Larouci,Yasser,Larouci,larouci-yasser,Y. Larouci,D,76,175,3783,M,927360,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,978307200,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لعروسي، ياسر', 'hi': 'लारौसी, यासर', 'bn': 'লারুচি, ইয়াসির'}, 'shortNameTranslation': {'ar': 'ي. لعروسي', 'hi': 'वाई. लारौसी', 'bn': 'ওয়াই. লারুচি'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,larouci.yasseroff,,,,,,,,,,,,,,,,,
Sam Curtis,Sam,Curtis,curtis-sam,S. Curtis,D,29,185,191,M,1133697,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1133395200,"{'value': 170000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورتيس، سام'}, 'shortNameTranslation': {'ar': 'س. كورتيس'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louie Marsh,,,louie-marsh,L. Marsh,F,34,176,84,M,1426132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1088640000,"{'value': 140000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوي مارش', 'hi': 'लुई मार्श', 'bn': 'লুই মার্শ'}, 'shortNameTranslation': {'ar': 'ل. مارش', 'hi': 'एल. मार्श', 'bn': 'এল. মার্শ'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
