name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,outfielderBlock,interceptionWon,wasFouled,fouls,goals,shotOffTarget,goalAssist,accurateCross,blockedScoringAttempt,bigChanceMissed,totalOffside,errorLeadToAShot
Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",16.0,11.0,2.0,,8.0,9.0,3.0,7.0,,6.0,1.0,2.0,,,,,,45.0,27.0,6.7,7.0,0.00173137,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,1.0,1.0,4.0,3.0,,,1.0,,,,,,,,,2.0,,,,,,,,,
Ross Barkley,,,ross-barkley,R. Barkley,M,6,188,2380,M,,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",46.0,38.0,3.0,2.0,20.0,25.0,18.0,23.0,2.0,14.0,6.0,2.0,,,,,,90.0,77.0,7.4,15.0,0.0429006,"{'original': 7.4, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,6.0,1.0,1.0,8.0,6.0,,1.0,3.0,3.0,,0.0789,0.0753,2.0,1.0,,,3.0,1.0,,1.0,,,,,,1.0
Alfie Doughty,,,alfie-doughty,A. Doughty,M,14,183,576,M,,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",24.0,17.0,7.0,4.0,12.0,17.0,5.0,10.0,,1.0,,5.0,,,,,,74.0,41.0,6.1,13.0,0.0109024,"{'original': 6.1, 'alternative': 5.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,8.0,3.0,1.0,1.0,,,,1.0,1.0,,0.0626,,,2.0,,,,1.0,,1.0,,,1.0,,2.0,
Carlton Morris,,,carlton-morris,C. Morris,F,9,185,1084,M,,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",16.0,12.0,,,7.0,7.0,5.0,9.0,1.0,2.0,2.0,1.0,,,,,,90.0,24.0,6.5,7.0,0.0106824,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,9.0,,2.0,,,,,1.0,1.0,1.0,,,1.0,6.0,,,,1.0,,,,,,,,
Tahith Chong,,,tahith-chong,T. Chong,M,24,185,1675,M,,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",17.0,15.0,,,6.0,6.0,9.0,12.0,,4.0,,4.0,,,,,,63.0,32.0,6.9,8.0,0.0109904,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,,2.0,2.0,1.0,,1.0,1.0,,2.0,0.0374,0.0308,1.0,1.0,1.0,1.0,2.0,,,,,,,,,
Cauley Woodrow,,,cauley-woodrow,C. Woodrow,F,12,184,116,M,,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",12.0,6.0,1.0,,,3.0,6.0,9.0,2.0,4.0,4.0,2.0,,,,,,58.0,21.0,6.8,7.0,0.0117939,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,3.0,1.0,,,,,2.0,2.0,,0.1567,,1.0,1.0,1.0,,,2.0,,1.0,,,,,,
Pelly Ruddock Mpanzu,,,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,296,M,,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",11.0,9.0,2.0,,5.0,6.0,4.0,6.0,,,,2.0,,,,,,45.0,15.0,6.2,3.0,0.00344333,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
Andros Townsend,,,andros-townsend,A. Townsend,F,30,181,609,M,,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",9.0,7.0,1.0,1.0,3.0,3.0,4.0,8.0,,3.0,,3.0,,,,,,32.0,20.0,6.2,7.0,0.00725968,"{'original': 6.2, 'alternative': 6.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,3.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,0.115,,,,,,1.0,,,,,,3.0,,,
Jordan Clark,,,jordan-clark,J. Clark,M,18,183,124,M,,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",5.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,,2.0,,,,,,,,27.0,9.0,6.5,2.0,0.00043957,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
Issa Kaboré,,,issa-kabore,I. Kaboré,D,12,180,17342,M,issa_kabore_29,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",10.0,7.0,1.0,,2.0,5.0,5.0,5.0,,1.0,,1.0,,,,,,16.0,15.0,6.3,4.0,0.228555,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,
Tim Krul,,,tim-krul,T. Krul,G,,193,426,M,,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Potts,,,daniel-potts,D. Potts,D,,173,23,M,,193548,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,766195200,"{'value': 230000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بوتس', 'hi': 'डैनियल पॉट्स', 'bn': 'ড্যানিয়েল পোটস'}, 'shortNameTranslation': {'ar': 'د. بوتس', 'hi': 'डी. पॉट्स', 'bn': 'ডি. পটস'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reece Burke,,,reece-burke,R. Burke,D,32,189,101,M,,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Nelson,Zack Nelson,,zack-nelson,Z. Nelson,M,37,183,81,M,,1394950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095984000,"{'value': 790000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زاك نيلسون', 'hi': 'जैक नेल्सन', 'bn': 'জ্যাক নেলসন'}, 'shortNameTranslation': {'ar': 'ز. نيلسون', 'hi': 'जे. नेल्सन', 'bn': 'জেড. নেলসন'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Berry,,,luke-berry,L. Berry,M,8,177,67,M,,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
