name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,totalTackle,wonTackle,unsuccessfulTouch,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,outfielderBlock,interceptionWon,wasFouled,fouls,goals,shotOffTarget,goalAssist,accurateCross,blockedScoringAttempt,bigChanceMissed,totalOffside,errorLeadToAShot
Luis Díaz,,,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",27.0,24.0,,,2.0,2.0,22.0,25.0,,8.0,1.0,5.0,,,,,,89.0,58.0,7.2,12.0,0.0514882,"{'original': 7.2, 'alternative': 6.7}",10,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,9.0,,4.0,5.0,2.0,,3.0,2.0,2.0,2.0,1.7595,1.199,1.0,2.0,,,4.0,,1.0,3.0,,,4.0,3.0,,
Andrew Robertson,,,andrew-robertson,A. Robertson,D,26,178,25243,M,andyrobertson94,262911,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,763344000,"{'value': 12800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",16.0,15.0,1.0,1.0,10.0,10.0,5.0,8.0,,2.0,1.0,1.0,,,,,,22.0,26.0,7.2,4.0,0.00220559,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,
Bobby Clark,,,bobby-clark,B. Clark,M,42,178,1832,M,,1142638,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1107734400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي كلارك', 'hi': 'बॉबी क्लार्क', 'bn': 'ববি ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ب. كلارك', 'hi': 'बी. क्लार्क', 'bn': 'বি. ক্লার্ক'}}",7.0,7.0,,,6.0,6.0,1.0,1.0,,1.0,,1.0,,,,,,12.0,14.0,6.3,3.0,0.00039917,"{'original': 6.3, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,5.0,1.0,2.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,
James McConnell,James McConnell,,mcconnell-james,J. McConnell,M,16,180,2880,M,,1138428,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095033600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكونيل، جيمس', 'hi': 'मैककोनेल, जेम्स', 'bn': 'ম্যাককনেল, জেমস'}, 'shortNameTranslation': {'ar': 'ج. ماكونيل', 'hi': 'जे. मैककोनेल', 'bn': 'জে. ম্যাককনেল'}}",4.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,,,,,,,9.0,6.0,6.5,2.0,0.0002844,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,
Jayden Danns,Jayden Danns,,jayden-danns,J. Danns,F,76,183,3573,M,,1403108,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1137369600,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جايدن دانز', 'hi': 'जेडन डैन्स', 'bn': 'জেডেন ড্যানস'}, 'shortNameTranslation': {'ar': 'ج. دانز', 'hi': 'जे. डैन्स', 'bn': 'জে. ড্যানস'}}",4.0,2.0,,,,,2.0,4.0,,,,1.0,,,,,,9.0,4.0,6.6,2.0,0.00029597,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
Adrián,,,adrian,Adrián,G,13,190,2132,M,,50539,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,536630400,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}, 'shortNameTranslation': {'ar': 'أدريان', 'hi': 'एड्रियन', 'bn': 'অ্যাড্রিয়ান'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos Tsimikas,,,konstantinos-tsimikas,K. Tsimikas,D,12,178,16780,M,TK21,786259,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,831859200,"{'value': 17500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس تسيميكاس', 'hi': 'कोंस्टांटिनोस सिमिक्स', 'bn': 'কনস্টান্টিনোস সিমিকাস'}, 'shortNameTranslation': {'ar': 'ك. تسيميكاس', 'hi': 'के. सिमिक्स', 'bn': 'কে. সিমিকাস'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahima Konaté,,,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Nyoni,,,nyoni-trey,T. Nyoni,M,42,180,9409,M,TNyoni,1445945,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1183161600,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيوني، تري', 'hi': 'न्योनी, ट्रे', 'bn': 'নিওনি, ট্রে'}, 'shortNameTranslation': {'ar': 'ت. نيوني', 'hi': 'टी. न्योनी', 'bn': 'টি. নিওনি'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaide Gordon,Kaide Gordon,,kaide-gordon,K. Gordon,F,49,173,1637,M,,1096447,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1096934400,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايد غوردون', 'hi': 'काइडे गॉर्डन', 'bn': 'কাইড গর্ডন'}, 'shortNameTranslation': {'ar': 'ك. غوردون', 'hi': 'के. गॉर्डन', 'bn': 'কে. গর্ডন'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Kaminski,,,thomas-kaminski,T. Kaminski,G,1,190,558,M,,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",41.0,26.0,24.0,9.0,23.0,25.0,3.0,16.0,,,1.0,7.0,8.0,9.0,1.0,,,90.0,53.0,8.1,15.0,0.00043933,"{'original': 8.1, 'alternative': 7.9}",0,-0.9659,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,,,teden-mengi,T. Mengi,D,15,183,793,M,,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",30.0,21.0,7.0,1.0,17.0,18.0,4.0,12.0,2.0,8.0,10.0,4.0,,,,,,90.0,53.0,6.5,10.0,0.00076646,"{'original': 6.5, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,10.0,,,,,,,6.0,2.0,1.0,,,,6.0,1.0,1.0,,4.0,,,,,,,,
Gabriel Osho,,,gabriel-osho,G. Osho,D,3,185,835,M,,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",32.0,22.0,7.0,3.0,17.0,24.0,5.0,8.0,2.0,3.0,3.0,1.0,,,,,,90.0,51.0,6.4,14.0,0.00403769,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,9.0,1.0,2.0,,,,,1.0,,2.0,,,1.0,3.0,4.0,1.0,,3.0,,,,,,,,
Amari'i Bell,,,amarii-bell,A. Bell,D,17,179,253,M,,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",36.0,30.0,3.0,1.0,19.0,21.0,11.0,15.0,1.0,5.0,4.0,5.0,,,,,,90.0,51.0,6.5,8.0,0.014029,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,1.0,1.0,1.0,,,,2.0,1.0,,,,1.0,,1.0,2.0,3.0,1.0,,,,,,,,
Chiedozie Ogbene,,,ogbene-chiedozie,C. Ogbene,M,19,181,794,M,,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",24.0,17.0,2.0,1.0,7.0,12.0,12.0,15.0,2.0,12.0,3.0,8.0,,,,,,90.0,57.0,7.5,16.0,0.0962123,"{'original': 7.5, 'alternative': 7.4}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,5.0,2.0,1.0,9.0,7.0,,1.0,,,2.0,0.4849,0.8494,1.0,,,,3.0,,1.0,,,2.0,2.0,,,
