name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,lastName,sofascoreId
Jayden Danns,Jayden Danns,jayden-danns,J. Danns,F,76,3573,M,1403108,"{'nameTranslation': {'ar': 'جايدن دانز', 'hi': 'जेडन डैन्स', 'bn': 'জেডেন ড্যানস'}, 'shortNameTranslation': {'ar': 'ج. دانز', 'hi': 'जे. डैन्स', 'bn': 'জে. ড্যানস'}}",64.7,57.1,7,home,,
Bobby Clark,,bobby-clark,B. Clark,M,42,1832,M,1142638,"{'nameTranslation': {'ar': 'بوبي كلارك', 'hi': 'बॉबी क्लार्क', 'bn': 'ববি ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ب. كلارك', 'hi': 'बी. क्लार्क', 'bn': 'বি. ক্লার্ক'}}",43.363157894737,71.452631578947,19,home,,
James McConnell,James McConnell,mcconnell-james,J. McConnell,M,16,2880,M,1138428,"{'nameTranslation': {'ar': 'ماكونيل، جيمس', 'hi': 'मैककोनेल, जेम्स', 'bn': 'ম্যাককনেল, জেমস'}, 'shortNameTranslation': {'ar': 'ج. ماكونيل', 'hi': 'जे. मैककोनेल', 'bn': 'জে. ম্যাককনেল'}}",55.3625,63.275,8,home,,
Andrew Robertson,,andrew-robertson,A. Robertson,D,26,25243,M,262911,"{'nameTranslation': {'ar': 'أندرو روبرتسون', 'hi': 'एंड्रयू रॉबर्टसन', 'bn': 'অ্যান্ড্রু রবার্টসন'}, 'shortNameTranslation': {'ar': 'أ. روبرتسون', 'hi': 'ए. रॉबर्टसन', 'bn': 'এ. রবার্টসন'}}",51.957142857143,82.8,28,home,,andyrobertson94
Ryan Gravenberch,,ryan-gravenberch,R. Gravenberch,M,38,30819,M,904897,"{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",57.96393442623,61.859016393443,61,home,,ryanjiro
Cody Gakpo,,cody-gakpo,C. Gakpo,M,18,53434,M,862967,"{'nameTranslation': {'ar': 'كودي جاكبو', 'hi': 'कोडी गाकपो', 'bn': 'কোডি গাকপো'}, 'shortNameTranslation': {'ar': 'ك. جاكبو', 'hi': 'सी. गाकपो', 'bn': 'সি. গাকপো'}}",63.331884057971,51.339130434783,69,home,,CodyGakpo
Conor Bradley,,bradley-conor,C. Bradley,D,12,15669,M,1008402,"{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",53.131818181818,30.072727272727,66,home,,conorbradley03
Caoimhin Kelleher,,caoimhin-kelleher,C. Kelleher,G,1,10299,M,827362,"{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",16.260810810811,49.072972972973,74,home,,caoimhinkelleher98
Harvey Elliott,,harvey-elliott,H. Elliott,M,19,21929,M,955245,"{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",72.59125,37.805,80,home,,harvelliott
Jarell Quansah,,jarell-quansah,J. Quansah,D,4,10706,M,1003339,"{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",37.483582089552,34.425373134328,67,home,,jarellquansah
Alexis Mac Allister,,alexis-mac-allister,A. Mac Allister,M,10,73401,M,895324,"{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",60.819047619048,40.45,84,home,,Macca10
Luis Díaz,,luis-diaz,L. Díaz,F,14,140854,M,883537,"{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",77.524637681159,69.66231884058,69,home,,LuisDíaz
Wataru Endo,,wataru-endo,W. Endo,M,3,19922,M,143040,"{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",45.961445783133,55.728915662651,83,home,,endowataru
Virgil van Dijk,,virgil-van-dijk,V. van Dijk,D,4,103743,M,151545,"{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",38.113684210526,68.711578947368,95,home,,VvD
Joe Gomez,,joe-gomez,J. Gomez,D,2,14017,M,318927,"{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",52.322619047619,62.072619047619,84,home,,joegomez5
Jordan Clark,,jordan-clark,J. Clark,M,18,124,M,150477,"{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",46.17,56.56,10,away,,
