name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,totalClearance,interceptionWon,wasFouled,fouls,keyPass,goalAssist,bigChanceCreated,totalOffside,outfielderBlock,totalTackle,wonTackle,challengeLost,unsuccessfulTouch,blockedScoringAttempt,goals,goodHighClaim,punches,bigChanceMissed
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",22.0,17.0,,,4.0,6.0,13.0,18.0,2.0,,,90.0,44.0,6.6,18.0,0.0906,0.0,0.0332333,"{'original': 6.6, 'alternative': 6.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,2.0,,10.0,3.0,3.0,4.0,1.0,2.0,,,,2.0,2.0,1.0,,,,,,,,4.0,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",31.0,28.0,5.0,4.0,9.0,10.0,19.0,24.0,1.0,,,45.0,40.0,7.0,7.0,0.0198,0.0227,0.0129809,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,,,,1.0,,,,,,,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",19.0,15.0,1.0,1.0,4.0,4.0,11.0,15.0,4.0,,,27.0,24.0,6.9,4.0,0.107,0.0,0.0415685,"{'original': 6.9, 'alternative': 6.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,2.0,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",14.0,12.0,1.0,1.0,2.0,2.0,11.0,14.0,2.0,,,27.0,28.0,7.2,7.0,0.047,0.0,0.0499521,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,1.0,,,2.0,4.0,1.0,2.0,1.0,1.0,,,,3.0,,3.0,,,,,,,,1.0,,,,,
Anthony Martial,,,anthony-martial,A. Martial,M,9,181,16939,M,martial_9,191176,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,818121600,"{'value': 7300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني مارسيال', 'hi': 'एंथनी मार्शल', 'bn': 'অ্যান্টনি মার্শাল'}, 'shortNameTranslation': {'ar': 'أ. مارسيال', 'hi': 'ए. मार्शल', 'bn': 'এ. মার্শাল'}}",7.0,7.0,1.0,1.0,1.0,1.0,6.0,6.0,,,,19.0,10.0,6.7,2.0,0.161,0.097,0.00363232,"{'original': 6.7, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",2.0,2.0,,,,,2.0,2.0,1.0,,,11.0,5.0,8.9,,0.3823,0.9167,0.00100902,"{'original': 8.9, 'alternative': 8.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,2.0,1.0,,,,,2.0,,,,,,,,,,1.0,,,,,2.0,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facundo Pellistri,,,facundo-pellistri,F. Pellistri,M,28,174,7968,M,facupellistri,989803,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,1008806400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فاكوندو بيليستري', 'hi': 'फ़ाकंडो पेलिस्ट्री', 'bn': 'ফ্যাকুন্ডো পেলিস্ট্রি'}, 'shortNameTranslation': {'ar': 'ف. بيليستري', 'hi': 'एफ. पेलिस्ट्री', 'bn': 'এফ. পেলিস্ট্রি'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donny van de Beek,,,donny-van-de-beek,D. v. d. Beek,M,6,183,8261,M,donnyvdbeek,361790,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,861321600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوني فان دي بيك', 'hi': 'डोनी वैन डे बीक', 'bn': 'ডনি ভ্যান ডি বেক'}, 'shortNameTranslation': {'ar': 'د. فان دي بيك', 'hi': 'डी.वी.डी. बेक', 'bn': 'ডি. ভি. ডি. বেক'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannibal Mejbri,,,hannibal-mejbri,H. Mejbri,M,28,182,19155,M,hannibal_mj,1009386,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,1043107200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'حنبعل المجبري', 'hi': 'हैनिबल मेजब्री', 'bn': 'হ্যানিবল মেজব্রি'}, 'shortNameTranslation': {'ar': 'ح. المجبري', 'hi': 'एच. मेजब्री', 'bn': 'এইচ. মেজব্রি'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
