name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,totalClearance,lastManTackle,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,aerialWon,outfielderBlock,interceptionWon,wasFouled,dispossessed,wonContest,blockedScoringAttempt,keyPass,bigChanceCreated,goalAssist,accurateCross,errorLeadToAGoal,firstName,lastName,bigChanceMissed,onTargetScoringAttempt,expectedGoalsOnTarget,totalOffside,goals,penaltyMiss,crossNotClaimed,penaltySave,penaltyFaced,penaltyConceded,clearanceOffLine
Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7467,M,jpickford1,138530,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,762998400,"{'value': 16100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان بيكفورد', 'hi': 'जॉर्डन पिकफोर्ड', 'bn': 'জর্ডান পিকফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'hi': 'जे. पिकफोर्ड', 'bn': 'জে.পিকফোর্ড'}}",50.0,37.0,25.0,12.0,31.0,32.0,6.0,18.0,14.0,1.0,1.0,2.0,1.0,1.0,90.0,63.0,6.8,14.0,0.00664692,"{'original': 6.8, 'alternative': 6.4}",0,-0.1468,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Godfrey,ben-godfrey,B. Godfrey,D,22,183,591,M,,754698,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,884822400,"{'value': 5100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن غودفري', 'hi': 'बेन गॉडफ्रे', 'bn': 'বেন গডফ্রে'}, 'shortNameTranslation': {'ar': 'ب. غودفري', 'hi': 'बी. गॉडफ्रे', 'bn': 'বি. গডফ্রে'}}",37.0,29.0,9.0,2.0,13.0,15.0,16.0,24.0,6.0,,,,,,90.0,64.0,6.3,15.0,0.00881521,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,4.0,8.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,0.0491,,,,,,,,,,,,,,,,,,,,,,,,,
James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2332,M,,145188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,722131200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس تاركوفسكي', 'hi': 'जेम्स टार्कोव्स्की', 'bn': 'জেমস তারকোভস্কি'}, 'shortNameTranslation': {'ar': 'ج. تاركوفسكي', 'hi': 'जे. टार्कोव्स्की', 'bn': 'জে. তারকোভস্কি'}}",62.0,53.0,9.0,5.0,30.0,31.0,23.0,31.0,7.0,,,,,,90.0,78.0,6.8,10.0,0.0239051,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,2.0,3.0,6.0,1.0,,,5.0,,3.0,1.0,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
Jarrad Branthwaite,jarrad-branthwaite,J. Branthwaite,D,32,195,2559,M,,979563,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1025136000,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاراد برانثويت', 'hi': 'जेर्राड ब्रैंथवेट', 'bn': 'জারাদ ব্র্যানথওয়েট'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'hi': 'जे. ब्रैंथवेट', 'bn': 'জে. ব্র্যানথওয়েট'}}",72.0,55.0,7.0,2.0,42.0,50.0,13.0,22.0,9.0,,,,,,90.0,79.0,6.4,17.0,0.00642756,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,6.0,6.0,3.0,,,,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Vitaliy Mykolenko,vitaliy-mykolenko,V. Mykolenko,D,16,180,4121,M,mikola_16,876643,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,927936000,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'hi': 'विटाली मायकोलेंको', 'bn': 'ভিটালি মাইকোলেনকো'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'hi': 'वी. मायकोलेंको', 'bn': 'ভি. মাইকোলেনকো'}}",48.0,39.0,6.0,3.0,26.0,29.0,13.0,22.0,5.0,,,,,,90.0,71.0,6.5,15.0,0.0157243,"{'original': 6.5, 'alternative': 6.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,4.0,5.0,2.0,1.0,,1.0,,1.0,,1.0,,0.0399,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
Jack Harrison,jack-harrison,J. Harrison,M,20,175,1080,M,,829570,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,848448000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك هاريسون', 'hi': 'जैक हैरिसन', 'bn': 'জ্যাক হ্যারিসন'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'hi': 'जे. हैरिसन', 'bn': 'জে. হ্যারিসন'}}",26.0,20.0,3.0,2.0,6.0,7.0,14.0,28.0,4.0,,,,,,80.0,52.0,6.6,21.0,0.431288,"{'original': 6.6, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,1.0,8.0,1.0,1.0,3.0,,1.0,,,,1.0,1.0,,,,,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
Amadou Onana,amadou-onana,A. Onana,M,24,195,6827,M,its_onana,923973,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,997920000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمادو أونانا', 'hi': 'अमादौ ओनाना', 'bn': 'আমাদৌ ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",56.0,50.0,1.0,1.0,27.0,28.0,23.0,28.0,14.0,,,,,,90.0,71.0,7.2,10.0,0.0352687,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,7.0,2.0,1.0,1.0,,,2.0,2.0,1.0,,0.0376,4.0,,,,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,
James Garner,james-garner,J. Garner,M,37,182,2524,M,,927361,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,984441600,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس غارنر', 'hi': 'जेम्स गार्नर', 'bn': 'জেমস গার্নার'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'hi': 'जे. गार्नर', 'bn': 'জে. গার্নার'}}",52.0,46.0,4.0,3.0,26.0,26.0,22.0,33.0,3.0,,,,,,90.0,67.0,6.7,12.0,0.357428,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,7.0,1.0,5.0,2.0,2.0,2.0,,,,,,,1.0,0.0592,1.0,,,,,1.0,2.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,2030,M,,935543,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,943228800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوايت مكنيل', 'hi': 'ड्वाइट मैकनील', 'bn': 'ডোয়াইট ম্যাকনিল'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'hi': 'डी. मैकनील', 'bn': 'ডি. ম্যাকনিল'}}",35.0,26.0,4.0,2.0,10.0,13.0,16.0,27.0,4.0,,,,,,89.0,55.0,7.4,19.0,0.26763,"{'original': 7.4, 'alternative': 7.1}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,,2.0,1.0,1.0,2.0,1.0,,,,,2.0,,0.6649,,,,,,1.0,1.0,4.0,1.0,,,,Dwight,McNeil,1.0,3.0,0.8595,,,,,,,,
Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1300,M,,96535,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,725846400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عبدالله دوكوري', 'hi': 'अब्दुलाये डौकोरे', 'bn': 'আবদুলায়ে ডকোরে'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'hi': 'ए. डौकोरे', 'bn': 'এ. ডকোরে'}}",27.0,24.0,1.0,,4.0,4.0,20.0,25.0,4.0,,,,,,89.0,46.0,6.1,15.0,0.0339728,"{'original': 6.1, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,11.0,,2.0,2.0,,,,,,3.0,3.0,0.2497,,,,,3.0,,,3.0,,,,,,,1.0,1.0,,2.0,,,,,,,
