Decay,Threshold,Kelly_Growth_Pct,Bets
0.005,0.15,-13.573800213039396,553
0.003,0.15,-21.53448662315941,524
0.001,0.15,-28.895639492763053,528
0.007,0.1,-30.075433633194233,706
0.005,0.1,-30.741516049878577,677
0.003,0.1,-31.024322855976127,652
0.007,0.15,-31.781428252737147,592
0.005,0.05,-33.99600173668487,798
0.001,0.1,-34.581040751445,653
0.005,0.02,-35.46048006037654,896
0.003,0.05,-35.55332900059201,792
0.005,0.0,-35.798949585374146,937
0.003,0.02,-36.934463589627036,886
0.003,0.0,-36.98260968197069,934
0.007,0.05,-40.63278779282822,813
0.01,0.15,-41.698087388652866,652
0.007,0.0,-43.01035800453892,956
0.001,0.05,-43.47971233145785,781
0.007,0.02,-43.708338709459035,891
0.001,0.0,-44.21224446689752,931
0.001,0.02,-44.309055482759,885
0.0,0.1,-44.82441341628589,662
0.0,0.15,-47.130144561746576,545
0.0,0.05,-50.794040949359285,798
0.0,0.02,-50.82928430903066,883
0.0,0.0,-51.313987891699206,932
0.01,0.1,-56.126112253698054,744
0.01,0.02,-57.36511308493439,929
0.01,0.0,-57.64932402664065,978
0.01,0.05,-58.60604667518131,858
