name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,duelLost,duelWon,challengeLost,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalCross,accurateCross,aerialLost,aerialWon,dispossessed,totalContest,wonContest,bigChanceCreated,outfielderBlock,wasFouled,keyPass,sofascoreId,interceptionWon,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,hitWoodwork,totalOffside
Sam Johnstone,sam-johnstone,S. Johnstone,G,31,193,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",36.0,31.0,10.0,5.0,30.0,30.0,1.0,6.0,1.0,13.0,2.0,3.0,5.0,1.0,90.0,53.0,8.3,5.0,0.0,0.0,0.00024995,"{'original': 8.3, 'alternative': 8.1}",0,0.8103,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,nathaniel-clyne,N. Clyne,D,17,175,674,M,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",33.0,29.0,2.0,1.0,13.0,15.0,16.0,18.0,3.0,3.0,,,,,90.0,47.0,7.0,7.0,0.0317,0.0,0.0104174,"{'original': 7, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Joachim Andersen,joachim-andersen,J. Andersen,D,5,190,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",113.0,98.0,17.0,8.0,61.0,62.0,38.0,52.0,3.0,4.0,,,,,90.0,126.0,7.9,16.0,0.0,0.0,0.0824038,"{'original': 7.9, 'alternative': 7.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,7.0,,,1.0,1.0,,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,
Marc Guéhi,marc-guehi,M. Guéhi,D,6,182,7807,M,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",104.0,101.0,6.0,4.0,64.0,64.0,37.0,40.0,9.0,4.0,,,,,90.0,120.0,7.8,3.0,0.0,0.0,0.0188018,"{'original': 7.8, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,3.0,6.0,2.0,,2.0,2.0,,,,,1.0,,,1.0,1.0,,1.0,3.0,1.0,MarcGuehi13,,,,,,
Tyrick Mitchell,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",52.0,45.0,3.0,2.0,10.0,12.0,37.0,42.0,1.0,5.0,,,,,90.0,70.0,7.6,11.0,0.0,0.0,0.104884,"{'original': 7.6, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,6.0,,,4.0,3.0,2.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,,,2.0,,1.0,,,,,
Jeffrey Schlupp,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",3.0,3.0,,,2.0,2.0,1.0,1.0,,,,,,,26.0,7.0,6.5,3.0,0.0,0.0,0.00240782,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,
Will Hughes,will-hughes,W. Hughes,M,19,185,1013,M,193554,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,798076800,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويل هيوز', 'hi': 'विल ह्यूजेस', 'bn': 'উইল হিউজেস'}, 'shortNameTranslation': {'ar': 'و. هيوز', 'hi': 'डब्ल्यू. ह्यूजेस', 'bn': 'ডব্লিউ. হিউজেস'}}",59.0,53.0,3.0,1.0,25.0,29.0,28.0,32.0,2.0,5.0,,,,,90.0,70.0,6.6,10.0,0.0,0.0,0.021921,"{'original': 6.6, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,8.0,2.0,3.0,,2.0,,,2.0,2.0,,1.0,,2.0,,,,1.0,,,,,,,,,
Jaïro Riedewald,jairo-riedewald,J. Riedewald,M,44,186,1300,M,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",36.0,30.0,3.0,1.0,10.0,10.0,20.0,29.0,,2.0,,,,,75.0,48.0,6.9,12.0,0.0,0.0,0.0253096,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,4.0,1.0,,3.0,1.0,2.0,2.0,3.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,,,,
Jordan Ayew,jordan-ayew,J. Ayew,F,9,182,14311,M,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",36.0,31.0,,,8.0,9.0,23.0,29.0,,4.0,,,,,90.0,57.0,6.7,14.0,0.4097,0.073,0.0179903,"{'original': 6.7, 'alternative': 6.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,5.0,1.0,2.0,,,3.0,,2.0,,1.0,1.0,4.0,1.0,1.0,,,4.0,,jordanayew9,,1.0,1.0,,,
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",11.0,8.0,,,2.0,3.0,6.0,8.0,,,,,,,90.0,25.0,6.4,9.0,0.2147,0.0613,0.0169382,"{'original': 6.4, 'alternative': 6.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,7.0,4.0,,1.0,1.0,,2.0,,,,3.0,1.0,3.0,2.0,1.0,,,1.0,,Matetajphilippe,,1.0,1.0,,,
Odsonne Édouard,odsonne-edouard,O. Édouard,F,19,187,5777,M,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",18.0,13.0,,,2.0,3.0,11.0,16.0,1.0,2.0,,,,,90.0,30.0,6.8,13.0,0.0,0.0,0.0779761,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,3.0,1.0,,1.0,,3.0,,1.0,,2.0,1.0,3.0,,,1.0,,1.0,1.0,,1.0,,,,,
Jesurun Rak-Sakyi,jesurun-rak-sakyi,J. Rak-Sakyi,M,19,178,1031,M,1101362,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033776000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيسورون راك-ساكيي', 'hi': 'जेसुरुन राक-साकी', 'bn': 'জেসুরুন রাক-সাকি'}, 'shortNameTranslation': {'ar': 'ج. راك-ساكيي', 'hi': 'जे. राक-साकी', 'bn': 'জে. রাক-সাকাই'}}",24.0,20.0,1.0,1.0,4.0,5.0,16.0,21.0,1.0,6.0,,,,,64.0,46.0,7.2,11.0,0.1549,0.0,0.0368218,"{'original': 7.2, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,4.0,8.0,,,2.0,1.0,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,,,2.0,,,2.0,,,2.0,,
Chris Richards,chris-richards,C. Richards,D,26,188,2004,M,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",3.0,1.0,1.0,,1.0,3.0,,,1.0,,,,,,15.0,5.0,6.6,2.0,0.0,0.0,3.39e-05,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,2.0,,,,,,,,,1.0,2.0,,,,,,,,,1.0,,,,,
Remi Matthews,remi-matthews,R. Matthews,G,31,184,187,M,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Tomkins,james-tomkins,J. Tomkins,D,,192,104,M,32124,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,607132800,,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",,,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
