name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,bigChanceCreated,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,outfielderBlock,blockedScoringAttempt,unsuccessfulTouch,expectedGoals,dispossessed,shotOffTarget,errorLeadToAShot,onTargetScoringAttempt,expectedGoalsOnTarget,totalOffside,sofascoreId,goals,errorLeadToAGoal,crossNotClaimed,challengeLost
Antonee Robinson,,,antonee-robinson,A. Robinson,D,33,183,2925,M,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",43.0,29.0,13.0,5.0,14.0,19.0,15.0,25.0,,4.0,4.0,11.0,,,,,,,90.0,74.0,7.4,25.0,0.134084,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,,,2.0,1.0,,1.0,3.0,2.0,2.0,2.0,,2.0,,,1.0,,1.0,,,,,,,,,,
João Palhinha,,,joao-palhinha,J. Palhinha,M,6,189,16675,M,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",50.0,35.0,9.0,6.0,18.0,25.0,17.0,25.0,5.0,9.0,2.0,7.0,,,,,,,90.0,69.0,7.7,18.0,0.0140197,"{'original': 7.7, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,4.0,,,,3.0,1.0,,3.0,,1.0,,,1.0,0.1409,2.0,,,1.0,0.0808,,Palhinha,1.0,,,
Harrison Reed,,,harrison-reed,H. Reed,M,6,176,269,M,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",49.0,36.0,1.0,,19.0,23.0,17.0,27.0,,2.0,2.0,5.0,,,,,,,90.0,65.0,6.1,20.0,0.0107101,"{'original': 6.1, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,2.0,10.0,2.0,,,1.0,2.0,1.0,,2.0,,1.0,1.0,1.0,0.018,3.0,,,,,,,,,,1.0
Bobby Decordova-Reid,,,bobby-decordova-reid,B. Reid,M,14,170,1202,M,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",19.0,15.0,2.0,,9.0,11.0,8.0,11.0,1.0,2.0,1.0,2.0,,,,,,,75.0,30.0,6.5,8.0,0.039607,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,2.0,1.0,4.0,,,,,,,1.0,1.0,1.0,,,2.0,,1.0,,,,,1.0,,,,,1.0
Andreas Pereira,,,andreas-pereira,A. Pereira,M,18,177,13772,M,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",26.0,18.0,1.0,,7.0,8.0,16.0,32.0,1.0,2.0,1.0,,,,,,,,85.0,45.0,7.4,18.0,0.390858,"{'original': 7.4, 'alternative': 7.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,14.0,5.0,2.0,4.0,,,,,,,1.0,,6.0,,,,0.1108,,,,1.0,0.2495,,andreaspereira,,,,2.0
Willian,,,willian,Willian,F,88,175,9705,M,31417,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,587088000,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}, 'shortNameTranslation': {'ar': 'ويليان', 'hi': 'विलियन', 'bn': 'উইলিয়ান'}}",48.0,43.0,2.0,2.0,16.0,17.0,27.0,33.0,,1.0,,4.0,,,,,,,90.0,60.0,7.1,10.0,0.146706,"{'original': 7.1, 'alternative': 6.8}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,,1.0,4.0,1.0,,,2.0,,,1.0,1.0,1.0,,2.0,2.0,0.1882,,,,2.0,0.4954,,willianborges88,,,,1.0
Rodrigo Muniz,,,rodrigo-muniz,R. Muniz,F,9,184,4513,M,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",15.0,9.0,1.0,1.0,1.0,2.0,8.0,13.0,6.0,8.0,1.0,4.0,,,,,,,74.0,27.0,7.7,11.0,0.0804988,"{'original': 7.7, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,4.0,9.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,3.0,0.3001,2.0,,,2.0,0.3448,,RodrigoMuniz019,1.0,,,1.0
Armando Broja,,,armando-broja,A. Broja,F,27,191,8884,M,996985,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,1000080000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أرماندو برويا', 'hi': 'अरमांडो ब्रोजा', 'bn': 'আরমান্দো ব্রজা'}, 'shortNameTranslation': {'ar': 'أ. برويا', 'hi': 'ए. ब्रोजा', 'bn': 'এ. ব্রজা'}}",6.0,3.0,,,1.0,1.0,2.0,5.0,1.0,2.0,,1.0,,,,,,,16.0,9.0,6.6,4.0,0.00184078,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,4.0,5.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,armando.broja,,,,
Tom Cairney,,,tom-cairney,T. Cairney,M,10,185,480,M,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,15.0,2.0,6.3,,0.0227609,"{'original': 6.3, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Kenny Tete,,,kenny-tete,K. Tete,D,2,180,1091,M,190877,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,813196800,"{'value': 11900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيني تيتي', 'hi': 'केनी टेटे', 'bn': 'কেনি টেটে'}, 'shortNameTranslation': {'ar': 'ك. تيتي', 'hi': 'के. टेटे', 'bn': 'কে. টেটে'}}",2.0,1.0,,,,,1.0,2.0,1.0,2.0,,,,,,,,,12.0,4.0,6.2,1.0,0.0006894,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
Marek Rodák,,,marek-rodak,M. Rodák,G,1,188,425,M,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fodé Ballo-Touré,,,fode-ballo-toure,F. Ballo-Touré,D,97,177,1471,M,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luc De Fougerolles,,,luc-de-fougerolles,L. D. Fougerolles,D,44,183,315,M,1413129,"{'alpha2': 'CA', 'alpha3': 'CAN', 'name': 'Canada', 'slug': 'canada'}",EUR,1129075200,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك دي فوغيرول'}, 'shortNameTranslation': {'ar': 'ل. دي فوغيرول'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saša Lukić,,,sasa-lukic,S. Lukić,M,20,183,2089,M,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristian Šekularac,,,kristian-sekularac,K. Šekularac,M,,185,97,M,1087748,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,1070755200,"{'value': 110000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان شيكولاراك', 'hi': 'क्रिस्टियन सेकुलरैक', 'bn': 'ক্রিস্টিয়ান সেকুলারাক'}, 'shortNameTranslation': {'ar': 'ك. شيكولاراك', 'hi': 'के. शेकुलारैक', 'bn': 'কে. সেকুলারাক'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua King,Joshua King,,joshua-king,J. King,M,24,172,1759,M,1546231,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1167782400,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوشوا كينغ'}, 'shortNameTranslation': {'ar': 'ج. كينغ'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
