name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,aerialLost,duelLost,totalContest,wonContest,bigChanceCreated,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,outfielderBlock,blockedScoringAttempt,unsuccessfulTouch,expectedGoals,dispossessed,shotOffTarget,errorLeadToAShot,onTargetScoringAttempt,expectedGoalsOnTarget,totalOffside,sofascoreId,goals,errorLeadToAGoal,crossNotClaimed,challengeLost
Lyle Foster,,,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",17.0,9.0,2.0,1.0,4.0,6.0,5.0,11.0,4.0,8.0,4.0,3.0,,,,,,,90.0,30.0,6.9,12.0,0.0213366,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,9.0,12.0,2.0,2.0,,,2.0,2.0,,2.0,,,1.0,2.0,0.0111,1.0,,,,,1.0,,,,,
Maxime Estève,Maxime Estève,,maxime-esteve,M. Estève,D,5,192,1543,M,1117223,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1022371200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسيم إستيف', 'hi': 'मैक्सिम एस्टेवे', 'bn': 'ম্যাক্সিম এস্টেভ'}, 'shortNameTranslation': {'ar': 'م. إستيف', 'hi': 'एम. एस्टेवे', 'bn': 'এম. এস্তেভ'}}",46.0,38.0,4.0,,26.0,29.0,12.0,17.0,2.0,3.0,2.0,5.0,,,,,,,45.0,53.0,6.8,8.0,0.00452648,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,2.0,4.0,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,
Jóhann Guðmundsson,,,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",9.0,7.0,1.0,1.0,6.0,6.0,1.0,4.0,1.0,1.0,,3.0,,,,,,,27.0,11.0,6.7,3.0,0.001376,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
David Datro Fofana,,,david-datro-fofana,D. D. Fofana,F,19,181,6836,M,1090458,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1040515200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد داترو فوفانا', 'hi': 'डेविड दात्रो फ़ोफ़ाना', 'bn': 'ডেভিড দাত্রো ফোফানা'}, 'shortNameTranslation': {'ar': 'د. د. فوفانا', 'hi': 'डी.डी. फ़ोफ़ाना', 'bn': 'ডি. ডি. ফোফানা'}}",3.0,,,,,,,3.0,,2.0,,,,,,,,,27.0,15.0,8.4,9.0,,"{'original': 8.4, 'alternative': 8.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,2.0,1.0,,,,2.0,1.0,,,1.0,,,4.0,1.0509,,,,2.0,1.1714,,datro_9,2.0,,,
Jacob Bruun Larsen,,,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",3.0,1.0,,,,,1.0,3.0,1.0,1.0,,1.0,,,,,,,10.0,6.0,6.4,3.0,0.00040087,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Han-Noah Massengo,,,massengo-han-noah,H. Massengo,M,4,175,500,M,927340,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,994377600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماسينغو، هان-نواه', 'hi': 'मासेंगो, हान-नोहा', 'bn': 'ম্যাসেঙ্গো, হান-নোহ'}, 'shortNameTranslation': {'ar': 'ه. ماسينغو', 'hi': 'एच. मासेंगो', 'bn': 'এইচ. ম্যাসেঙ্গো'}}",2.0,1.0,,,1.0,1.0,,2.0,,,,1.0,,,,,,,1.0,5.0,,4.0,0.00012666,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Arijanet Murić,,,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameen Al-Dakhil,,,ameen-al-dakhil,A. Al-Dakhil,D,2,185,812,M,964761,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1015372800,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أمين الدخيل', 'hi': 'अमीन अल-दखिल', 'bn': 'আমীন আল দাখিল'}, 'shortNameTranslation': {'ar': 'أ. الدخيل', 'hi': 'ए. अल-दखिल', 'bn': 'এ. আল-দাখিল'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Cullen,,,cullen-josh,J. Cullen,M,24,175,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Trésor,,,mike-tresor,M. Trésor,M,31,175,1098,M,826183,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,927849600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايك تريزور', 'hi': 'माइक ट्रेसोर', 'bn': 'মাইক ট্রেসর'}, 'shortNameTranslation': {'ar': 'م. تريزور', 'hi': 'एम. ट्रेसोर', 'bn': 'এম. ট্রেসর'}}",,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernd Leno,,,bernd-leno,B. Leno,G,1,190,2729,M,103335,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,699667200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرند لينو', 'hi': 'बर्न्ड लेनो', 'bn': 'বার্ন্ড লেনো'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'hi': 'बी. लेनो', 'bn': 'বি. লেনো'}}",37.0,27.0,13.0,3.0,25.0,26.0,2.0,11.0,,,,7.0,,1.0,2.0,,2.0,2.0,90.0,43.0,5.7,10.0,0.00110737,"{'original': 5.7, 'alternative': 5.6}",0,-0.7479,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
Timothy Castagne,,,timothy-castagne,T. Castagne,D,21,185,2324,M,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",46.0,33.0,6.0,1.0,22.0,27.0,12.0,21.0,1.0,3.0,2.0,3.0,,,,,,,90.0,84.0,6.9,17.0,0.012352,"{'original': 6.9, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,1.0,3.0,5.0,1.0,,,2.0,2.0,1.0,,,,2.0,,2.0,0.6017,,3.0,,,,,,,,,1.0
Tosin Adarabioyo,,,tosin-adarabioyo,T. Adarabioyo,D,4,196,10404,M,352668,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,875059200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توسين أدارابايو', 'hi': 'टोसिन अदाराबियोयो', 'bn': 'তোসিন আদারাবিয়োয়ো'}, 'shortNameTranslation': {'ar': 'ت. أدارابايو', 'hi': 'टी. अदाराबियोयो', 'bn': 'টি. আদারাবিয়োয়ো'}}",89.0,72.0,9.0,4.0,56.0,62.0,16.0,27.0,10.0,10.0,5.0,2.0,,,,,,,90.0,100.0,7.1,18.0,0.0184373,"{'original': 7.1, 'alternative': 7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,1.0,2.0,,,,2.0,,,,,,,,,0.155,1.0,1.0,,1.0,0.0998,,tosinadarabioyo,,,,
Tim Ream,,,tim-ream,T. Ream,D,3,185,550,M,118179,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,560390400,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيم ريم', 'hi': 'टिम रीम', 'bn': 'টিম রেম'}, 'shortNameTranslation': {'ar': 'ت. ريم', 'hi': 'टी. रीम', 'bn': 'টি. রেম'}}",58.0,50.0,8.0,2.0,35.0,36.0,15.0,22.0,1.0,3.0,3.0,3.0,,,,,,,90.0,67.0,6.5,8.0,0.00739135,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,,2.0,3.0,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0
