name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialWon,duelWon,bigChanceCreated,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,keyPass,duelLost,challengeLost,interceptionWon,errorLeadToAGoal,sofascoreId,totalContest,wonContest,dispossessed,wasFouled,fouls,totalOffside,aerialLost,outfielderBlock,onTargetScoringAttempt,goals,errorLeadToAShot,expectedGoals,expectedGoalsOnTarget,bigChanceMissed,shotOffTarget,blockedScoringAttempt,goodHighClaim
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",36.0,28.0,14.0,6.0,0.0,25.0,28.0,3.0,8.0,7.0,1.0,3.0,90.0,43.0,6.3,8.0,0.0005273,"{'original': 6.3, 'alternative': 5.8}",0,-0.2692,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",23.0,22.0,,,0.0,15.0,15.0,8.0,11.0,,,,63.0,37.0,6.6,5.0,0.0959403,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Mads,Roerslev,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",66.0,56.0,3.0,2.0,0.0,32.0,37.0,24.0,29.0,7.0,,,90.0,75.0,6.4,10.0,0.0556076,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,4.0,,2.0,2.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",46.0,44.0,2.0,1.0,0.0,33.0,34.0,11.0,12.0,6.0,,,90.0,53.0,5.6,3.0,0.00400221,"{'original': 5.6, 'alternative': 5.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,6051,M,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",39.0,30.0,6.0,4.0,0.0,20.0,24.0,11.0,20.0,9.0,,,74.0,62.0,6.1,16.0,0.2154,"{'original': 6.1, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,5.0,1.0,1.0,4.0,,3.0,2.0,2.0,1.0,1.0,1.0,,,1.0,sergio_regui,2.0,1.0,,,,,,,,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",34.0,25.0,3.0,1.0,0.0,10.0,12.0,15.0,23.0,4.0,,,64.0,49.0,6.3,14.0,0.0277282,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,3.0,,,1.0,,1.0,,5.0,,2.0,,,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",78.0,72.0,3.0,1.0,0.0,36.0,39.0,37.0,40.0,11.0,,,90.0,88.0,6.6,7.0,0.156116,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,1.0,1.0,,4.0,,,2.0,1.0,,1.0,9.0,2.0,1.0,,,,,1.0,2.0,5.0,,1.0,1.0,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",36.0,31.0,2.0,1.0,0.0,18.0,18.0,14.0,20.0,3.0,,,74.0,45.0,7.1,7.0,0.0444506,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,0.2234,0.6213,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",28.0,20.0,2.0,2.0,0.0,3.0,5.0,17.0,26.0,3.0,,,90.0,49.0,6.7,19.0,0.118609,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,,,4.0,1.0,1.0,1.0,,2.0,1.0,7.0,1.0,,,bryan_m19,7.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,
Ivan Toney,ivan-toney,I. Toney,F,17,185,10125,M,290927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,826934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",19.0,13.0,1.0,,1.0,5.0,7.0,8.0,12.0,4.0,,,90.0,37.0,6.4,12.0,0.0148226,"{'original': 6.4, 'alternative': 6.3}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,1.0,6.0,,1.0,1.0,,5.0,1.0,7.0,1.0,,,ivantoney,2.0,1.0,,3.0,2.0,,3.0,,2.0,,,0.5617,0.5589,2.0,2.0,,
