name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,duelLost,duelWon,challengeLost,totalContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,fouls,expectedGoals,expectedGoalsOnTarget,aerialWon,totalCross,aerialLost,dispossessed,unsuccessfulTouch,keyPass,wonContest,goalAssist,accurateCross,goals,wasFouled,totalOffside,bigChanceCreated,lastManTackle
Rasmus Højlund,,,rasmus-hojlund,R. Højlund,F,19,191,71511,M,RHøjlund,1086417,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1044316800,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'راسموس هويجلوند', 'hi': 'रस्मस होजलंड', 'bn': 'রাসমাস হলান্ড'}, 'shortNameTranslation': {'ar': 'راسموس هوجلوند', 'hi': 'रासमस होजलंड', 'bn': 'রাসমাস হলান্ড'}}",20.0,14.0,1.0,1.0,3.0,4.0,11.0,17.0,,3.0,,,,,88.0,33.0,7.6,11.0,0.0234347,"{'original': 7.6, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,7.0,1.0,3.0,1.0,1.0,,,,1.0,,,0.1314,0.2334,2.0,1.0,3.0,,3.0,,2.0,,,1.0,2.0,1.0,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",10.0,7.0,2.0,1.0,2.0,2.0,5.0,8.0,,2.0,,,,,26.0,15.0,7.2,4.0,0.0316308,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,3.0,1.0,,1.0,,,,,3.0,2.0,1.0,0.0621,,,,,1.0,,1.0,,1.0,,,,,1.0,
Raphaël Varane,,,raphael-varane,R. Varane,D,,191,10416,M,raphael_varane,138310,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,735696000,,"{'nameTranslation': {'ar': 'رافاييل فاران', 'hi': 'रफएल वरने', 'bn': 'রাফায়েল ভারানে'}, 'shortNameTranslation': {'ar': 'ر. فاران', 'hi': 'आर. वरने', 'bn': 'আর. ভারানে'}}",18.0,17.0,2.0,1.0,11.0,11.0,6.0,7.0,2.0,1.0,,,,,19.0,20.0,6.7,1.0,0.00144021,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,9198,M,victorlindelof,143334,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,774403200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",8.0,8.0,,,4.0,4.0,4.0,4.0,,,,,,,9.0,8.0,6.4,,0.00704025,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,2.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",9.0,9.0,,,5.0,5.0,4.0,4.0,1.0,2.0,,,,,9.0,12.0,6.9,,0.0425389,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,
Altay Bayındır,,,altay-bayindir,A. Bayındır,G,1,198,15058,M,altaybayindir,815890,"{'alpha2': 'TR', 'alpha3': 'TUR', 'name': 'Türkiye', 'slug': 'turkiye'}",EUR,892512000,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألتاي بايندر', 'hi': 'अल्ताय बय्यन्दिर', 'bn': 'আলতায় বেয়ান্দির'}, 'shortNameTranslation': {'ar': 'أ. بايندر', 'hi': 'ए. बय्यन्दिर', 'bn': 'এ. বেয়ান্দির'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Eriksen,,,christian-eriksen,C. Eriksen,M,24,182,22138,M,chriseriksen8,105734,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,698025600,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان إريكسن', 'hi': 'क्रिस्टियन एरिक्सन', 'bn': 'ক্রিশ্চিয়ান এরিকসেন'}, 'shortNameTranslation': {'ar': 'ك. إريكسن', 'hi': 'सी. एरिक्सन', 'bn': 'সি. এরিকসেন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omari Forson,,,forson-omari,O. Forson,M,20,179,1079,M,,1153434,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1090281600,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فورسون، أوماري', 'hi': 'फ़ोरसन, ओमारी', 'bn': 'ফোরসন, ওমারি'}, 'shortNameTranslation': {'ar': 'ف. أوماري', 'hi': 'ओ. फ़ोरसन', 'bn': 'ও. ফোরসন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amad Diallo,,,diallo-amad,A. Diallo,F,16,173,85678,M,AmadDiallo19,971037,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1026345600,"{'value': 49000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديالو، أماد', 'hi': 'डायलो, अमाद', 'bn': 'ডায়ালো, আমাদ'}, 'shortNameTranslation': {'ar': 'أ. ديالو', 'hi': 'ए. अमाद', 'bn': 'এ. ডায়ালো'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
