name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,expectedGoals,expectedGoalsOnTarget,aerialLost,unsuccessfulTouch,totalContest,wasFouled,keyPass,goalAssist,challengeLost,bigChanceCreated,fouls,bigChanceMissed,goals,wonContest,shotOffTarget,goodHighClaim,savedShotsFromInsideTheBox,saves,outfielderBlock,totalOffside,errorLeadToAGoal
Ederson,ederson,Ederson,G,31,188,51284,M,Ederson93,254491,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,745545600,"{'value': 16600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'hi': 'एडरसन', 'bn': 'এডারসন'}}",27.0,24.0,7.0,5.0,24.0,26.0,1.0,2.0,2.0,2.0,8.0,1.0,3.0,3.0,90.0,35.0,6.6,3.0,0.00019522,"{'original': 6.6, 'alternative': 6.5}",0,-0.7251,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Walker,kyle-walker,K. Walker,D,2,183,28997,M,KyleWalker2,44614,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,643852800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كايل ووكر', 'hi': 'काइल वाकर', 'bn': 'কাইল ওয়াকার'}, 'shortNameTranslation': {'ar': 'ك. ووكر', 'hi': 'के. वाकर', 'bn': 'কে. ওয়াকার'}}",103.0,98.0,6.0,4.0,29.0,30.0,74.0,1.0,2.0,1.0,8.0,,,,90.0,121.0,7.6,7.0,0.149393,"{'original': 7.6, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,70.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0559,0.0648,,,,,,,,,,,,,,,,,,,
Rúben Dias,ruben-dias,R. Dias,D,3,188,40658,M,RúbenD,318941,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,863568000,"{'value': 65000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روبن دياز', 'hi': 'रुबेन डियास', 'bn': 'রুবেন ডায়াস'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'hi': 'आर. डियास', 'bn': 'আর. ডায়াস'}}",106.0,102.0,2.0,1.0,49.0,50.0,57.0,,,,1.0,,,,90.0,111.0,6.8,6.0,0.0347043,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,54.0,1.0,1.0,2.0,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,
Nathan Aké,nathan-ake,N. Aké,D,6,180,21377,M,nathanake,149663,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,793065600,"{'value': 16399999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان آكي', 'hi': 'नाथन एके', 'bn': 'নাথান আকে'}, 'shortNameTranslation': {'ar': 'ن. آكي', 'hi': 'एन. एके', 'bn': 'এন. আকে'}}",88.0,85.0,1.0,1.0,26.0,26.0,64.0,3.0,6.0,1.0,3.0,,,,90.0,103.0,7.4,6.0,0.126364,"{'original': 7.4, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,59.0,2.0,,3.0,,,,1.0,1.0,1.0,,,2.0,,1.0,2.0,1.0,,,,,,,,,,,,,,
Rodri,rodri,Rodri,M,16,191,93944,M,Rodri,827606,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,835401600,"{'value': 68000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}, 'shortNameTranslation': {'ar': 'رودري', 'hi': 'रोड्री', 'bn': 'রডরি'}}",114.0,103.0,11.0,11.0,28.0,28.0,86.0,2.0,5.0,,8.0,,,,90.0,123.0,9.0,13.0,0.406878,"{'original': 9, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,75.0,,,4.0,,1.0,1.0,,2.0,1.0,0.1375,0.3247,1.0,1.0,,1.0,3.0,2.0,2.0,1.0,1.0,,,,,,,,,,
John Stones,john-stones,J. Stones,D,5,188,22451,M,johnstones5,152077,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,770083200,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون ستونز', 'hi': 'जॉन स्टोन्स', 'bn': 'জন স্টোনস'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'hi': 'जे. स्टोन्स', 'bn': 'জে. স্টোনস'}}",75.0,69.0,6.0,3.0,23.0,23.0,52.0,,1.0,,6.0,,,,90.0,81.0,6.9,8.0,0.0725788,"{'original': 6.9, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,46.0,,,3.0,2.0,,1.0,,,,0.0219,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
Phil Foden,phil-foden,P. Foden,M,47,171,188988,M,Foden,859765,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,959472000,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيل فودين', 'hi': 'फिल फोडेन', 'bn': 'ফিল ফোডেন'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'hi': 'पी. फोडेन', 'bn': 'পি. ফোডেন'}}",83.0,79.0,4.0,4.0,7.0,8.0,86.0,,5.0,,5.0,,,,89.0,116.0,9.8,16.0,0.727028,"{'original': 9.8, 'alternative': 9.3}",9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,74.0,11.0,2.0,5.0,1.0,4.0,5.0,1.0,1.0,,0.995,2.0137,2.0,1.0,1.0,4.0,2.0,,1.0,1.0,,1.0,2.0,,,,,,,,
Bernardo Silva,bernardo-silva,B. Silva,M,20,173,65986,M,BSilva,331209,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,776476800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'hi': 'बर्नार्डो सिल्वा', 'bn': 'বার্নার্ডো সিলভা'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'hi': 'बी. सिल्वा', 'bn': 'বি. সিলভা'}}",70.0,61.0,3.0,2.0,13.0,14.0,64.0,,5.0,,6.0,,,,90.0,95.0,8.2,17.0,0.394714,"{'original': 8.2, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,50.0,8.0,2.0,6.0,1.0,,1.0,4.0,,,0.0755,,,1.0,5.0,,7.0,,3.0,,2.0,,,5.0,,,,,,,
Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,335100,M,KDB,70996,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,678067200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفن دي بروين', 'hi': 'केविन डी ब्रूने', 'bn': 'কেভিন ডি ব্রুইন'}, 'shortNameTranslation': {'ar': 'ك. دي بروين', 'hi': 'के. डी ब्रूने', 'bn': 'কে. ডি ব্রুইন'}}",76.0,64.0,4.0,4.0,5.0,5.0,83.0,1.0,4.0,,3.0,,,,90.0,110.0,8.5,29.0,0.437252,"{'original': 8.5, 'alternative': 7.8}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,59.0,12.0,,5.0,2.0,,1.0,1.0,,,0.2839,,,1.0,5.0,,6.0,,,1.0,1.0,,,3.0,4.0,,,,,,
Jérémy Doku,jeremy-doku,J. Doku,M,11,173,68596,M,Dokss,934386,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,1022457600,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيريمي دوكو', 'hi': 'जेरेमी डोकू', 'bn': 'জেরেমি ডকু'}, 'shortNameTranslation': {'ar': 'ج. دوكو', 'hi': 'जे. डोकू', 'bn': 'জে. ডকু'}}",37.0,31.0,1.0,1.0,3.0,3.0,36.0,,3.0,,1.0,,,,59.0,54.0,7.1,14.0,0.192139,"{'original': 7.1, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,28.0,2.0,,4.0,,1.0,1.0,,,,0.1428,0.4126,,2.0,6.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,
