name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,totalClearance,totalTackle,unsuccessfulTouch,fouls,dispossessed,onTargetScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,interceptionWon,bigChanceCreated,blockedScoringAttempt,keyPass,firstName,lastName,goalAssist,totalContest,wonContest,wonTackle,totalOffside,shotOffTarget,challengeLost,sofascoreId,bigChanceMissed,goodHighClaim,saves,outfielderBlock,ownGoals,hitWoodwork
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",21.0,17.0,8.0,4.0,16.0,17.0,1.0,4.0,1.0,1.0,1.0,45.0,23.0,6.1,4.0,0.00311921,"{'original': 6.1, 'alternative': 6}",0,-0.7909,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",52.0,41.0,2.0,2.0,22.0,25.0,20.0,29.0,4.0,2.0,,79.0,60.0,6.3,13.0,0.00989087,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",78.0,71.0,5.0,3.0,58.0,61.0,13.0,17.0,4.0,4.0,,90.0,100.0,7.5,9.0,0.00418349,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,4.0,4.0,13.0,,1.0,,1.0,1.0,1.0,0.1614,0.6783,,,,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",78.0,62.0,13.0,5.0,49.0,55.0,13.0,23.0,10.0,7.0,1.0,90.0,86.0,6.8,16.0,0.00589571,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,9.0,2.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",63.0,48.0,6.0,4.0,28.0,33.0,21.0,35.0,2.0,9.0,1.0,89.0,84.0,6.9,21.0,0.0962036,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,1.0,1.0,3.0,3.0,,1.0,1.0,1.0,,,0.0139,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,
Frank Onyeka,frank-onyeka,F. Onyeka,M,15,183,3717,M,885864,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,883612800,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",39.0,32.0,4.0,2.0,10.0,13.0,22.0,26.0,6.0,5.0,2.0,90.0,56.0,7.4,11.0,0.0180606,"{'original': 7.4, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,4.0,1.0,2.0,1.0,,1.0,1.0,,0.24,0.0224,1.0,1.0,2.0,2.0,,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",59.0,47.0,6.0,2.0,17.0,20.0,30.0,40.0,5.0,7.0,,90.0,74.0,6.8,14.0,0.0694818,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,1.0,,2.0,3.0,3.0,4.0,2.0,1.0,1.0,,,,0.1053,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",48.0,44.0,6.0,5.0,14.0,14.0,32.0,38.0,3.0,4.0,1.0,78.0,65.0,7.5,10.0,0.25426,"{'original': 7.5, 'alternative': 7.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,,,5.0,,1.0,1.0,3.0,1.0,,,,,,1.0,,2.0,,,1.0,1.0,1.0,,,,1.0,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",47.0,32.0,1.0,1.0,7.0,10.0,25.0,45.0,6.0,6.0,4.0,90.0,75.0,7.9,29.0,0.168037,"{'original': 7.9, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,,2.0,1.0,6.0,,,2.0,1.0,,1.0,,0.3105,0.136,1.0,,,,,,,3.0,1.0,,,3.0,1.0,bryan_m19,1.0,,,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",26.0,19.0,1.0,1.0,3.0,5.0,16.0,21.0,6.0,3.0,3.0,90.0,43.0,7.8,12.0,0.0682551,"{'original': 7.8, 'alternative': 7.6}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,6.0,,2.0,2.0,1.0,2.0,1.0,1.0,0.611,0.886,,,1.0,1.0,,,,2.0,1.0,2.0,,1.0,,,,,,,,
