name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,outfielderBlock,interceptionWon,totalTackle,wonTackle,keyPass,aerialWon,goalAssist,wasFouled,fouls,totalOffside,totalCross,shotOffTarget,blockedScoringAttempt,unsuccessfulTouch,onTargetScoringAttempt,hitWoodwork,accurateCross,goals,bigChanceCreated,lastManTackle,bigChanceMissed
Matt Turner,,,matt-turner,M. Turner,G,30,190,1581,M,,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",21.0,10.0,18.0,8.0,3.0,4.0,7.0,17.0,,14.0,,2.0,5.0,90.0,38.0,7.2,11.0,0.0,0.0,0.00145462,"{'original': 7.2, 'alternative': 7.2}",0,-0.0174,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Boly,,,willy-boly,W. Boly,D,30,195,1805,M,,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",27.0,21.0,2.0,,15.0,17.0,6.0,10.0,2.0,4.0,,,,90.0,40.0,7.0,8.0,0.2137,0.0822,0.0348961,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,6.0,6.0,1.0,,,,1.0,,2.0,2.0,1.0,4.0,,,2.0,,,,,,1.0,,,,1.0,,
Joe Worrall,,,joe-worrall,J. Worrall,D,4,193,313,M,,838399,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,852854400,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وورال', 'hi': 'जो वॉरल', 'bn': 'জো ওয়ারাল'}, 'shortNameTranslation': {'ar': 'ج. وورال', 'hi': 'जे. वॉरल', 'bn': 'জে. ওয়ারাল'}}",16.0,10.0,5.0,1.0,9.0,9.0,1.0,7.0,5.0,1.0,,,,89.0,24.0,6.7,6.0,0.0,0.0,0.00020629,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,2.0,3.0,5.0,,,,,1.0,1.0,1.0,1.0,,4.0,,,1.0,,,,,,,,,,,,
Scott McKenna,,,scott-mckenna,S. McKenna,D,26,188,950,M,,358108,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,847756800,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت ماكنيا', 'hi': 'स्कॉट मैककेना', 'bn': 'স্কট ম্যাককেনা'}, 'shortNameTranslation': {'ar': 'س. ماكنيا', 'hi': 'एस. मैककेना', 'bn': 'এস. ম্যাককেনা'}}",17.0,11.0,2.0,,7.0,8.0,4.0,9.0,4.0,2.0,,,,90.0,33.0,6.5,8.0,0.0,0.0,0.00175325,"{'original': 6.5, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,6.0,,,,,,2.0,2.0,,,3.0,,1.0,1.0,,,,,,,,,,,,
Serge Aurier,,,serge-aurier,S. Aurier,D,93,176,3021,M,Serge_aurier,105697,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,725155200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرج أورييه', 'hi': 'सर्ज ऑरिएर', 'bn': 'সার্জ অউরিয়ার'}, 'shortNameTranslation': {'ar': 'س. أورييه', 'hi': 'एस. ऑरिएर', 'bn': 'সি. অউরিয়ার'}}",11.0,6.0,1.0,,3.0,3.0,3.0,9.0,1.0,3.0,,,,90.0,23.0,6.6,10.0,0.0,0.0,0.00068661,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,5.0,6.0,1.0,1.0,1.0,,,1.0,2.0,2.0,,2.0,,2.0,,,1.0,,,2.0,,,,,,1.0,
Ryan Yates,,,ryan-yates,R. Yates,M,22,190,881,M,,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",26.0,21.0,3.0,1.0,9.0,9.0,12.0,17.0,,4.0,,,,90.0,40.0,6.5,10.0,0.0,0.0,0.00954463,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,6.0,,1.0,1.0,,1.0,,1.0,,,2.0,,3.0,2.0,1.0,,,,2.0,,,,,,,
Orel Mangala,,,orel-mangala,O. Mangala,M,20,178,1539,M,,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",13.0,10.0,1.0,1.0,3.0,5.0,7.0,8.0,,2.0,,,,89.0,24.0,6.2,8.0,0.0,0.0,0.003568,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,2.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,3.0,,,,,1.0,,,,,,,
Ola Aina,,,ola-aina,O. Aina,D,34,182,4048,M,,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",13.0,9.0,3.0,3.0,5.0,6.0,4.0,7.0,2.0,1.0,,,,72.0,25.0,6.9,6.0,0.0196,0.0,0.00339447,"{'original': 6.9, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,2.0,5.0,,1.0,1.0,1.0,,,3.0,3.0,,1.0,,,1.0,,,,1.0,,,,,,,,
Danilo,,,danilo,Danilo,M,35,177,4572,M,Danilo,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",17.0,11.0,2.0,1.0,4.0,7.0,7.0,11.0,1.0,4.0,,,,71.0,28.0,6.8,10.0,0.0,0.0,0.00953809,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,6.0,1.0,1.0,2.0,2.0,,,3.0,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,
Brennan Johnson,,,brennan-johnson,B. Johnson,F,22,186,9634,M,brenjohnson_,1085180,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,990576000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برينان جونسون', 'hi': 'ब्रेनन जॉनसन', 'bn': 'ব্রেনান জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",6.0,6.0,,,5.0,5.0,1.0,1.0,,4.0,,,,80.0,17.0,6.2,3.0,0.2778,0.0,0.00023173,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,3.0,1.0,1.0,1.0,,,,1.0,,,,,2.0,1.0,,,1.0,,1.0,,,,,,,1.0
Morgan Gibbs-White,,,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,Morgangibbs27,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",16.0,11.0,5.0,4.0,4.0,5.0,8.0,15.0,1.0,4.0,,,,90.0,38.0,6.9,15.0,0.0747,0.0,0.211484,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,5.0,7.0,,,7.0,3.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,4.0,1.0,,2.0,,,1.0,,,,
Taiwo Awoniyi,,,taiwo-awoniyi,T. Awoniyi,F,9,183,3500,M,,359664,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,871344000,"{'value': 11400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايوو أونيي', 'hi': 'ताइवो अवोनीयी', 'bn': 'তাইও আওনিয়ি'}, 'shortNameTranslation': {'ar': 'ت. أونيي', 'hi': 'टी. अवोनीयी', 'bn': 'টি. আওনিয়ি'}}",5.0,3.0,,,2.0,2.0,1.0,3.0,,1.0,,,,19.0,11.0,7.2,4.0,0.574,0.866,0.00013696,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,
Neco Williams,,,williams-neco,N. Williams,D,3,183,3163,M,,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",5.0,3.0,1.0,,2.0,2.0,1.0,3.0,,3.0,,,,18.0,13.0,6.7,5.0,0.0,0.0,0.00083022,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,2.0,2.0,,2.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,1.0,,,,,,,
Anthony Elanga,,,anthony-elanga,A. Elanga,M,20,178,10539,M,anthonyelanga,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",3.0,2.0,,,,,2.0,3.0,,1.0,,,,10.0,4.0,7.4,1.0,0.0,0.0,0.605406,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,1.0,,
Cheikhou Kouyaté,,,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,9.0,5.0,6.7,,0.0224,0.0,0.0027858,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,
Chris Wood,,,chris-wood,C. Wood,F,11,191,7744,M,wodsy39,50480,"{'alpha2': 'NZ', 'alpha3': 'NZL', 'name': 'New Zealand', 'slug': 'new-zealand'}",EUR,692064000,"{'value': 8400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",1.0,,,,,,,1.0,,,,,,9.0,2.0,6.5,1.0,0.0,0.0,0.0,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Horvath,,,ethan-horvath,E. Horvath,G,24,194,402,M,,343013,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,802656000,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان هورفاث', 'hi': 'एथन होर्वाथ', 'bn': 'ইথান হোরভাথ'}, 'shortNameTranslation': {'ar': 'إ. هورفاث', 'hi': 'ई. होर्वाथ', 'bn': 'ই. হোরভাথ'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Niakhaté,,,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,niakhate,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewis O'Brien,,,lewis-obrien,L. O'Brien,M,27,173,286,M,,920936,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,908323200,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس أوبراين', 'hi': ""लुईस ओ'ब्रायन"", 'bn': ""লুইস ও'ব্রাইন""}, 'shortNameTranslation': {'ar': 'ل. أوبراين', 'hi': ""एल. ओ'ब्रायन"", 'bn': ""এল. ও'ব্রাইন""}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remo Freuler,,,remo-freuler,R. Freuler,M,8,181,1944,M,,115516,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,703296000,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمو فريلر', 'hi': 'रेमो फ्र्यूलर', 'bn': 'রেমো ফ্রেউলার'}, 'shortNameTranslation': {'ar': 'ر. فريلر', 'hi': 'आर. फ्र्यूलर', 'bn': 'আর. ফ্রেউলার'}}",,,,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
