name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,bigChanceMissed,totalClearance,outfielderBlock,keyPass,aerialWon,wonContest,challengeLost,bigChanceCreated,goalAssist,totalOffside,blockedScoringAttempt,errorLeadToAShot
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195.0,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",46.0,42.0,10.0,6.0,40.0,40.0,2.0,6.0,1.0,15.0,1.0,2.0,2.0,3.0,1.0,1.0,90.0,61.0,7.9,4.0,0.00024322,"{'original': 7.9, 'alternative': 7.8}",0,1.3897,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezri Konsa,ezri-konsa,E. Konsa,D,4,183.0,3125,M,,827679,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,877564800,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إزري كونسا', 'hi': 'एज़री कोंसा', 'bn': 'ইজরি কনসা'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'hi': 'ई. कोंसा', 'bn': 'ই. কনসা'}}",34.0,32.0,,,15.0,16.0,18.0,19.0,5.0,2.0,4.0,,,,,,90.0,52.0,7.7,6.0,0.0440174,"{'original': 7.7, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.1278,0.4643,,,,,,,,,,,,
Diego Carlos,diego-carlos,D. Carlos,D,34,185.0,2789,M,,604232,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,732153600,"{'value': 10000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دييغو كارلوس', 'hi': 'डिएगो कार्लोस', 'bn': 'দিয়েগো কার্লোস'}, 'shortNameTranslation': {'ar': 'د. كارلوس', 'hi': 'डी. कार्लोस', 'bn': 'ডি. কার্লোস'}}",70.0,66.0,6.0,3.0,47.0,47.0,19.0,23.0,1.0,1.0,,,,,,,90.0,76.0,7.1,4.0,0.0112769,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,2.0,,,1.0,,,,1.0,,,,0.2566,,1.0,2.0,1.0,1.0,,,,,,,,
Pau Torres,pau-torres,P. Torres,D,14,192.0,4120,M,pauttorres,864169,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,853372800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'باو توريس', 'hi': 'पाऊ टोरेस', 'bn': 'পাউ টরেস'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'hi': 'पी. टोरेस', 'bn': 'পি. টরেস'}}",67.0,57.0,8.0,2.0,40.0,44.0,17.0,23.0,4.0,3.0,,,,,,,90.0,77.0,7.2,11.0,0.00598631,"{'original': 7.2, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,2.0,3.0,,2.0,,1.0,,1.0,1.0,,,,0.0521,0.0555,,2.0,1.0,,2.0,1.0,,,,,,
Álex Moreno,alex-moreno,Á. Moreno,D,24,179.0,1209,M,,294593,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,739497600,"{'value': 3600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس مورينو', 'hi': 'एलेक्स मोरेनो', 'bn': 'অ্যালেক্স মোরেনো'}, 'shortNameTranslation': {'ar': 'أ. مورينو', 'hi': 'ए. मोरेनो', 'bn': 'আ. মোরেনো'}}",15.0,15.0,,,9.0,9.0,6.0,10.0,1.0,4.0,,,,,,,63.0,31.0,6.7,7.0,0.0015721,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,,,2.0,,1.0,,,,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,
Leon Bailey,leon-bailey,L. Bailey,M,31,178.0,7430,M,leonbailey,808590,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,871084800,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ليون بيلي', 'hi': 'लियोन बेली', 'bn': 'লিওন বেইলি'}, 'shortNameTranslation': {'ar': 'ل. بيلي', 'hi': 'एल. बेली', 'bn': 'এল. বেইলি'}}",23.0,19.0,1.0,1.0,6.0,6.0,15.0,23.0,7.0,3.0,2.0,,,,,,89.0,42.0,7.0,13.0,0.258014,"{'original': 7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,6.0,2.0,1.0,13.0,4.0,3.0,1.0,,,,2.0,1.0,,4.0,0.0269,,,,,2.0,1.0,2.0,3.0,1.0,,,,
Youri Tielemans,youri-tielemans,Y. Tielemans,M,8,177.0,9703,M,youritielemans,331737,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,862963200,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوري تيليمانس', 'hi': 'यूरी टिएलमान्स', 'bn': 'ইউরি টাইলেম্যানস'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'hi': 'वाई. टिएलमान्स', 'bn': 'ওয়াই. টাইলেম্যানস'}}",44.0,38.0,5.0,5.0,17.0,21.0,21.0,23.0,4.0,6.0,1.0,,,,,,90.0,48.0,7.3,6.0,0.114308,"{'original': 7.3, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,2.0,,1.0,1.0,,,,
Douglas Luiz,douglas-luiz,D. Luiz,M,12,175.0,11414,M,Douglas_Luiz,867887,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,894672000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دوغلاس لويز', 'hi': 'डगलस लुइज़', 'bn': 'ডগলাস লুই'}, 'shortNameTranslation': {'ar': 'د. لويز', 'hi': 'डी. लुइज़', 'bn': 'ডি. লুইজ'}}",43.0,37.0,3.0,2.0,21.0,22.0,17.0,25.0,7.0,5.0,3.0,,,,,,90.0,61.0,7.0,15.0,0.0926799,"{'original': 7, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,1.0,,7.0,3.0,3.0,,,,,2.0,1.0,1.0,3.0,,,,,,1.0,,2.0,,,,,,
Morgan Rogers,morgan-rogers,M. Rogers,M,27,187.0,12094,M,mrogers,948261,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1027641600,"{'value': 67000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان روجرز', 'hi': 'मॉर्गन रोजर्स', 'bn': 'মরগান রজার্স'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'hi': 'एम. रोजर्स', 'bn': 'এম. রজার্স'}}",10.0,7.0,1.0,1.0,2.0,3.0,5.0,7.0,8.0,1.0,2.0,,,,,,63.0,22.0,7.0,4.0,0.00416353,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,4.0,1.0,5.0,,,,,1.0,,,,,,,,,,,5.0,3.0,,,,,
Moussa Diaby,diaby-moussa,M. Diaby,M,19,170.0,7519,M,moussadiaby,855817,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,931305600,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى ديابي', 'hi': 'डायबी, मूसा', 'bn': 'ডায়াবি, মুসা'}, 'shortNameTranslation': {'ar': 'م. ديابي', 'hi': 'एम. डायबी', 'bn': 'এম. ডায়াবি'}}",13.0,10.0,,,1.0,2.0,9.0,12.0,2.0,,,,,,,,88.0,24.0,7.8,9.0,0.0909246,"{'original': 7.8, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,4.0,2.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,0.0701,0.129,,,1.0,2.0,,1.0,1.0,,1.0,,,
