name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,keyPass,firstName,lastName,errorLeadToAShot,outfielderBlock,accurateCross,shotOffTarget,totalOffside,penaltyWon,onTargetScoringAttempt,goals,expectedGoalsOnTarget,sofascoreId,bigChanceMissed,goalAssist,lastManTackle,penaltyFaced,penaltyConceded
Wilson Odobert,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",29.0,19.0,1.0,,2.0,7.0,17.0,23.0,2.0,3.0,1.0,5.0,1.0,,,,,,,90.0,44.0,7.3,17.0,0.273621,"{'original': 7.3, 'alternative': 7.2}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,4.0,,3.0,1.0,,1.0,1.0,,,,2.0,,0.4741,3.0,,,,,,2.0,,,1.0,,0.0254,,1.0,1.0,,,
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,7,183,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",8.0,7.0,1.0,1.0,2.0,2.0,5.0,6.0,,,,1.0,,,,,,,,20.0,12.0,6.7,2.0,0.0186159,"{'original': 6.7, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,6.0,1.0,,1.0,,,,,,,,2.0,0.0861,,,,,,,,,,2.0,,0.4087,,,,,,
Lyle Foster,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",4.0,1.0,,,,1.0,1.0,3.0,3.0,3.0,1.0,,,,,,,,,15.0,5.0,6.6,3.0,0.00047738,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,179,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,8.0,2.0,6.5,1.0,,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Trafford,james-trafford,J. Trafford,G,1,197,20653,M,980643,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034208000,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس ترافورد', 'hi': 'जेम्स ट्रैफोर्ड', 'bn': 'জেমস ট্র্যাফোর্ড'}, 'shortNameTranslation': {'ar': 'ج. ترافورد', 'hi': 'जे. ट्रैफोर्ड', 'bn': 'জে. ট্র্যাফোর্ড'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hjalmar Ekdal,hjalmar-ekdal,H. Ekdal,D,18,187,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cork,jack-cork,J. Cork,M,,185,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel Benson,manuel-benson,M. Benson,M,21,166,2981,M,552632,"{'alpha2': 'AO', 'alpha3': 'AGO', 'name': 'Angola', 'slug': 'angola'}",EUR,859507200,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بنسون', 'hi': 'मैनुअल बेन्सन', 'bn': 'ম্যানুয়েল বেনসন'}, 'shortNameTranslation': {'ar': 'م. بنسون', 'hi': 'एम. बेन्सन', 'bn': 'এম. বেনসন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,7,186,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,185,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
