name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,aerialLost,duelLost,challengeLost,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,keyPass,firstName,lastName,errorLeadToAShot,outfielderBlock,accurateCross,shotOffTarget,totalOffside,penaltyWon,onTargetScoringAttempt,goals,expectedGoalsOnTarget,sofascoreId,bigChanceMissed,goalAssist,lastManTackle,penaltyFaced,penaltyConceded
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",59.0,35.0,48.0,24.0,15.0,18.0,20.0,41.0,,1.0,1.0,14.0,,,3.0,4.0,,2.0,2.0,90.0,66.0,7.7,24.0,0.0128025,"{'original': 7.7, 'alternative': 7.1}",0,0.1407,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",39.0,25.0,6.0,2.0,17.0,21.0,8.0,19.0,4.0,4.0,6.0,7.0,,,,,,,,90.0,52.0,6.7,15.0,0.0270083,"{'original': 6.7, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,5.0,1.0,,,,,,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",23.0,14.0,2.0,1.0,5.0,10.0,10.0,15.0,3.0,7.0,1.0,4.0,,,,,,,,90.0,43.0,7.8,13.0,0.0288983,"{'original': 7.8, 'alternative': 7.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,,,,,,,,2.0,4.0,3.0,1.0,,0.0572,,,,,1.0,1.0,,,,1.0,1.0,0.5056,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",38.0,22.0,10.0,3.0,16.0,18.0,6.0,20.0,3.0,12.0,3.0,5.0,3.0,,,,,,,90.0,57.0,7.3,16.0,0.0435025,"{'original': 7.3, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,3.0,3.0,,,1.0,1.0,,1.0,,5.0,3.0,,,0.0261,,,,,2.0,,,1.0,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",14.0,11.0,2.0,2.0,8.0,8.0,3.0,7.0,,8.0,1.0,2.0,3.0,,,,,,,59.0,33.0,7.2,6.0,0.00145002,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,1.0,,1.0,,,,,1.0,5.0,4.0,1.0,,,,Mads,Roerslev,,,,,,,,,,,,,,,
Frank Onyeka,frank-onyeka,F. Onyeka,M,15,183,3717,M,885864,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,883612800,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",10.0,6.0,4.0,2.0,4.0,5.0,2.0,6.0,,2.0,2.0,4.0,1.0,,,,,,,59.0,18.0,6.7,5.0,0.0016263,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,3.0,1.0,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",17.0,13.0,2.0,1.0,10.0,13.0,5.0,9.0,2.0,13.0,2.0,5.0,1.0,,,,,,,79.0,46.0,7.3,12.0,0.0767691,"{'original': 7.3, 'alternative': 7.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,,7.0,3.0,1.0,3.0,2.0,,,1.0,8.0,4.0,1.0,2.0,,2.0,,,,1.0,2.0,,,,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",26.0,17.0,4.0,2.0,13.0,18.0,5.0,9.0,1.0,1.0,2.0,4.0,,,,,,,,80.0,34.0,6.5,9.0,0.0296055,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,3.0,,,,,,,2.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,
Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,6051,M,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",,,,,,,,,,,,,,,,,,,,8.0,1.0,3.0,,,"{'original': 3, 'alternative': 3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,sergio_regui,,,,,1.0
Ivan Toney,ivan-toney,I. Toney,F,17,185,10125,M,290927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,826934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيفان توني', 'hi': 'इवान टोनी', 'bn': 'ইভান টোনি'}, 'shortNameTranslation': {'ar': 'إ. توني', 'hi': 'आई. टोनी', 'bn': 'আই. টনি'}}",23.0,9.0,1.0,,3.0,5.0,6.0,19.0,8.0,13.0,3.0,2.0,4.0,,,,,,,90.0,48.0,7.2,24.0,0.00559398,"{'original': 7.2, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,1.0,12.0,20.0,,1.0,1.0,,1.0,,,1.0,1.0,6.0,7.0,0.562,1.0,,,,,,1.0,,,2.0,,0.0589,ivantoney,1.0,,,,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",5.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,,3.0,1.0,,,,,,,80.0,16.0,6.3,7.0,0.0109579,"{'original': 6.3, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,3.0,,1.0,1.0,,,,1.0,,,4.0,,0.3771,,,,,,,,,,1.0,,0.0206,yowissa,1.0,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",7.0,6.0,1.0,,2.0,2.0,4.0,6.0,1.0,1.0,3.0,,,,,,,,,31.0,14.0,7.2,2.0,0.345808,"{'original': 7.2, 'alternative': 7.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,,,,,1.0,2.0,,,,,,0.1409,1.0,,,,,,,,,1.0,,0.0817,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",13.0,9.0,,,4.0,5.0,5.0,10.0,1.0,4.0,,3.0,,,,,,,,31.0,24.0,6.7,8.0,0.00205378,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,2.0,3.0,,,2.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",7.0,6.0,1.0,1.0,4.0,4.0,2.0,3.0,,,,1.0,,,,,,,,11.0,10.0,6.6,2.0,0.00289603,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",8.0,5.0,,,2.0,3.0,4.0,8.0,,1.0,,3.0,1.0,,,,,,,10.0,12.0,6.7,5.0,0.0321989,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,bryan_m19,,,,,
Shandon Baptiste,shandon-baptiste,S. Baptiste,M,26,180,142,M,892111,"{'alpha2': 'GD', 'alpha3': 'GRD', 'name': 'Grenada', 'slug': 'grenada'}",EUR,891993600,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شاندون بابتيست', 'hi': 'शैंडन बैपटिस्ट', 'bn': 'শ্যান্ডন ব্যাপটিস্ট'}, 'shortNameTranslation': {'ar': 'ش. بابتيست', 'hi': 'एस. बैपटिस्ट', 'bn': 'এস. ব্যাপটিস্ট'}}",3.0,3.0,,,2.0,2.0,3.0,4.0,,,,,,,,,,,,10.0,8.0,7.0,2.0,0.0764306,"{'original': 7, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,2.0,4.0,,,1.0,,1.0,,,,,,1.0,,2.0,,,,,2.0,,,,,,,,,1.0,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim Ji-Soo,kim-ji-soo,K. Ji-Soo,D,5,192,1352,M,1185061,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,1103846400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيم جي-سو', 'hi': 'किम जी-सू', 'bn': 'কিম জি-সু'}, 'shortNameTranslation': {'ar': 'ك. جي-سو', 'hi': 'के. जी-सू', 'bn': 'কে. জি-সু'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,Kim Ji-Soo,,,,,,,,,,,,,,,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
