name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,crossNotClaimed,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,duelLost,duelWon,dispossessed,totalContest,wonContest,totalTackle,wonTackle,keyPass,challengeLost,interceptionWon,accurateLongBalls,aerialLost,aerialWon,totalClearance,outfielderBlock,unsuccessfulTouch,fouls,wasFouled,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,sofascoreId,blockedScoringAttempt,hitWoodwork,totalCross,accurateCross,bigChanceCreated,goalAssist,goals,penaltyWon,totalOffside,penaltyFaced,punches,penaltyConceded,lastManTackle,goodHighClaim
Konstantinos Mavropanos,,,konstantinos-mavropanos,K. Mavropanos,D,15,194,2675,M,829022,"{'alpha2': 'GR', 'alpha3': 'GRC', 'name': 'Greece', 'slug': 'greece'}",EUR,881798400,"{'value': 16300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كونستانتينوس مافروبانوس', 'hi': 'कोंस्टैंटिनोस मावरोपानोस', 'bn': 'কনস্টানটাইনস মাভ্রোপানোস'}, 'shortNameTranslation': {'ar': 'ك. مافروبانوس', 'hi': 'के. मावरोपानोस', 'bn': 'কে. মাভ্রোপানোস'}}",28.0,18.0,11.0,11.0,12.0,16.0,7.0,,,,90.0,41.0,6.5,10.0,0.00289324,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,1.0,2.0,,1.0,1.0,1.0,,,,2.0,2.0,,,6.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,
Kurt Zouma,,,kurt-zouma,K. Zouma,D,4,190,2242,M,139227,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,783216000,"{'value': 8500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كورت زوما', 'hi': 'कर्ट ज़ौमा', 'bn': 'কার্ট জৌমা'}, 'shortNameTranslation': {'ar': 'ك. زوما', 'hi': 'के. ज़ौमा', 'bn': 'কে. জৌমা'}}",31.0,21.0,9.0,13.0,14.0,17.0,4.0,,,,90.0,41.0,6.2,12.0,0.00276622,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,8.0,1.0,3.0,1.0,,,1.0,1.0,1.0,,,2.0,,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Emerson Palmieri,,,emerson-palmieri,Emerson,D,3,176,2307,M,155997,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,775872000,"{'value': 9100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيمرسون بالميري', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন পালমিরি'}, 'shortNameTranslation': {'ar': 'إيمرسون', 'hi': 'एमर्सन पामिएरी', 'bn': 'এমারসন'}}",36.0,31.0,6.0,12.0,14.0,23.0,3.0,,,,90.0,61.0,6.2,13.0,0.00495825,"{'original': 6.2, 'alternative': 6.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,19.0,3.0,3.0,,2.0,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,
James Ward-Prowse,,,james-ward-prowse,J. Ward-Prowse,M,8,177,4283,M,161717,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,783648000,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس وارد-براوس', 'hi': 'जेम्स वार्ड-प्रोव्स', 'bn': 'জেমস ওয়ার্ড-প্রোস'}, 'shortNameTranslation': {'ar': 'ج. وارد-براوس', 'hi': 'जे. वार्ड-प्रोव्स', 'bn': 'জে. ওয়ার্ড-প্রোস'}}",26.0,24.0,2.0,11.0,12.0,16.0,2.0,,,,84.0,35.0,6.4,4.0,0.0185949,"{'original': 6.4, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,14.0,2.0,2.0,1.0,,,2.0,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,prowsey16,,,2.0,1.0,,,,,,,,,,
Tomáš Souček,,,tomas-soucek,T. Souček,M,28,192,3227,M,799041,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,793843200,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماش سوتشيك', 'hi': 'टॉमस सौसेक', 'bn': 'তোমাস সোউচেক'}, 'shortNameTranslation': {'ar': 'ت. سوتشيك', 'hi': 'टी. सौसेक', 'bn': 'টি. সোউচেক'}}",34.0,24.0,1.0,13.0,16.0,18.0,8.0,,,,90.0,50.0,6.9,11.0,0.149221,"{'original': 6.9, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,11.0,3.0,11.0,,,,4.0,1.0,2.0,1.0,1.0,1.0,,7.0,5.0,2.0,,2.0,,1.0,1.0,,0.2211,,,,,,,,,,,,,,,,
Jarrod Bowen,,,jarrod-bowen,J. Bowen,M,20,174,8771,M,552884,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,851040000,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جارود بوين', 'hi': 'जारोड बोवेन', 'bn': 'জারড বোয়েন'}, 'shortNameTranslation': {'ar': 'ج. بوين', 'hi': 'जे. बोवेन', 'bn': 'জে. বোয়েন'}}",19.0,13.0,1.0,6.0,7.0,16.0,2.0,,,,90.0,44.0,7.3,19.0,0.00749098,"{'original': 7.3, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,12.0,4.0,3.0,5.0,1.0,3.0,3.0,1.0,1.0,,,4.0,,,,2.0,,,,,2.0,0.2989,0.251,jarrodbowen,1.0,,4.0,,,1.0,1.0,,,,,,,
Lucas Paquetá,,,lucas-paqueta,L. Paquetá,M,10,180,54701,M,839981,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,872640000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس باكيتا', 'hi': 'लुकास पेकटा', 'bn': 'লুকাস পাকেতা'}, 'shortNameTranslation': {'ar': 'ل. باكيتا', 'hi': 'एल. पेकटा', 'bn': 'এল. পাকেতা'}}",48.0,36.0,5.0,8.0,10.0,40.0,4.0,,,,90.0,67.0,7.6,20.0,0.2727,"{'original': 7.6, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,29.0,9.0,9.0,5.0,1.0,1.0,2.0,2.0,2.0,,1.0,4.0,3.0,5.0,,,2.0,2.0,2.0,,1.0,,0.1144,,Paqueta,,,2.0,1.0,1.0,1.0,,,1.0,,,,,
Mohammed Kudus,,,mohammed-kudus,M. Kudus,M,20,176,89694,M,905163,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,965174400,"{'value': 60000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد قدوس', 'hi': 'मोहम्मद कुडूस', 'bn': 'মোহাম্মদ কুদুস'}, 'shortNameTranslation': {'ar': 'م. قدوس', 'hi': 'एम. कुडूस', 'bn': 'এম. কুদুস'}}",34.0,27.0,6.0,13.0,15.0,20.0,9.0,,,,90.0,67.0,8.5,19.0,0.193227,"{'original': 8.5, 'alternative': 8.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,15.0,11.0,14.0,2.0,12.0,6.0,5.0,5.0,2.0,1.0,,4.0,2.0,,,,3.0,,3.0,,1.0,1.0,0.2816,0.6593,Kudus,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,
Michail Antonio,,,michail-antonio,M. Antonio,F,,180,3351,M,47772,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,638582400,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايكل أنطونيو', 'hi': 'माइकल एंटोनियो', 'bn': 'মাইকেল আন্তোনিও'}, 'shortNameTranslation': {'ar': 'م. أنطونيو', 'hi': 'एम. एंटोनियो', 'bn': 'এম. আন্তোনিও'}}",13.0,11.0,1.0,3.0,4.0,10.0,3.0,,,,69.0,25.0,7.3,6.0,0.00558565,"{'original': 7.3, 'alternative': 7.3}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,5.0,4.0,,3.0,2.0,,,,1.0,,1.0,3.0,1.0,,,2.0,,1.0,,1.0,1.0,0.5006,0.544,MichailAntonio,,,1.0,,,,1.0,,,,,,,
Łukasz Fabiański,,,lukasz-fabianski,Ł. Fabiański,G,22,190,3815,M,15479,"{'alpha2': 'PL', 'alpha3': 'POL', 'name': 'Poland', 'slug': 'poland'}",EUR,482630400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوكاس فابيانسكي', 'hi': 'लुकाज़ फ़ेबियान्स्की', 'bn': 'লুকাস ফ্যাবিয়ানস্কি'}, 'shortNameTranslation': {'ar': 'ل. فابيانسكي', 'hi': 'एल. फ़ेबियान्स्की', 'bn': 'এল.ফ্যাবিয়ানস্কি'}}",18.0,9.0,18.0,2.0,2.0,16.0,7.0,,2.0,2.0,45.0,25.0,6.8,9.0,0.00236331,"{'original': 6.8, 'alternative': 6}",0,-0.7355,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,7.0,,,,,,,,,,,9.0,,,1.0,,,,,,,,,,lukasz.fabianski,,,,,,,,,,1.0,,,,1.0
Kalvin Phillips,,,kalvin-phillips,K. Phillips,M,44,177,7665,M,786028,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,817862400,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين فيليبس', 'hi': 'केल्विन फिलिप्स', 'bn': 'ক্যালভিন ফিলিপস'}, 'shortNameTranslation': {'ar': 'ك. فيليبس', 'hi': 'के. फिलिप्स', 'bn': 'কে. ফিলিপস'}}",9.0,4.0,1.0,,1.0,8.0,,,,,21.0,14.0,5.6,6.0,0.00088585,"{'original': 5.6, 'alternative': 5.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,4.0,2.0,2.0,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,kalvinphillips,,,,,,,,,,,,1.0,,
Ben Johnson,,,ben-johnson,B. Johnson,D,18,182,653,M,914412,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948672000,"{'value': 7700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن جونسون', 'hi': 'बेन जॉनसन', 'bn': 'বেন জনসন'}, 'shortNameTranslation': {'ar': 'ب. جونسون', 'hi': 'बी. जॉनसन', 'bn': 'বি. জনসন'}}",4.0,4.0,,1.0,1.0,5.0,2.0,,,,18.0,13.0,6.5,4.0,0.00153101,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,3.0,1.0,4.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,
Danny Ings,,,danny-ings,D. Ings,F,9,178,1782,M,130181,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,711849600,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داني إنغز', 'hi': 'डैनी इंग्स', 'bn': 'ড্যানি ইঙ্গস'}, 'shortNameTranslation': {'ar': 'د. إنغز', 'hi': 'डी. इंग्स', 'bn': 'ডি. ইংস'}}",1.0,1.0,,,,1.0,,,,,8.0,2.0,6.6,,0.135216,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelo Ogbonna,,,angelo-ogbonna,A. Ogbonna,D,,191,382,M,21164,"{'alpha2': 'IT', 'alpha3': 'ITA', 'name': 'Italy', 'slug': 'italy'}",EUR,580348800,"{'value': 155000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنجيلو أوغبونا', 'hi': 'एंजेलो ओगबोना', 'bn': 'অ্যাঞ্জেলো ওগবোন্না'}, 'shortNameTranslation': {'ar': 'أ. أوغبونا', 'hi': 'ए. ओगबोना', 'bn': 'এ. ওগবোন্না'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Cresswell,,,aaron-cresswell,A. Cresswell,D,3,170,784,M,43443,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,629683200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آرون كريسويل', 'hi': 'आरोन क्रेसवेल', 'bn': 'অ্যারন ক্রেসওয়েল'}, 'shortNameTranslation': {'ar': 'آ. كريسويل', 'hi': 'ए. क्रेसवेल', 'bn': 'এ. ক্রেসওয়েল'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Earthy,,,george-earthy,G. Earthy,M,40,180,402,M,1212165,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094342400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جورج إيرثي'}, 'shortNameTranslation': {'ar': 'ج. إيرثي'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divin Mubama,,,mubama-divin,D. Mubama,F,9,183,2637,M,1167025,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1098662400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موباما، ديفين', 'hi': 'मुबामा, दिविन', 'bn': 'মুবামা, ডিভাইন'}, 'shortNameTranslation': {'ar': 'م. موباما', 'hi': 'डी. मुबामा', 'bn': 'ডি. মুবামা'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxwel Cornet,,,maxwel-cornet,M. Cornet,F,70,179,1997,M,280439,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,843782400,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسويل كورنيه', 'hi': 'मैक्सवेल कॉर्नेट', 'bn': 'ম্যাক্সওয়েল কর্নেট'}, 'shortNameTranslation': {'ar': 'م. كورنيه', 'hi': 'एम. कॉर्नेट', 'bn': 'এম. কর্নেট'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
