name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,crossNotClaimed,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,duelLost,duelWon,dispossessed,totalContest,wonContest,totalTackle,wonTackle,keyPass,challengeLost,interceptionWon,accurateLongBalls,aerialLost,aerialWon,totalClearance,outfielderBlock,unsuccessfulTouch,fouls,wasFouled,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,sofascoreId,blockedScoringAttempt,hitWoodwork,totalCross,accurateCross,bigChanceCreated,goalAssist,goals,penaltyWon,totalOffside,penaltyFaced,punches,penaltyConceded,lastManTackle,goodHighClaim
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",8.0,7.0,,,,8.0,,,,,11.0,10.0,7.2,1.0,0.35362,"{'original': 7.2, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,7.0,,1.0,,,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,miguel_almiron,,,,,1.0,,,,,,,,,
Lewis Hall,Lewis Hall,,lewis-hall,L. Hall,D,3,179,4014,M,1136730,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1094601600,"{'value': 30000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس هال', 'hi': 'लुईस हॉल', 'bn': 'লুইস হল'}, 'shortNameTranslation': {'ar': 'ل. هال', 'hi': 'एल. हॉल', 'bn': 'এল. হল'}}",20.0,15.0,2.0,5.0,7.0,14.0,,,,,33.0,34.0,6.9,8.0,0.204343,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,10.0,2.0,4.0,2.0,,,3.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,lewishall_10,,,1.0,,,,,,,,,,,
Elliot Anderson,,,elliot-anderson,E. Anderson,M,8,179,6933,M,994546,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1036540800,"{'value': 54000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إليوت أندرسون', 'hi': 'इलियट एंडरसन', 'bn': 'এলিয়ট অ্যান্ডারসন'}, 'shortNameTranslation': {'ar': 'إ. أندرسون', 'hi': 'ई. एंडरसन', 'bn': 'ই. অ্যান্ডারসন'}}",25.0,20.0,1.0,6.0,6.0,20.0,5.0,,,,33.0,33.0,7.2,6.0,0.0298556,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,14.0,2.0,6.0,,1.0,1.0,2.0,2.0,1.0,,1.0,,2.0,3.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
Harvey Barnes,,,harvey-barnes,H. Barnes,F,11,181,5075,M,855647,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,881625600,"{'value': 35000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي بارنز', 'hi': 'हार्वे बार्न्स', 'bn': 'হার্ভে বার্নস'}, 'shortNameTranslation': {'ar': 'ه. بارنز', 'hi': 'एच. बार्न्स', 'bn': 'এইচ. বার্নস'}}",6.0,5.0,1.0,2.0,2.0,4.0,3.0,,,,23.0,14.0,8.7,2.0,0.0117991,"{'original': 8.7, 'alternative': 8.6}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,3.0,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,4.0,0.9709,1.2691,,,,,,,,2.0,,1.0,,,,,
Loris Karius,,,loris-karius,L. Karius,G,1,190,1695,M,174135,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,740707200,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوريس كاريوس', 'hi': 'लोरिस केरियस', 'bn': 'লরিস ক্যারিয়াস'}, 'shortNameTranslation': {'ar': 'ل. كاريوس', 'hi': 'एल. केरियस', 'bn': 'এল. কারিয়াস'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Dummett,,,paul-dummett,P. Dummett,D,,183,150,M,185995,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,685843200,,"{'nameTranslation': {'ar': 'بول دومت', 'hi': 'पॉल डमेट', 'bn': 'পল ডুমেট'}, 'shortNameTranslation': {'ar': 'ب. دومت', 'hi': 'पी. डमेट', 'bn': 'পি. ডামেট'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Ritchie,,,matt-ritchie,M. Ritchie,M,30,173,305,M,42699,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,621388800,"{'value': 145000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات ريتشي', 'hi': 'मैट रिची', 'bn': 'ম্যাট রিচি'}, 'shortNameTranslation': {'ar': 'م. ريتشي', 'hi': 'एम. रिची', 'bn': 'এম. রিচি'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe White,,,joe-white,J. White,M,30,186,183,M,994550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033430400,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو وايت', 'hi': 'जो व्हाइट', 'bn': 'জো হোয়াইট'}, 'shortNameTranslation': {'ar': 'ج. وايت', 'hi': 'जे. व्हाइट', 'bn': 'জে. হোয়াইট'}}",,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphonse Aréola,,,alphonse-areola,A. Aréola,G,23,195,3093,M,96531,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,730771200,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفونس أريولا', 'hi': 'अल्फोंस एरियोला', 'bn': 'আলফোনস আরেওলা'}, 'shortNameTranslation': {'ar': 'أ. أريولا', 'hi': 'ए. एरियोला', 'bn': 'এ. আরেওলা'}}",13.0,5.0,10.0,5.0,7.0,6.0,4.0,,2.0,3.0,45.0,21.0,7.1,9.0,5.286e-05,"{'original': 7.1, 'alternative': 6.7}",0,0.288,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
Vladimír Coufal,,,vladimir-coufal,V. Coufal,D,34,179,1643,M,138024,"{'alpha2': 'CZ', 'alpha3': 'CZE', 'name': 'Czechia', 'slug': 'czechia'}",EUR,714441600,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فلاديمير كوفال', 'hi': 'व्लादिमीर कुफाल', 'bn': 'ভ্লাদিমির কউফল'}, 'shortNameTranslation': {'ar': 'ف. كوفال', 'hi': 'वी. कुफाल', 'bn': 'ভি. কউফল'}}",29.0,20.0,2.0,11.0,14.0,15.0,2.0,,,,89.0,39.0,5.6,12.0,0.00241438,"{'original': 5.6, 'alternative': 5.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,9.0,3.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,
