minute,value
1.0,-3
2.0,10
3.0,21
4.0,-13
5.0,2
6.0,-18
7.0,-29
8.0,-25
9.0,-27
10.0,-14
11.0,33
12.0,-60
13.0,-45
14.0,-44
15.0,-49
16.0,-18
17.0,-36
18.0,-19
19.0,-2
20.0,-9
21.0,-29
22.0,-6
23.0,-11
24.0,-70
25.0,-8
26.0,-94
27.0,-67
28.0,-44
29.0,-20
30.0,-63
31.0,-62
32.0,-47
33.0,-87
34.0,-50
35.0,-24
36.0,-10
37.0,-15
38.0,-15
39.0,-34
40.0,-36
41.0,-30
42.0,-26
43.0,-24
44.0,-40
45.0,-36
45.5,-9
46.0,4
47.0,-17
48.0,-40
49.0,-25
50.0,-51
51.0,-36
52.0,27
53.0,2
54.0,-9
55.0,-23
56.0,-19
57.0,-22
58.0,-18
59.0,-15
60.0,-13
61.0,-34
62.0,-27
63.0,-23
64.0,-20
65.0,-19
66.0,-19
67.0,-12
68.0,7
69.0,-2
70.0,-2
71.0,-6
72.0,-5
73.0,-46
74.0,-29
75.0,-17
76.0,32
77.0,57
78.0,39
79.0,100
80.0,83
81.0,45
82.0,39
83.0,23
84.0,5
85.0,-2
86.0,-16
87.0,-18
88.0,-13
89.0,-2
90.0,84
90.5,-26
