name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,duelLost,duelWon,challengeLost,dispossessed,totalContest,shotOffTarget,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,aerialWon,bigChanceMissed,blockedScoringAttempt,interceptionWon,aerialLost,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,errorLeadToAGoal,totalOffside,keyPass,sofascoreId,accurateCross,wonContest,clearanceOffLine,outfielderBlock,goals,goalAssist,hitWoodwork
Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,337,M,187861,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,663811200,"{'value': 545000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويزلي فوديرينغهام', 'hi': 'वेस्ले फोडरिंगम', 'bn': 'ওয়েসলি ফোডেরিংহাম'}, 'shortNameTranslation': {'ar': 'و. فوديرينغهام', 'hi': 'डब्लू. फोडरिंगम', 'bn': 'ডব্লিউ. ফোডেরিংহাম'}}",27.0,14.0,19.0,6.0,9.0,11.0,5.0,16.0,2.0,9.0,2.0,4.0,2.0,2.0,90.0,38.0,6.2,16.0,0.00103304,"{'original': 6.2, 'alternative': 5.9}",0,-1.1184,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Bogle,,,bogle-jayden,J. Bogle,D,2,178,740,M,929132,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,964656000,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوجل، جايدن', 'hi': 'बोगल, जेडन', 'bn': 'বোগল, জেডেন'}, 'shortNameTranslation': {'ar': 'ج. ب.', 'hi': 'जे. बोगल', 'bn': 'জে. বোগল'}}",21.0,14.0,4.0,2.0,6.0,8.0,8.0,14.0,,4.0,,,,,90.0,37.0,5.5,14.0,0.0538392,"{'original': 5.5, 'alternative': 5.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0209,,,,,,,,,,,,,,,,,,,
Mason Holgate,,,mason-holgate,M. Holgate,D,27,187,409,M,781544,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,845942400,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مايسون هولجيت', 'hi': 'मेसन होल्गेट', 'bn': 'মেসন হোলগেট'}, 'shortNameTranslation': {'ar': 'م. هولجيت', 'hi': 'एम. होल्गेट', 'bn': 'এম. হলগেট'}}",42.0,33.0,9.0,5.0,21.0,26.0,12.0,16.0,2.0,4.0,,,,,90.0,55.0,6.2,11.0,0.00956233,"{'original': 6.2, 'alternative': 6.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,5.0,,,,1.0,2.0,,,1.0,1.0,0.4357,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1558,M,825899,"{'alpha2': 'BA', 'alpha3': 'BIH', 'name': 'Bosnia & Herzegovina', 'slug': 'bosnia-and-herzegovina'}",EUR,922406400,"{'value': 15500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيل أحمدهودزيتش', 'hi': 'एनेल अहमदहोदज़िक', 'bn': 'আনেল আহমেদহোডজিক'}, 'shortNameTranslation': {'ar': 'أ. أحمدهودزيتش', 'hi': 'ए. अहमदहोदज़िक', 'bn': 'এ. আহমেদহোদজিচ'}}",36.0,36.0,,,29.0,29.0,7.0,7.0,3.0,2.0,,,,,90.0,46.0,6.0,,0.00175806,"{'original': 6, 'alternative': 6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,3.0,4.0,1.0,,,,3.0,,,1.0,,0.6373,,1.0,,,2.0,1.0,0.3287,,,,,,,,,,,,
Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,820,M,822459,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,902880000,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستون تراستي', 'hi': 'ऑस्टन ट्रस्टी', 'bn': 'অস্টন ট্রাস্টি'}, 'shortNameTranslation': {'ar': 'أ. تراستي', 'hi': 'ए. ट्रस्टी', 'bn': 'এ. ট্রাস্টি'}}",51.0,46.0,4.0,2.0,35.0,37.0,11.0,14.0,4.0,5.0,,,,,90.0,62.0,5.6,9.0,0.00505957,"{'original': 5.6, 'alternative': 5.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,1.0,2.0,,,,,,2.0,,,,1.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,
Rhys Norrington-Davies,,,rhys-norrington-davies,R. Norrington-Davies,D,18,181,103,M,911708,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,924739200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رايس نورينغتون-دافيز', 'hi': 'राइज़ नोरिंग्टन-डेविस', 'bn': 'রিস নরিংটন-ডেভিস'}, 'shortNameTranslation': {'ar': 'ر. نورينغتون-دافيز', 'hi': 'आर. नोरिंग्टन-डेविस', 'bn': 'আর. নরিংটন-ডেভিস'}}",17.0,8.0,3.0,,7.0,13.0,1.0,5.0,,4.0,,,,,50.0,24.0,5.4,11.0,0.00037504,"{'original': 5.4, 'alternative': 5.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
James McAtee,,,james-mcatee,J. McAtee,M,24,180,10990,M,1003334,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1034899200,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس مكاتي', 'hi': 'जेम्स मैकएटी', 'bn': 'জেমস ম্যাকাটি'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'hi': 'जे. मैकएटी', 'bn': 'জে. ম্যাকাটি'}}",15.0,10.0,1.0,,4.0,5.0,7.0,12.0,1.0,1.0,,,,,72.0,24.0,6.4,9.0,0.116022,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,2.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,jamesmcatee_,1.0,,,,,,
Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1676,M,979290,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,929577600,"{'value': 14200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فينيسيوس سوزا', 'hi': 'विनिसियस सूज़ा', 'bn': 'ভিনিসিয়াস সুজা'}, 'shortNameTranslation': {'ar': 'ف. سوزا', 'hi': 'वी. सूज़ा', 'bn': 'ভি. সুজা'}}",41.0,34.0,3.0,2.0,20.0,21.0,14.0,20.0,,3.0,,,,,90.0,55.0,7.3,8.0,0.0098793,"{'original': 7.3, 'alternative': 7.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,4.0,10.0,2.0,,1.0,,7.0,3.0,,1.0,2.0,,1.0,,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,,
Andre Brooks,,,andre-brooks,A. Brooks,M,11,180,187,M,1396445,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1061337600,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه بروكس', 'hi': 'आंद्रे ब्रुक्स', 'bn': 'আন্দ্রে ব্রুকস'}, 'shortNameTranslation': {'ar': 'أ. بروكس', 'hi': 'ए. ब्रुक्स', 'bn': 'এ. ব্রুকস'}}",9.0,9.0,,,8.0,8.0,1.0,1.0,,,,,,,50.0,14.0,6.3,,0.00029425,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,3.0,,,1.0,,1.0,1.0,,,2.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,
Ben Brereton Díaz,,,ben-brereton-diaz,B. Brereton Díaz,M,25,188,6193,M,867583,"{'alpha2': 'CL', 'alpha3': 'CHL', 'name': 'Chile', 'slug': 'chile'}",EUR,924393600,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن بريريتون دياز', 'hi': 'बेन ब्रेरेटन डियाज़', 'bn': 'বেন ব্রেরেটন দিয়াজ'}, 'shortNameTranslation': {'ar': 'ب. بريريتون دياز', 'hi': 'बी. ब्रेरेटन डियाज़', 'bn': 'বি. ব্রেরেটন দিয়াজ'}}",9.0,7.0,1.0,,4.0,6.0,3.0,3.0,1.0,,,,,,65.0,16.0,5.9,5.0,0.0153041,"{'original': 5.9, 'alternative': 5.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,3.0,1.0,,1.0,1.0,,,,2.0,,,0.1192,,1.0,,,2.0,1.0,0.2356,,,3.0,,ben.brereton,,1.0,,,,,
