name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,totalClearance,interceptionWon,totalTackle,ownGoals,unsuccessfulTouch,expectedGoals,wonTackle,wasFouled,fouls,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,keyPass,accurateCross,totalContest,wonContest,blockedScoringAttempt,hitWoodwork,goals,lastManTackle,bigChanceMissed,goalAssist,errorLeadToAGoal,punches,outfielderBlock,totalOffside
Caoimhin Kelleher,,,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",30.0,29.0,4.0,3.0,29.0,29.0,1.0,7.0,1.0,2.0,3.0,1.0,1.0,90.0,39.0,7.0,1.0,0.00029418,"{'original': 7, 'alternative': 6.8}",0,0.0103,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Bradley,,,bradley-conor,C. Bradley,D,12,181,15669,M,conorbradley03,1008402,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1057708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",71.0,67.0,4.0,3.0,32.0,32.0,42.0,6.0,,,,,,90.0,94.0,6.7,11.0,0.0281791,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,35.0,3.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0195,,,,,,,,,,,,,,,,,,,,
Ibrahima Konaté,,,ibrahima-konate,I. Konaté,D,5,195,27389,M,ibrahimakonate,826215,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,927590400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إبراهيما كوناتي', 'hi': 'इब्राहीमा कोनाटे', 'bn': 'ইব্রাহিম কোনাতে'}, 'shortNameTranslation': {'ar': 'إ. كوناتي', 'hi': 'आई. कोनाटे', 'bn': 'আই. কোনাতে'}}",96.0,83.0,5.0,3.0,36.0,43.0,53.0,5.0,,,,,,90.0,106.0,7.1,14.0,0.01747,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,47.0,,3.0,8.0,5.0,10.0,,,1.0,1.0,1.0,1.0,,1.0,0.0508,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
Virgil van Dijk,,,virgil-van-dijk,V. van Dijk,D,4,195,103743,M,VvD,151545,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,678931200,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيرجيل فان دايك', 'hi': 'वर्जिल वान डिक', 'bn': 'ভার্জিল ভ্যান ডাইক'}, 'shortNameTranslation': {'ar': 'ف. فان دايك', 'hi': 'वी. वान डिक', 'bn': 'ভি. ভ্যান ডাইক'}}",101.0,99.0,9.0,9.0,39.0,40.0,61.0,3.0,,,,,,90.0,108.0,7.5,2.0,0.0200013,"{'original': 7.5, 'alternative': 7.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,60.0,,1.0,,1.0,2.0,,,,,,1.0,,,0.0439,1.0,1.0,,1.0,0.0784,,,,,,,,,,,,,,,
Joe Gomez,,,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",79.0,71.0,3.0,2.0,12.0,13.0,68.0,7.0,,,,,,73.0,94.0,7.6,12.0,0.264088,"{'original': 7.6, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,59.0,2.0,,1.0,3.0,4.0,2.0,1.0,2.0,1.0,,1.0,,1.0,0.0749,1.0,2.0,,,,1.0,2.0,,,,,,,,,,,,,
Dominik Szoboszlai,,,dominik-szoboszlai,D. Szoboszlai,M,8,187,66101,M,DomSzobo,869856,"{'alpha2': 'HU', 'alpha3': 'HUN', 'name': 'Hungary', 'slug': 'hungary'}",EUR,972432000,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دومينيك سوبوسلاي', 'hi': 'डोमिनिक स्ज़ोबोस्ज़लाई', 'bn': 'ডমিনিক সোবোসজলাই'}, 'shortNameTranslation': {'ar': 'د. سوبوسلاي', 'hi': 'डी. स्ज़ोबोस्ज़लाई', 'bn': 'ডি.সোবোসজলাই'}}",81.0,75.0,4.0,4.0,19.0,21.0,71.0,11.0,,,,,,73.0,99.0,7.5,19.0,0.182081,"{'original': 7.5, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,58.0,11.0,,2.0,6.0,3.0,1.0,,,,1.0,,,,0.0337,,,1.0,1.0,0.3141,,3.0,2.0,5.0,1.0,,,,,,,,,,
Alexis Mac Allister,,,alexis-mac-allister,A. Mac Allister,M,10,176,73401,M,Macca10,895324,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,914457600,"{'value': 93000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكسيس ماك أليستر', 'hi': 'एलेक्सिस मैक एलिस्टर', 'bn': 'অ্যালেক্সিস ম্যাক অ্যালিস্টার'}, 'shortNameTranslation': {'ar': 'أ. ماك أليستر', 'hi': 'ए. मैक एलिस्टर', 'bn': 'এ. ম্যাক অ্যালিস্টার'}}",88.0,78.0,4.0,4.0,16.0,20.0,69.0,7.0,,,,,,90.0,104.0,8.3,14.0,0.0537124,"{'original': 8.3, 'alternative': 8.1}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,62.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,4.0,,2.0,0.2412,2.0,,,1.0,0.6569,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,
Ryan Gravenberch,,,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,ryanjiro,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",33.0,28.0,,,3.0,5.0,29.0,,,,,,,60.0,46.0,7.0,10.0,0.020281,"{'original': 7, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,25.0,1.0,,1.0,3.0,4.0,1.0,,1.0,,2.0,2.0,,3.0,0.0824,,1.0,1.0,1.0,0.0661,,,,1.0,,,,,,,,,,,
Mohamed Salah,,,mohamed-salah,M. Salah,M,11,175,561305,M,MoSalah,159665,"{'alpha2': 'EG', 'alpha3': 'EGY', 'name': 'Egypt', 'slug': 'egypt'}",EUR,708566400,"{'value': 44000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'محمد صلاح', 'hi': 'मोहम्मद सलाह', 'bn': 'মোহাম্মদ সালাহ'}, 'shortNameTranslation': {'ar': 'م. صلاح', 'hi': 'एम. सलाह', 'bn': 'এম. সালাহ'}}",32.0,26.0,,,1.0,1.0,32.0,1.0,,,,,,60.0,46.0,7.4,11.0,0.184632,"{'original': 7.4, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,25.0,1.0,,,2.0,1.0,,2.0,1.0,,,,,2.0,0.1419,,,,2.0,0.2705,,1.0,,1.0,1.0,,,,,,,,,,
Darwin Núñez,,,darwin-nunez,D. Núñez,F,7,188,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",21.0,15.0,,,2.0,2.0,19.0,1.0,,,,,,90.0,39.0,7.4,11.0,0.0278935,"{'original': 7.4, 'alternative': 7.2}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,13.0,,3.0,,6.0,2.0,,2.0,3.0,,,,,3.0,0.677,,,1.0,2.0,0.0987,,,,2.0,2.0,2.0,,1.0,,1.0,,,,,
