minute,value
1.0,-8
2.0,-28
3.0,-33
4.0,-27
5.0,-50
6.0,-57
7.0,-43
8.0,-33
9.0,23
10.0,-5
11.0,-5
12.0,-6
13.0,-8
14.0,-12
15.0,-12
16.0,-12
17.0,-76
18.0,-54
19.0,-40
20.0,-33
21.0,-21
22.0,-24
23.0,-28
24.0,-56
25.0,-79
26.0,-40
27.0,-27
28.0,-17
29.0,35
30.0,18
31.0,2
32.0,-5
33.0,-7
34.0,12
35.0,5
36.0,-10
37.0,44
38.0,24
39.0,12
40.0,6
41.0,6
42.0,-7
43.0,-4
44.0,4
45.0,-9
45.5,-43
46.0,6
47.0,-8
48.0,14
49.0,40
50.0,29
51.0,19
52.0,10
53.0,3
54.0,2
55.0,27
56.0,15
57.0,8
58.0,55
59.0,26
60.0,-37
61.0,-20
62.0,-35
63.0,-32
64.0,-43
65.0,-81
66.0,-48
67.0,-30
68.0,-13
69.0,-33
70.0,33
71.0,8
72.0,10
73.0,3
74.0,22
75.0,14
76.0,49
77.0,29
78.0,8
79.0,3
80.0,-8
81.0,-30
82.0,-9
83.0,-7
84.0,-6
85.0,62
86.0,66
87.0,35
88.0,20
89.0,10
90.0,34
90.5,76
