name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,expectedGoals,keyPass,firstName,lastName,sofascoreId,totalCross,challengeLost,fouls,dispossessed,blockedScoringAttempt,unsuccessfulTouch,wasFouled,hitWoodwork,accurateCross,onTargetScoringAttempt,expectedGoalsOnTarget,bigChanceCreated,totalOffside,punches,goalAssist,goals
Matt Turner,matt-turner,M. Turner,G,30,190,1581,M,833943,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,772416000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مات تيرنر', 'hi': 'मैट टर्नर', 'bn': 'ম্যাট টার্নার'}, 'shortNameTranslation': {'ar': 'م. تيرنر', 'hi': 'एम. टर्नर', 'bn': 'এম. টার্নার'}}",20.0,14.0,13.0,8.0,8.0,11.0,6.0,9.0,8.0,1.0,2.0,4.0,4.0,90.0,32.0,6.8,6.0,0.00107922,"{'original': 6.8, 'alternative': 6.4}",0,-0.9633,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",17.0,10.0,2.0,,6.0,8.0,4.0,9.0,8.0,,,,,68.0,34.0,7.1,12.0,0.235057,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,4.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.2187,2.0,,,,,,,,,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",30.0,23.0,9.0,3.0,14.0,17.0,9.0,14.0,7.0,,,,,90.0,47.0,6.6,10.0,0.0325512,"{'original': 6.6, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,,9.0,3.0,2.0,,,1.0,7.0,1.0,,3.0,3.0,0.0235,,Murillo,,murillosantiago40,1.0,2.0,2.0,,,,,,,,,,,,,
Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",25.0,19.0,3.0,1.0,17.0,19.0,2.0,6.0,7.0,,,,,90.0,48.0,6.8,16.0,0.0181411,"{'original': 6.8, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,3.0,5.0,1.0,1.0,,,2.0,,1.0,3.0,2.0,0.0931,1.0,,,niakhate,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,
Neco Williams,williams-neco,N. Williams,D,3,183,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",26.0,14.0,7.0,2.0,7.0,11.0,7.0,20.0,7.0,,,,,90.0,53.0,7.3,20.0,0.00266907,"{'original': 7.3, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,4.0,11.0,1.0,,,1.0,3.0,,,10.0,7.0,0.1834,,,,,5.0,,2.0,,1.0,1.0,,1.0,,,,,,,,
Ryan Yates,ryan-yates,R. Yates,M,22,190,881,M,846252,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,880070400,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان ييتس', 'hi': 'रयान येट्स', 'bn': 'রায়ান ইয়েটস'}, 'shortNameTranslation': {'ar': 'ر. ييتس', 'hi': 'आर. येट्स', 'bn': 'আর. ইয়েটস'}}",29.0,21.0,2.0,1.0,8.0,9.0,13.0,21.0,2.0,,,,,90.0,48.0,7.0,11.0,0.0250336,"{'original': 7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,3.0,3.0,10.0,12.0,,,,,,1.0,1.0,4.0,1.0,,,,,,1.0,2.0,4.0,1.0,,1.0,5.0,,,,,,,,,
Orel Mangala,orel-mangala,O. Mangala,M,20,178,1539,M,793988,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,890179200,"{'value': 9600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانغالا، أوريل', 'hi': 'मंगला, ओरेल', 'bn': 'মঙ্গলা, ওরেল'}, 'shortNameTranslation': {'ar': 'أ. مانغالا', 'hi': 'ओ. मंगला', 'bn': 'ও. মঙ্গলা'}}",29.0,24.0,1.0,,16.0,20.0,8.0,9.0,4.0,,,,,83.0,39.0,6.5,7.0,0.00753126,"{'original': 6.5, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,3.0,,,,,2.0,1.0,,2.0,2.0,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,
Cheikhou Kouyaté,cheikhou-kouyate,C. Kouyaté,M,8,189,2612,M,45944,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,630201600,"{'value': 210000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",10.0,7.0,,,4.0,4.0,3.0,6.0,2.0,,,,,68.0,17.0,6.4,5.0,0.00733404,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,5.0,4.0,,,,,,,,3.0,1.0,,,,,,,2.0,1.0,2.0,,,1.0,,,,,,,,,
Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,379,M,358218,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,808790400,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري توفولو', 'hi': 'हैरी टोफ़ोलो', 'bn': 'হ্যারি টফোলো'}, 'shortNameTranslation': {'ar': 'ه. توفولو', 'hi': 'एच. टोफ़ोलो', 'bn': 'এইচ. টফোলো'}}",16.0,12.0,2.0,1.0,6.0,8.0,7.0,13.0,5.0,,,,,90.0,32.0,6.8,9.0,0.173765,"{'original': 6.8, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,2.0,,,0.3467,1.0,,,,5.0,,1.0,,1.0,,,,1.0,1.0,0.3919,,,,,
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",13.0,8.0,,,1.0,2.0,7.0,17.0,2.0,,,,,90.0,27.0,6.8,14.0,0.178095,"{'original': 6.8, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,8.0,2.0,3.0,,,1.0,,,,1.0,1.0,0.1959,3.0,,,anthonyelanga,6.0,1.0,1.0,,1.0,,,,,,,1.0,5.0,,,
