name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,totalCross,accurateCross,duelLost,duelWon,challengeLost,bigChanceMissed,shotOffTarget,hitWoodwork,totalTackle,unsuccessfulTouch,wasFouled,expectedGoals,keyPass,firstName,lastName,aerialWon,dispossessed,outfielderBlock,lastManTackle,wonTackle,fouls,totalContest,wonContest,blockedScoringAttempt,interceptionWon,aerialLost,bigChanceCreated,onTargetScoringAttempt,goals,expectedGoalsOnTarget,totalOffside,goodHighClaim
Luis Díaz,luis-diaz,L. Díaz,F,14,178,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",13.0,10.0,1.0,1.0,2.0,3.0,8.0,11.0,1.0,3.0,,,,68.0,25.0,6.8,10.0,0.055102,"{'original': 6.8, 'alternative': 6.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,1.0,,5.0,2.0,,,1.0,,,3.0,,0.0961,1.0,,,1.0,2.0,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,
Joe Gomez,joe-gomez,J. Gomez,D,2,188,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",24.0,16.0,2.0,,9.0,15.0,7.0,10.0,4.0,4.0,,,,55.0,47.0,7.7,12.0,0.00132779,"{'original': 7.7, 'alternative': 7.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,1.0,7.0,1.0,,1.0,,6.0,,,0.0555,1.0,,,1.0,,1.0,,4.0,,,,,1.0,,,1.0,,0.1085,,
Ryan Gravenberch,ryan-gravenberch,R. Gravenberch,M,38,190,30819,M,ryanjiro,904897,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,1021507200,"{'value': 98000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان غرافينبيرش', 'hi': 'रयान ग्रेवेनबेर्च', 'bn': 'রায়ান গ্রেভেনবার্চ'}, 'shortNameTranslation': {'ar': 'ر. غرافينبيرش', 'hi': 'आर. ग्रेवेनबेर्च', 'bn': 'আর. গ্রেভেনবেচ'}}",12.0,8.0,,,2.0,3.0,6.0,9.0,,2.0,,,,22.0,21.0,6.3,8.0,0.00716944,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,5.0,4.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",13.0,11.0,1.0,,4.0,5.0,7.0,8.0,,1.0,,,,22.0,18.0,7.1,2.0,0.0204682,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,4.0,,,,1.0,2.0,,1.0,0.0213,1.0,,,1.0,,,,2.0,,,,1.0,,,,,,,,
Darwin Núñez,darwin-nunez,D. Núñez,F,7,188,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",5.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,,2.0,,,,22.0,12.0,7.0,4.0,0.0191596,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,4.0,1.0,,1.0,,1.0,2.0,1.0,0.0305,,,,,,,,1.0,,2.0,2.0,,,,,,,,,
Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Bradley,bradley-conor,C. Bradley,D,12,181,15669,M,conorbradley03,1008402,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1057708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برادلي، كونور', 'hi': 'ब्रैडली, कॉनर', 'bn': 'ব্র্যাডলি, কনর'}, 'shortNameTranslation': {'ar': 'ك. برادلي', 'hi': 'सी. ब्रैडली', 'bn': 'সি. ব্র্যাডলি'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James McConnell,mcconnell-james,J. McConnell,M,16,180,2880,M,,1138428,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095033600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكونيل، جيمس', 'hi': 'मैककोनेल, जेम्स', 'bn': 'ম্যাককনেল, জেমস'}, 'shortNameTranslation': {'ar': 'ج. ماكونيل', 'hi': 'जे. मैककोनेल', 'bn': 'জে. ম্যাককনেল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,James McConnell,,,,,,,,,,,,,,,,,,
Bobby Clark,bobby-clark,B. Clark,M,42,178,1832,M,,1142638,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1107734400,"{'value': 5500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي كلارك', 'hi': 'बॉबी क्लार्क', 'bn': 'ববি ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ب. كلارك', 'hi': 'बी. क्लार्क', 'bn': 'বি. ক্লার্ক'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
