name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,totalCross,aerialLost,duelLost,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,expectedGoals,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,keyPass,sofascoreId,goalAssist,challengeLost,dispossessed,bigChanceMissed,unsuccessfulTouch,accurateCross,outfielderBlock,onTargetScoringAttempt,expectedGoalsOnTarget,goals,hitWoodwork,errorLeadToAShot,errorLeadToAGoal,totalOffside
Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190.0,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",49.0,32.0,28.0,11.0,23.0,28.0,9.0,21.0,1.0,1.0,12.0,,1.0,3.0,,,90.0,58.0,6.9,17.0,0.0014004,"{'original': 6.9, 'alternative': 6.6}",0,0.5593,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Reece Burke,reece-burke,R. Burke,D,32,189.0,101,M,372342,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,841622400,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريس بيرك', 'hi': 'रीस बर्क', 'bn': 'রিস বার্ক'}, 'shortNameTranslation': {'ar': 'ر. بيرك', 'hi': 'आर. बर्क', 'bn': 'আর. বার্ক'}}",51.0,43.0,7.0,3.0,28.0,31.0,15.0,20.0,3.0,5.0,6.0,,,,,,90.0,64.0,7.1,10.0,0.00510179,"{'original': 7.1, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,4.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,4.0,,,,,,,
Teden Mengi,teden-mengi,T. Mengi,D,15,183.0,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",26.0,21.0,2.0,2.0,19.0,20.0,2.0,6.0,1.0,2.0,4.0,,,,,,62.0,37.0,6.8,7.0,0.00147862,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,2.0,3.0,,3.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,
Gabriel Osho,gabriel-osho,G. Osho,D,3,185.0,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",29.0,23.0,3.0,,17.0,18.0,6.0,11.0,2.0,6.0,3.0,,,,,,81.0,41.0,6.8,8.0,0.00682028,"{'original': 6.8, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,3.0,6.0,1.0,1.0,2.0,3.0,,1.0,2.0,0.0205,,,,,,,,1.0,,,2.0,,1.0,,,,,,,
Issa Kaboré,issa-kabore,I. Kaboré,D,12,180.0,17342,M,1006189,"{'alpha2': 'BF', 'alpha3': 'BFA', 'name': 'Burkina Faso', 'slug': 'burkina-faso'}",EUR,989625600,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى كابوري', 'hi': 'इस्सा काबोरे', 'bn': 'ইসা কাবোরে'}, 'shortNameTranslation': {'ar': 'ع. كابوري', 'hi': 'आई. काबोरे', 'bn': 'আই. কাবোরে'}}",38.0,30.0,,,15.0,20.0,15.0,24.0,,8.0,6.0,,,,,,90.0,78.0,6.7,23.0,0.0082894,"{'original': 6.7, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,6.0,,7.0,,5.0,,2.0,1.0,4.0,1.0,,4.0,2.0,,,,issa_kabore_29,,3.0,1.0,,4.0,,1.0,,,,,,,
Jordan Clark,jordan-clark,J. Clark,M,18,183.0,124,M,150477,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,748656000,"{'value': 590000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان كلارك', 'hi': 'जॉर्डन क्लार्क', 'bn': 'জর্ডান ক্লার্ক'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'hi': 'जे. क्लार्क', 'bn': 'জে. ক্লার্ক'}}",46.0,34.0,10.0,5.0,19.0,23.0,15.0,25.0,1.0,8.0,3.0,,,,,,87.0,63.0,6.6,18.0,0.0154792,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,3.0,1.0,,,3.0,3.0,3.0,,0.05,2.0,1.0,,,,,,,1.0,,2.0,,,,,,,1.0,,
Ross Barkley,ross-barkley,R. Barkley,M,6,188.0,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",46.0,43.0,6.0,5.0,20.0,22.0,24.0,26.0,1.0,4.0,2.0,,,,,,90.0,63.0,7.1,9.0,0.0552461,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,1.0,6.0,1.0,2.0,2.0,1.0,,1.0,2.0,0.0445,2.0,1.0,,,1.0,,,,2.0,,2.0,1.0,,,,,,,,
Alfie Doughty,alfie-doughty,A. Doughty,M,14,183.0,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",35.0,25.0,4.0,1.0,10.0,14.0,20.0,37.0,1.0,7.0,5.0,,,,,,90.0,73.0,6.5,26.0,0.248644,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,16.0,,3.0,,,1.0,1.0,1.0,2.0,,,4.0,3.0,,,1.0,,,1.0,1.0,,3.0,5.0,,,,,,,1.0,1.0
Chiedozie Ogbene,ogbene-chiedozie,C. Ogbene,M,19,181.0,794,M,849309,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,862444800,"{'value': 6500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوغبيني، تشيدوزي', 'hi': 'ओगबेने, चिएदोज़ी', 'bn': 'ওগবেন, চিইডোজি'}, 'shortNameTranslation': {'ar': 'ت. أوغبيني', 'hi': 'सी. ओगबेने', 'bn': 'সি. ওগবেন'}}",31.0,27.0,,,5.0,6.0,22.0,27.0,2.0,3.0,,,,,,,87.0,42.0,6.5,12.0,0.0121083,"{'original': 6.5, 'alternative': 6.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,5.0,7.0,1.0,,,,,,1.0,0.3309,1.0,1.0,,,,,,,1.0,1.0,5.0,,,,,,1.0,,,
Tahith Chong,tahith-chong,T. Chong,M,24,185.0,1675,M,825845,"{'alpha2': 'CW', 'alpha3': 'CUW', 'name': 'Curacao', 'slug': 'curacao'}",EUR,944265600,"{'value': 4300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تايث تشونغ', 'hi': 'ताहित चोंग', 'bn': 'তাহিথ চং'}, 'shortNameTranslation': {'ar': 'ت. تشونغ', 'hi': 'टी. चोंग', 'bn': 'টি. চং'}}",23.0,20.0,2.0,1.0,7.0,8.0,14.0,17.0,1.0,7.0,1.0,,,,,,88.0,37.0,6.8,10.0,0.0838361,"{'original': 6.8, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,2.0,,4.0,,,,,,3.0,1.0,,4.0,3.0,,,1.0,,,,2.0,,2.0,1.0,,,,,,,,
Carlton Morris,carlton-morris,C. Morris,F,9,185.0,1084,M,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",23.0,15.0,,,7.0,7.0,8.0,17.0,1.0,4.0,1.0,,,,,,90.0,41.0,6.7,16.0,0.0228745,"{'original': 6.7, 'alternative': 6.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,,1.0,4.0,8.0,,3.0,,,,3.0,1.0,0.2637,1.0,,,1.0,,,,,2.0,,4.0,,,1.0,0.0831,,,,,
Daiki Hashioka,daiki-hashioka,D. Hashioka,D,8,185.0,1034,M,897334,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,926899200,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دايكي هاشيوكا', 'hi': 'दाइकी हाशिओका', 'bn': 'ডাইকি হাশিওকা'}, 'shortNameTranslation': {'ar': 'د. هاشيوكا', 'hi': 'डी. हाशिओका', 'bn': 'ডি. হাশিওকা'}}",24.0,18.0,1.0,,15.0,17.0,3.0,7.0,1.0,3.0,1.0,,,,,,28.0,29.0,6.7,6.0,0.00048528,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,0.0532,,,,,,,,,,,,,,,,,,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184.0,116,M,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,,,,,,,,,9.0,6.0,7.5,,0.00041093,"{'original': 7.5, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,2.0,,,,,,0.0792,,,,,,,,,,,,,,1.0,0.345,1.0,,,,
Luke Berry,luke-berry,L. Berry,M,8,177.0,67,M,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",3.0,2.0,,,1.0,2.0,1.0,1.0,,2.0,1.0,,,,,,11.0,7.0,6.5,2.0,0.00024882,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,
Zack Nelson,zack-nelson,Z. Nelson,M,37,183.0,81,M,1394950,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095984000,"{'value': 790000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زاك نيلسون', 'hi': 'जैक नेल्सन', 'bn': 'জ্যাক নেলসন'}, 'shortNameTranslation': {'ar': 'ز. نيلسون', 'hi': 'जे. नेल्सन', 'bn': 'জেড. নেলসন'}}",1.0,1.0,,,1.0,1.0,,,,,,,,,,,10.0,2.0,6.5,1.0,1.88e-06,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Zack Nelson,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Andros Townsend,andros-townsend,A. Townsend,F,30,181.0,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",3.0,2.0,,,1.0,1.0,2.0,3.0,,,1.0,,,,,,11.0,4.0,6.9,1.0,0.047461,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,
James Shea,james-shea,J. Shea,G,1,180.0,45,M,137789,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,677030400,"{'value': 115000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس شيا', 'hi': 'जेम्स शिया', 'bn': 'জেমস শিয়া'}, 'shortNameTranslation': {'ar': 'ج. شيا', 'hi': 'जे. शिया', 'bn': 'জে. শিয়া'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Krul,tim-krul,T. Krul,G,,193.0,426,M,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175.0,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel Piesold,axel-piesold,A. Piesold,M,6,,13,M,1468580,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1112227200,"{'value': 165000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أكسل بيزولد'}, 'shortNameTranslation': {'ar': 'أ. بيزولد'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,Axel Piesold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
