name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,totalTackle,wonTackle,wasFouled,fouls,keyPass,challengeLost,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,expectedGoals,shotOffTarget,outfielderBlock,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,expectedGoalsOnTarget,errorLeadToAShot,bigChanceCreated,penaltyWon,dispossessed,penaltyMiss,goalAssist,goodHighClaim,penaltySave,penaltyFaced,penaltyConceded,hitWoodwork
André Onana,,,andre-onana,A. Onana,G,24,190,55570,M,AndréOnana24,787498,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,828403200,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندريه أونانا', 'hi': 'आंद्रे ओनाना', 'bn': 'আন্দ্রে ওনানা'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'hi': 'ए. ओनाना', 'bn': 'এ. ওনানা'}}",27.0,18.0,13.0,4.0,17.0,19.0,1.0,8.0,5.0,1.0,2.0,90.0,31.0,6.4,9.0,0.00036997,"{'original': 6.4, 'alternative': 6.5}",0,-0.3597,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Dalot,,,diogo-dalot,D. Dalot,M,2,184,22683,M,DDalot,843200,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,921715200,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديوغو دالوت', 'hi': 'डिओगो डालोत', 'bn': 'ডিওগো ডালট'}, 'shortNameTranslation': {'ar': 'د. دالوت', 'hi': 'डी. डालोत', 'bn': 'ডি. ডালট'}}",32.0,30.0,3.0,3.0,15.0,15.0,16.0,21.0,4.0,,,90.0,52.0,7.1,7.0,0.0821845,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,1.0,2.0,2.0,5.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
Harry Maguire,,,harry-maguire,H. Maguire,D,5,194,27440,M,harrymaguire93,149380,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,731289600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ماغواير', 'hi': 'हैरी मैगुइर', 'bn': 'হ্যারি ম্যাগুইরে'}, 'shortNameTranslation': {'ar': 'ه. ماغواير', 'hi': 'एच. मैगुइर', 'bn': 'এইচ. ম্যাগুইরে'}}",33.0,27.0,4.0,1.0,18.0,19.0,9.0,14.0,2.0,,,90.0,40.0,6.7,7.0,0.00766323,"{'original': 6.7, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,,,1.0,1.0,2.0,1.0,0.285,,,,,,,,,,,,,,,,,,
Victor Lindelöf,,,victor-lindelof,V. Lindelöf,D,3,187,9198,M,victorlindelof,143334,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,774403200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'hi': 'विक्टर लिंडलोफ', 'bn': 'ভিক্টর লিন্ডেলফ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'hi': 'वी. लिंडलोफ', 'bn': 'ভি. লিন্ডেলফ'}}",35.0,32.0,2.0,1.0,23.0,24.0,9.0,11.0,2.0,,,45.0,39.0,6.8,3.0,0.00212793,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,3.0,,,,2.0,2.0,,,,,,,,0.0211,1.0,,,,,,,,,,,,,,,,,
Luke Shaw,,,luke-shaw,L. Shaw,D,23,178,17125,M,lukeshaw23,190839,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,805507200,"{'value': 9400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك شو', 'hi': 'ल्यूक शॉ', 'bn': 'লুক শ'}, 'shortNameTranslation': {'ar': 'ل. شاو', 'hi': 'एल. शॉ', 'bn': 'এল. শ'}}",51.0,45.0,2.0,,29.0,32.0,18.0,23.0,5.0,,,90.0,66.0,7.0,10.0,0.111025,"{'original': 7, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,4.0,2.0,,,2.0,1.0,,,4.0,1.0,1.0,,2.0,3.0,,,,1.0,0.0333,1.0,1.0,,,,,,,,,,,,,,,,
Scott McTominay,,,scott-mctominay,S. McTominay,M,8,193,24760,M,ScottMcTominay,879346,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,850003200,"{'value': 47000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكوت مكتوميناي', 'hi': 'स्कॉट मैकटोमिने', 'bn': 'স্কট ম্যাকটোমিনে'}, 'shortNameTranslation': {'ar': 'س. مكتوميناي', 'hi': 'एस. मैकटोमिने', 'bn': 'এস. ম্যাকটোমিনে'}}",22.0,21.0,1.0,1.0,9.0,9.0,12.0,15.0,2.0,,,90.0,41.0,7.8,5.0,0.0128891,"{'original': 7.8, 'alternative': 7.6}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,1.0,1.0,5.0,3.0,1.0,,,1.0,,1.0,2.0,,1.0,1.0,1.0,1.0,1.7653,1.0,1.0,3.0,5.0,2.0,1.0,1.8955,,,,,,,,,,,
Sofyan Amrabat,,,sofyan-amrabat,S. Amrabat,M,34,183,29520,M,sofyanamrabat,359272,"{'alpha2': 'MA', 'alpha3': 'MAR', 'name': 'Morocco', 'slug': 'morocco'}",EUR,840585600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سفيان أمرابط', 'hi': 'सोफ़यान अमराबात', 'bn': 'সোফিয়ান আমরাবাত'}, 'shortNameTranslation': {'ar': 'س. أمرابط', 'hi': 'एस. अमराबात', 'bn': 'এস. আমরাবত'}}",49.0,45.0,1.0,,26.0,27.0,19.0,22.0,11.0,,,90.0,62.0,7.1,6.0,0.0249296,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,3.0,6.0,2.0,2.0,,4.0,4.0,,2.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,,,
Antony,,,antony,Antony,M,7,172,222476,M,Antony,958380,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,951350400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}, 'shortNameTranslation': {'ar': 'أنتوني', 'hi': 'एंटोनी', 'bn': 'অ্যান্টনি'}}",31.0,24.0,,,7.0,8.0,17.0,24.0,4.0,,,90.0,53.0,7.7,13.0,0.0906445,"{'original': 7.7, 'alternative': 7.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,3.0,,8.0,8.0,5.0,2.0,,2.0,1.0,4.0,1.0,2.0,1.0,2.0,,,0.3509,1.0,1.0,,1.0,,,0.1784,,1.0,1.0,,,,,,,,
Bruno Fernandes,,,bruno-fernandes,B. Fernandes,M,8,179,216692,M,BrunoFernandes,288205,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,778982400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو فيرنانديز', 'hi': 'ब्रूनो फर्नांडीस', 'bn': 'ব্রুনো ফার্নান্দেস'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'hi': 'बी. फर्नांडीस', 'bn': 'বি. ফার্নান্দেস'}}",43.0,38.0,5.0,3.0,9.0,9.0,31.0,45.0,4.0,,,90.0,74.0,7.6,17.0,0.338566,"{'original': 7.6, 'alternative': 7.3}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,11.0,2.0,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,0.9108,2.0,,1.0,1.0,,1.0,0.9566,,1.0,,1.0,1.0,,,,,,
Alejandro Garnacho,,,alejandro-garnacho,A. Garnacho,F,49,180,145162,M,AleGarnacho,1135873,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1088640000,"{'value': 42000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'hi': 'एलेजांद्रो गार्नाचो', 'bn': 'আলেজান্দ্রো গার্নাচো'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'hi': 'ए. गार्नाचो', 'bn': 'এ. গার্নাচো'}}",41.0,32.0,2.0,1.0,6.0,10.0,27.0,36.0,7.0,,,89.0,69.0,7.7,22.0,0.514344,"{'original': 7.7, 'alternative': 7.2}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,1.0,1.0,,7.0,2.0,5.0,1.0,,,,1.0,1.0,3.0,1.0,2.0,,5.0,0.825,5.0,,,1.0,,,0.2142,,1.0,,,,1.0,,,,,
