name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAGoal,ownGoals,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,blockedScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,expectedGoals,keyPass,wonContest,firstName,lastName,dispossessed,shotOffTarget,bigChanceMissed,bigChanceCreated,sofascoreId,totalOffside,onTargetScoringAttempt,expectedGoalsOnTarget,goals
Arijanet Murić,arijanet-muric,A. Murić,G,49,198,1759,M,888971,"{'alpha2': 'XK', 'alpha3': 'XKX', 'name': 'Kosovo', 'slug': 'kosovo'}",EUR,910396800,"{'value': 6900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أريجانيت موريش', 'hi': 'अरिजानेट मुरिक', 'bn': 'আরিজানেট মুরিচ'}, 'shortNameTranslation': {'ar': 'أ. موريش', 'hi': 'ए. मुरिक', 'bn': 'এ. মুরিচ'}}",73.0,50.0,31.0,8.0,45.0,49.0,5.0,24.0,1.0,1.0,3.0,11.0,1.0,1.0,3.0,2.0,8.0,4.0,4.0,90.0,96.0,7.5,24.0,0.00292453,"{'original': 7.5, 'alternative': 7.3}",0,0.0753,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179,621,M,1009334,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,961632000,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورينز أسينيون', 'hi': 'लोरेन्ज़ एसिग्नोन', 'bn': 'লরেঞ্জ অ্যাসিগনন'}, 'shortNameTranslation': {'ar': 'ل. أسينيون', 'hi': 'एल. एसिग्नोन', 'bn': 'এল. অ্যাসিগনন'}}",30.0,25.0,2.0,1.0,10.0,11.0,16.0,22.0,1.0,7.0,3.0,6.0,,,,,,,,90.0,60.0,6.9,11.0,0.352259,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,5.0,0.029,1.0,,,,,,,,,,,,
Hjalmar Ekdal,hjalmar-ekdal,H. Ekdal,D,18,187,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",30.0,27.0,3.0,2.0,18.0,21.0,9.0,9.0,1.0,4.0,1.0,7.0,,,,,,,,67.0,47.0,7.2,6.0,0.00434087,"{'original': 7.2, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,6.0,1.0,2.0,,3.0,2.0,2.0,1.0,2.0,,3.0,,,1.0,,,,,,,,,,,
Maxime Estève,maxime-esteve,M. Estève,D,5,192,1543,M,1117223,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1022371200,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكسيم إستيف', 'hi': 'मैक्सिम एस्टेवे', 'bn': 'ম্যাক্সিম এস্টেভ'}, 'shortNameTranslation': {'ar': 'م. إستيف', 'hi': 'एम. एस्टेवे', 'bn': 'এম. এস্তেভ'}}",77.0,61.0,11.0,2.0,47.0,54.0,14.0,23.0,,5.0,6.0,8.0,,,,,,,,90.0,91.0,6.7,16.0,0.00540282,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,3.0,1.0,,,,1.0,3.0,,,2.0,,,,,Maxime Estève,,,,,,,,,,
Vitinho,vitinho,Vitinho,D,2,175,3443,M,914477,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,932688000,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}, 'shortNameTranslation': {'ar': 'فيتينيو', 'hi': 'विटिन्हो', 'bn': 'ভিতিনহো'}}",18.0,13.0,,,7.0,9.0,6.0,9.0,1.0,4.0,,4.0,,,,,,,,45.0,28.0,6.4,10.0,0.00358008,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,6.0,,1.0,,,,3.0,1.0,1.0,,1.0,,,,,,3.0,,,,,,,,
Lyle Foster,foster-lyle,L. Foster,F,9,180,6277,M,901907,"{'alpha2': 'ZA', 'alpha3': 'ZAF', 'name': 'South Africa', 'slug': 'south-africa'}",EUR,967939200,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فوستر، لايل', 'hi': 'फोस्टर, लाइल', 'bn': 'ফস্টার, লাইল'}, 'shortNameTranslation': {'ar': 'ل. فوستر', 'hi': 'एल. फोस्टर', 'bn': 'এল. ফস্টার'}}",23.0,17.0,,,1.0,1.0,16.0,22.0,1.0,1.0,,,,,,,,,,90.0,35.0,6.6,16.0,0.0958299,"{'original': 6.6, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,4.0,,,,,,,,9.0,,1.0,,1.0,,,,1.0,,,,,,,,
Josh Cullen,cullen-josh,J. Cullen,M,24,175,937,M,792122,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,828835200,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",56.0,50.0,2.0,2.0,18.0,20.0,32.0,38.0,1.0,3.0,1.0,5.0,,,,,,,,90.0,65.0,7.2,8.0,0.0369972,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,2.0,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0611,2.0,,,,,,,,,,,,
Sander Berge,sander-berge,S. Berge,M,16,195,2074,M,793167,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,887414400,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساندر بيرج', 'hi': 'सैंडर बर्ज', 'bn': 'স্যান্ডার বার্জে'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'hi': 'एस. बर्ज', 'bn': 'এস. বার্জে'}}",45.0,45.0,3.0,3.0,31.0,31.0,14.0,14.0,1.0,3.0,2.0,7.0,,,,,,,,90.0,54.0,7.1,1.0,0.0166934,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0467,1.0,,,,,1.0,,,,,,,
Jacob Bruun Larsen,jacob-bruun-larsen,J. B. Larsen,M,7,183,713,M,809276,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,906163200,"{'value': 5400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاكوب برون لارسن', 'hi': 'जैकब ब्रून लार्सन', 'bn': 'জ্যাকব ব্রাউন লারসেন'}, 'shortNameTranslation': {'ar': 'ج. ب. لارسن', 'hi': 'जेबी ब्रून', 'bn': 'জে.বি. লারসেন'}}",19.0,12.0,,,5.0,6.0,8.0,15.0,,1.0,1.0,3.0,,,,,,,,86.0,28.0,6.3,11.0,0.0670898,"{'original': 6.3, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,3.0,6.0,1.0,3.0,,,,,,1.0,,,0.4402,1.0,1.0,,,,1.0,1.0,,,,,,
Wilson Odobert,wilson-odobert,W. Odobert,F,28,182,4085,M,1142679,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1101600000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلسون أودوبيرت', 'hi': 'विल्सन ओडोबर्ट', 'bn': 'উইলসন ওডোবার্ট'}, 'shortNameTranslation': {'ar': 'و. أودوبيرت', 'hi': 'डब्लू. ओडोबर्ट', 'bn': 'ডব্লিউ. ওডোবার্ট'}}",26.0,21.0,2.0,1.0,7.0,8.0,16.0,21.0,,2.0,,6.0,,,,,,,,90.0,46.0,7.2,15.0,0.886872,"{'original': 7.2, 'alternative': 7.1}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,2.0,,5.0,1.0,5.0,,,,,,3.0,,,0.0955,3.0,2.0,,,1.0,2.0,,2.0,,,,,
