name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,totalTackle,errorLeadToAGoal,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,outfielderBlock,interceptionWon,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,onTargetScoringAttempt,goals,expectedGoals,expectedGoalsOnTarget,dispossessed,lastManTackle,ownGoals,totalContest,bigChanceMissed,hitWoodwork,sofascoreId,goalAssist,wonContest,bigChanceCreated,blockedScoringAttempt,errorLeadToAShot,totalOffside,clearanceOffLine
Cameron Archer,,,cameron-archer,C. Archer,F,19,181,1000,M,993451,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1007856000,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاميرون آرتشر', 'hi': 'कैमरून आर्चर', 'bn': 'ক্যামেরন আর্চার'}, 'shortNameTranslation': {'ar': 'ك. آرتشر', 'hi': 'सी. आर्चर', 'bn': 'সি. আর্চার'}}",24.0,21.0,,,6.0,6.0,15.0,18.0,1.0,1.0,1.0,1.0,,,,,,,,,86.0,35.0,7.0,6.0,0.191576,"{'original': 7, 'alternative': 6.8}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,,4.0,1.0,1.0,,1.0,2.0,1.0,2.0,,2.0,,0.7639,,1.0,,,,1.0,,,,,1.0,1.0,,,
Max Lowe,,,max-lowe,M. Lowe,D,3,175,114,M,355154,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,863308800,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكس لوي', 'hi': 'मैक्स लोवे', 'bn': 'ম্যাক্স লোয়ে'}, 'shortNameTranslation': {'ar': 'م. لوي', 'hi': 'एम. लोवे', 'bn': 'এম. লোয়ে'}}",8.0,7.0,,,4.0,4.0,3.0,4.0,2.0,,1.0,1.0,,1.0,,,,,,,45.0,19.0,5.9,3.0,0.00618729,"{'original': 5.9, 'alternative': 5.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,2.0,1.0,,,1.0,1.0,,,,,,0.5792,,,,,1.0,2.0,,,,,,2.0,,1.0,
Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188,2213,M,1006147,"{'alpha2': 'TN', 'alpha3': 'TUN', 'name': 'Tunisia', 'slug': 'tunisia'}",EUR,984700800,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنيس بن سليمان', 'hi': 'अनीस बेन स्लीमेन', 'bn': 'আনিস বেন স্লিমান'}, 'shortNameTranslation': {'ar': 'أ. بن سليمان', 'hi': 'एबी बेन', 'bn': 'এ. বি. স্লিমান'}}",4.0,1.0,,,,1.0,1.0,3.0,3.0,,1.0,2.0,,,,,,,,,18.0,10.0,6.5,3.0,0.0253787,"{'original': 6.5, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,1.0,1.0,1.0,,1.0,,,,1.0,1.0,,,0.0497,,,,1.0,,,,,,,,,,,
Oliver Norwood,,,oliver-norwood,O. Norwood,M,26,180,225,M,100637,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,671414400,"{'value': 280000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوليفر نوروود', 'hi': 'ओलिवर नोरवुड', 'bn': 'অলিভার নরউড'}, 'shortNameTranslation': {'ar': 'أ. نوروود', 'hi': 'ओ. नोरवुड', 'bn': 'ও. নরউড'}}",8.0,5.0,5.0,2.0,3.0,3.0,2.0,10.0,1.0,,2.0,1.0,,,,,,,,,14.0,14.0,6.6,8.0,0.00196411,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,5.0,,,,2.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
Rhian Brewster,,,rhian-brewster,R. Brewster,F,10,180,873,M,878705,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,954547200,"{'value': 2700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان بروستر', 'hi': 'रियान ब्रूस्टर', 'bn': 'রায়ান ব্রুস্টার'}, 'shortNameTranslation': {'ar': 'ر. بروستر', 'hi': 'आर. ब्रूस्टर', 'bn': 'আর. ব্রুস্টার'}}",3.0,3.0,,,1.0,1.0,2.0,2.0,,,1.0,,,,,,,,,,14.0,4.0,6.5,,0.00447292,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
William Osula,,,osula-william,W. Osula,F,18,191,2921,M,1122603,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,1059955200,"{'value': 13800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوسولا، ويليام', 'hi': 'ओसुला, विलियम', 'bn': 'ওসুলা, উইলিয়াম'}, 'shortNameTranslation': {'ar': 'و. أوسولا', 'hi': 'डब्लू. ओसुला', 'bn': 'ডব্লিউ. ওসুলা'}}",3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,,,,,,,14.0,7.0,6.8,3.0,0.00142359,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,,2.0,,,,,2.0,,,,1.0,,0.0255,0.1498,,,,,,,,,,,,,,
Adam Davies,,,adam-davies,A. Davies,G,17,185,115,M,288997,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,711331200,"{'value': 290000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم ديفيز', 'hi': 'एडम डेविस', 'bn': 'অ্যাডাম ডেভিস'}, 'shortNameTranslation': {'ar': 'آ. ديفيز', 'hi': 'ए. डेविस', 'bn': 'এ. ডেভিস'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhys Norrington-Davies,,,rhys-norrington-davies,R. Norrington-Davies,D,18,181,103,M,911708,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,924739200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رايس نورينغتون-دافيز', 'hi': 'राइज़ नोरिंग्टन-डेविस', 'bn': 'রিস নরিংটন-ডেভিস'}, 'shortNameTranslation': {'ar': 'ر. نورينغتون-دافيز', 'hi': 'आर. नोरिंग्टन-डेविस', 'bn': 'আর. নরিংটন-ডেভিস'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Femi Seriki,,,femi-seriki,F. Seriki,D,38,180,131,M,966458,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1019952000,"{'value': 3800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيمي سيركي', 'hi': 'फेमी सेरीकी', 'bn': 'ফেমি সেরিকি'}, 'shortNameTranslation': {'ar': 'ف. سيركي', 'hi': 'एफ. सेरीकी', 'bn': 'এফ. সেরিকি'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Osborn,Ben,Osborn,ben-osborn,B. Osborn,M,23,176,76,M,282665,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,776044800,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بن أوزبورن', 'hi': 'बेन ओसबोर्न', 'bn': 'বেন অসবর্ন'}, 'shortNameTranslation': {'ar': 'ب. أوزبورن', 'hi': 'बी. ओसबोर्न', 'bn': 'বি. ওসবোর্ন'}}",,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Kaminski,,,thomas-kaminski,T. Kaminski,G,1,190,558,M,45959,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,719798400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس كامينسكي', 'hi': 'थॉमस कामिन्स्की', 'bn': 'টমাস কামিনস্কি'}, 'shortNameTranslation': {'ar': 'ت. كامينسكي', 'hi': 'टी. कामिन्स्की', 'bn': 'টি. কামিনস্কি'}}",31.0,21.0,18.0,8.0,19.0,21.0,2.0,10.0,,,7.0,,,,3.0,1.0,2.0,,,,90.0,40.0,6.8,10.0,0.00058764,"{'original': 6.8, 'alternative': 6.4}",0,0.6322,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teden Mengi,,,teden-mengi,T. Mengi,D,15,183,793,M,979233,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1020124800,"{'value': 3900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيدن منجي', 'hi': 'टेडेन मेंगी', 'bn': 'টেডেন মেঙ্গি'}, 'shortNameTranslation': {'ar': 'ت. منجي', 'hi': 'टी. मेंगी', 'bn': 'টি. মেঙ্গি'}}",26.0,21.0,8.0,3.0,14.0,16.0,7.0,10.0,3.0,7.0,3.0,,,,,,,,,,90.0,45.0,6.9,7.0,0.133007,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,3.0,4.0,,1.0,3.0,,1.0,2.0,,1.0,,,0.0852,,1.0,,,,,,,,,,,,,
Gabriel Osho,,,gabriel-osho,G. Osho,D,3,185,835,M,920680,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,903052800,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'غابرييل أوشو', 'hi': 'गेब्रियल ओशो', 'bn': 'গ্যাব্রিয়েল ওশো'}, 'shortNameTranslation': {'ar': 'غ. أوشو', 'hi': 'जी. ओशो', 'bn': 'জি. ওশো'}}",23.0,17.0,3.0,,16.0,20.0,1.0,3.0,2.0,2.0,6.0,1.0,,,,,,,,,90.0,32.0,6.7,6.0,0.00125655,"{'original': 6.7, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,1.0,1.0,2.0,,1.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
Amari'i Bell,,,amarii-bell,A. Bell,D,17,179,253,M,369674,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,768096000,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'اماري بيل', 'hi': ""अमरी'ई बेल"", 'bn': 'আমারি বেল'}, 'shortNameTranslation': {'ar': 'ا. بيل', 'hi': 'एक बेल', 'bn': 'এ. বেল'}}",49.0,37.0,6.0,,30.0,35.0,7.0,18.0,7.0,3.0,3.0,2.0,,1.0,,,,,,,90.0,70.0,6.5,19.0,0.00672347,"{'original': 6.5, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,4.0,,7.0,4.0,11.0,,1.0,5.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,,,
Alfie Doughty,,,alfie-doughty,A. Doughty,M,14,183,576,M,945792,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,945734400,"{'value': 5700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألفي دوتي', 'hi': 'अल्फी डौटी', 'bn': 'আলফি ডাউটি'}, 'shortNameTranslation': {'ar': 'أ. دوتي', 'hi': 'ए. डौटी', 'bn': 'এ. ডাউটি'}}",29.0,23.0,5.0,4.0,13.0,14.0,12.0,23.0,4.0,3.0,2.0,1.0,,,,,,,,,78.0,54.0,7.7,15.0,0.0627408,"{'original': 7.7, 'alternative': 7.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,8.0,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,0.1087,0.1514,1.0,,,2.0,,,,,2.0,,1.0,,,
Albert Sambi Lokonga,,,albert-sambi-lokonga,A. S. Lokonga,M,6,183,3693,M,901892,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,940550400,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ألبرت سامبي لوكونغا', 'hi': 'अल्बर्ट साम्बी लोकोंगा', 'bn': 'আলবার্ট সাম্বি লোকোঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. س. لوكونغا', 'hi': 'ए.एस. लोकोंगा', 'bn': 'এ. এস. লোকঙ্গা'}}",32.0,28.0,3.0,2.0,16.0,18.0,12.0,15.0,5.0,1.0,2.0,3.0,,1.0,,,,,,,90.0,50.0,8.2,6.0,0.00785803,"{'original': 8.2, 'alternative': 8.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,3.0,,4.0,1.0,3.0,,2.0,,,1.0,,,,0.0319,,,,,1.0,,,,1.0,1.0,,1.0,,,2.0
Ross Barkley,,,ross-barkley,R. Barkley,M,6,188,2380,M,98435,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,755049600,"{'value': 4500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'روس باركلي', 'hi': 'रॉस बार्कले', 'bn': 'রস বার্কলে'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'hi': 'आर. बार्कले', 'bn': 'আর. বার্কলে'}}",59.0,49.0,7.0,5.0,17.0,23.0,32.0,37.0,8.0,1.0,9.0,3.0,,1.0,,,,,,,90.0,80.0,7.8,11.0,0.0344054,"{'original': 7.8, 'alternative': 7.7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,3.0,1.0,5.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,,0.1122,0.0776,,,,3.0,,,,,3.0,,1.0,,,
Ryan Giles,,,ryan-giles,R. Giles,D,3,179,227,M,931304,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948844800,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان جايلز', 'hi': 'रयान गिल्स', 'bn': 'রায়ান জাইলস'}, 'shortNameTranslation': {'ar': 'ر. جايلز', 'hi': 'आर. गिल्स', 'bn': 'আর. জাইলস'}}",20.0,16.0,,,8.0,10.0,8.0,11.0,4.0,3.0,3.0,2.0,,,,,,,,,72.0,40.0,7.1,6.0,0.0273516,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,,2.0,,,,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
Andros Townsend,,,andros-townsend,A. Townsend,F,30,181,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",18.0,16.0,2.0,1.0,2.0,3.0,15.0,18.0,3.0,,3.0,2.0,,,,,,,,,84.0,30.0,7.0,7.0,0.203754,"{'original': 7, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,1.0,1.0,,5.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,0.1704,0.2784,,,,3.0,,,,,1.0,,1.0,,,
