minute,value
1.0,5
2.0,-28
3.0,-5
4.0,31
5.0,20
6.0,15
7.0,64
8.0,99
9.0,62
10.0,28
11.0,16
12.0,9
13.0,18
14.0,10
15.0,14
16.0,19
17.0,13
18.0,8
19.0,6
20.0,5
21.0,32
22.0,58
23.0,81
24.0,9
25.0,9
26.0,7
27.0,61
28.0,47
29.0,36
30.0,25
31.0,23
32.0,16
33.0,16
34.0,18
35.0,17
36.0,41
37.0,24
38.0,22
39.0,26
40.0,-15
41.0,4
42.0,1
43.0,9
44.0,4
45.0,3
45.5,-47
46.0,8
47.0,21
48.0,35
49.0,28
50.0,23
51.0,90
52.0,59
53.0,-45
54.0,-10
55.0,-32
56.0,48
57.0,13
58.0,8
59.0,-6
60.0,-32
61.0,-28
62.0,-35
63.0,-14
64.0,11
65.0,5
66.0,5
67.0,2
68.0,2
69.0,56
70.0,1
71.0,2
72.0,2
73.0,-55
74.0,106
75.0,52
76.0,38
77.0,35
78.0,24
79.0,6
80.0,5
81.0,2
82.0,-4
83.0,11
84.0,-26
85.0,13
86.0,6
87.0,64
88.0,36
89.0,25
90.0,32
90.5,69
