name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,errorLeadToAShot,wasFouled,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,goalAssist,accurateOppositionHalfPasses,totalCross,accurateCross,duelLost,challengeLost,totalContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,hitWoodwork,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,expectedGoals,expectedGoalsOnTarget,keyPass,aerialLost,dispossessed,bigChanceMissed,outfielderBlock,wonContest,blockedScoringAttempt,goals,totalOffside,firstName,lastName,savedShotsFromInsideTheBox,punches,clearanceOffLine
Heung-min Son,heung-min-son,H. M. Son,F,7,184,126618,M,HMSon,111505,"{'alpha2': 'KR', 'alpha3': 'KOR', 'name': 'South Korea', 'slug': 'south-korea'}",EUR,710553600,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيونغ مين سون', 'hi': 'ह्युंग-मिन सोन', 'bn': 'হেউং-মিন সন'}, 'shortNameTranslation': {'ar': 'ه. م. سون', 'hi': 'एच.एम. सोन', 'bn': 'এইচ. এম. সন'}}",25.0,22.0,1.0,1.0,6.0,6.0,19.0,,1.0,,2.0,,1.0,,,,,90.0,32.0,7.7,5.0,0.545423,"{'original': 7.7, 'alternative': 7.4}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,16.0,,,3.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,0.1337,0.0461,3.0,1.0,,,,,,,2.0,,,,,
Pierre-Emile Højbjerg,pierre-emile-hojbjerg,P. Højbjerg,M,8,185,4466,M,hojbjerg23,149593,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,807580800,"{'value': 18100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيير إيميل هويبيرج', 'hi': 'पियरे-एमिले होजबर्ज', 'bn': 'পিয়েরে-এমিল হজবজের্গ'}, 'shortNameTranslation': {'ar': 'ب. هويبيرج', 'hi': 'पी. होजबर्ज', 'bn': 'পি. হজবজের্গ'}}",65.0,59.0,8.0,6.0,28.0,31.0,35.0,,4.0,,4.0,,,,,,,58.0,80.0,7.1,12.0,0.0262395,"{'original': 7.1, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,31.0,1.0,,4.0,,1.0,,,1.0,,,4.0,3.0,1.0,1.0,0.0305,0.5618,,1.0,1.0,,,,,,,,,,,
Oliver Skipp,skipp-oliver,O. Skipp,M,22,175,1368,M,,859901,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,969062400,"{'value': 6800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكيب، أوليفر', 'hi': 'स्किप, ओलिवर', 'bn': 'স্কিপ, অলিভার'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'hi': 'ओ. स्किप', 'bn': 'ও. স্কিপ'}}",8.0,8.0,,,3.0,3.0,6.0,,,,2.0,,,,,,,19.0,13.0,6.8,1.0,0.00572282,"{'original': 6.8, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,6.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,
Alejo Véliz,alejo-veliz,A. Véliz,F,9,187,3176,M,aleeveliz,1116987,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,1063929600,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليخو فيليز', 'hi': 'एलेजो वेलिज़', 'bn': 'আলেজো ভেলিজ'}, 'shortNameTranslation': {'ar': 'أ. فيليز', 'hi': 'ए. वेलिज़', 'bn': 'এ. ভেলিজ'}}",,,,,,,,,2.0,,,,1.0,,,,,12.0,2.0,6.7,,,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,Alejo Veliz,,,,
Fraser Forster,fraser-forster,F. Forster,G,,201,1211,M,,19314,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,574560000,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريزر فورستر', 'hi': 'फ्रेजर फोर्स्टर', 'bn': 'ফ্রেজার ফরস্টার'}, 'shortNameTranslation': {'ar': 'ف. فورستر', 'hi': 'एफ. फोर्स्टर', 'bn': 'এফ. ফরস্টার'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Austin,austin-brandon,B. Austin,G,40,188,1393,M,,859896,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,915753600,"{'value': 530000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أوستن، براندون', 'hi': 'ऑस्टिन, ब्रैंडन', 'bn': 'অস্টিন, ব্র্যান্ডন'}, 'shortNameTranslation': {'ar': 'ب. أوستن', 'hi': 'बी. ऑस्टिन', 'bn': 'বি. অস্টিন'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Dorrington,dorrington-alfie,A. Dorrington,D,26,192,513,M,,1177610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1113955200,"{'value': 720000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دورنجتون، ألفي', 'hi': 'डोरिंगटन, अल्फी', 'bn': 'ডরিংটন, আলফি'}, 'shortNameTranslation': {'ar': 'أ. دورنجتون', 'hi': 'ए. डोरिंगटन', 'bn': 'এ. ডরিংটন'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Dier,eric-dier,E. Dier,D,3,191,4429,M,ericdier,146101,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,758592000,"{'value': 7200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إريك داير', 'hi': 'एरिक डिएर', 'bn': 'এরিক ডিয়ার'}, 'shortNameTranslation': {'ar': 'إ. داير', 'hi': 'ई. डिएर', 'bn': 'ই. ডিয়ার'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Donley,jamie-donley,J. Donley,M,14,183,1466,M,,1150934,"{'alpha2': 'NX', 'alpha3': 'NIR', 'name': 'Northern Ireland', 'slug': 'northern-ireland'}",EUR,1104710400,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمي دونلي', 'hi': 'जेमी डोनली', 'bn': 'জেমি ডনলি'}, 'shortNameTranslation': {'ar': 'ج. دونلي', 'hi': 'जे. डोनली', 'bn': 'জে. ডনলি'}}",,,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamie Donley,,,,
Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,62646,M,EmiMartínez,158263,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,715392000,"{'value': 14400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إميليانو مارتينيز', 'hi': 'एमिलियानो मार्टिनेज', 'bn': 'এমিলিয়ানো মার্টিনেজ'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'hi': 'ई. मार्टिनेज', 'bn': 'ই. মার্টিনেজ'}}",33.0,23.0,20.0,10.0,16.0,19.0,14.0,,,1.0,12.0,,,2.0,6.0,1.0,1.0,90.0,48.0,8.2,10.0,0.00174635,"{'original': 8.2, 'alternative': 7.9}",0,0.8794,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,
