name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName,sofascoreId
Cheikhou Kouyaté,cheikhou-kouyate,C. Kouyaté,M,8,2612,M,45944,"{'nameTranslation': {'ar': 'شيخو كوياتي', 'hi': 'शेखोउ कोउयाटे', 'bn': 'চেইখৌ কাউয়াতে'}, 'shortNameTranslation': {'ar': 'ش. كوياتي', 'hi': 'सी. कोउयाटे', 'bn': 'সি. কাউয়াতে'}}",False,miss,set-piece,other,90,5378,2678,,13.3,29.0,0,46.7,50.0,,,
Julio Enciso,julio-enciso,J. Enciso,M,10,11901,M,973556,"{'nameTranslation': {'ar': 'خوليو إنسيسو', 'hi': 'जूलियो एनकिसो', 'bn': 'জুলিও এনসিসো'}, 'shortNameTranslation': {'ar': 'خ. إنسيسو', 'hi': 'जे. एनकिसो', 'bn': 'জে. এনসিসো'}}",True,miss,assisted,right-foot,87,5180,2480,,27.9,48.7,0,58.2,45.8,,,julioenciso.33
Lewis Dunk,lewis-dunk,L. Dunk,D,5,1872,M,115365,"{'nameTranslation': {'ar': 'لويس دانك', 'hi': 'लुईस डंक', 'bn': 'লুইস ডাঙ্ক'}, 'shortNameTranslation': {'ar': 'ل. دانك', 'hi': 'एल. डंक', 'bn': 'এল. ডাঙ্ক'}}",True,block,corner,head,83,4953,2253,,10.7,46.6,0,52.6,19.0,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,6717,M,865912,"{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",False,save,free-kick,right-foot,79,4731,2031,,18.0,27.8,0,51.0,24.7,,,Morgangibbs27
Murillo,murillo,Murillo,D,5,9796,M,1199282,"{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",False,miss,corner,right-foot,72,4267,1567,,6.8,31.4,0,59.2,5.6,Murillo,,murillosantiago40
Chris Wood,chris-wood,C. Wood,F,11,7744,M,50480,"{'nameTranslation': {'ar': 'كريس وود', 'hi': 'क्रिस वुड', 'bn': 'ক্রিস উড'}, 'shortNameTranslation': {'ar': 'ك. وود', 'hi': 'सी. वुड', 'bn': 'সি. উড'}}",False,save,assisted,left-foot,71,4217,1517,,9.3,33.8,0,46.7,2.5,,,wodsy39
Ansu Fati,ansu-fati,A. Fati,F,31,177605,M,962883,"{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",True,save,regular,left-foot,59,3494,794,,18.4,50.5,0,49.5,8.2,,,AnsuFati
Murillo,murillo,Murillo,D,5,9796,M,1199282,"{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",False,save,free-kick,left-foot,50,2944,244,,27.9,56.8,0,50.5,22.8,Murillo,,murillosantiago40
Divock Origi,divock-origi,D. Origi,F,27,3656,M,190399,"{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",False,miss,assisted,right-foot,47,2805,105,,11.8,71.0,0,42.9,81.9,,,divockorigi
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,6717,M,865912,"{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",False,miss,assisted,right-foot,37,2191,2191,,23.4,34.9,0,60.8,6.9,,,Morgangibbs27
Divock Origi,divock-origi,D. Origi,F,27,3656,M,190399,"{'nameTranslation': {'ar': 'ديفوك أوريجي', 'hi': 'डिवॉक ओरिजी', 'bn': 'ডিভক অরিজি'}, 'shortNameTranslation': {'ar': 'د. أوريجي', 'hi': 'डी. ओरिजी', 'bn': 'ডি. অরিজি'}}",False,save,fast-break,right-foot,31,1816,1816,,11.4,63.6,0,51.7,4.4,,,divockorigi
Andrew Omobamidele,andrew-omobamidele,A. Omobamidele,D,20,706,M,983066,"{'nameTranslation': {'ar': 'أندرو أوموباميديلي', 'hi': 'एंड्रयू ओमोबामिडेले', 'bn': 'অ্যান্ড্রু ওমোবামিডেলে'}, 'shortNameTranslation': {'ar': 'أ. أوموباميديلي', 'hi': 'ए. ओमोबामिडेले', 'bn': 'এ. ওমোবামিডেলে'}}",True,goal,set-piece,head,29,1684,1684,own,2.1,47.0,0,54.0,19.0,,,
Simon Adingra,simon-adingra,S. Adingra,M,24,45746,M,1110842,"{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",True,miss,corner,left-foot,21,1222,1222,,19.1,51.1,0,61.2,94.4,,,simon.adingra
Ansu Fati,ansu-fati,A. Fati,F,31,177605,M,962883,"{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",True,block,set-piece,head,20,1160,1160,,3.5,40.5,0,54.4,19.0,,,AnsuFati
Carlos Baleba,baleba-carlos,C. Baleba,M,17,22765,M,1199043,"{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",True,miss,set-piece,right-foot,15,890,890,,8.6,43.8,0,29.1,12.5,,,carlos_baleba
Jakub Moder,jakub-moder,J. Moder,M,7,7259,M,886242,"{'nameTranslation': {'ar': 'جاكوب مودر', 'hi': 'जकूब मोडेर', 'bn': 'জাকুব মডার'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'hi': 'जे. मोडेर', 'bn': 'জে মডার'}}",True,save,set-piece,head,15,889,889,,9.5,60.7,0,52.6,16.5,,,kubamoder
Ansu Fati,ansu-fati,A. Fati,F,31,177605,M,962883,"{'nameTranslation': {'ar': 'أنسو فاتي', 'hi': 'अंसू फाति', 'bn': 'আনসু ফাতি'}, 'shortNameTranslation': {'ar': 'أ. فاتي', 'hi': 'ए. फाति', 'bn': 'এ. ফাতি'}}",True,block,assisted,right-foot,14,819,819,,11.9,56.4,0,51.3,19.0,,,AnsuFati
Carlos Baleba,baleba-carlos,C. Baleba,M,17,22765,M,1199043,"{'nameTranslation': {'ar': 'باليبا، كارلوس', 'hi': 'बलेबा, कार्लोस', 'bn': 'বালেবা, কার্লোস'}, 'shortNameTranslation': {'ar': 'ك. باليبا', 'hi': 'सी. बलेबा', 'bn': 'সি. বালেবা'}}",True,miss,assisted,left-foot,11,606,606,,26.2,63.0,0,58.0,15.3,,,carlos_baleba
Simon Adingra,simon-adingra,S. Adingra,M,24,45746,M,1110842,"{'nameTranslation': {'ar': 'سيمون أدينغرا', 'hi': 'साइमन एडिंगरा', 'bn': 'সাইমন আদিংরা'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'hi': 'एस. एडिंगरा', 'bn': 'এস. আদিংরা'}}",True,save,assisted,left-foot,9,529,529,,14.1,70.3,0,51.1,22.2,,,simon.adingra
Neco Williams,williams-neco,N. Williams,D,3,3163,M,927356,"{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",False,block,set-piece,right-foot,4,225,225,,16.3,71.4,0,47.0,5.7,,,
