name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,aerialWon,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,expectedGoals,expectedGoalsOnTarget,aerialLost,duelLost,dispossessed,totalContest,wonContest,shotOffTarget,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,sofascoreId,bigChanceMissed,hitWoodwork,challengeLost,totalCross,accurateCross,keyPass,bigChanceCreated,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,goals,goalAssist,goodHighClaim
Matz Sels,matz-sels,M. Sels,G,26,188,2453,M,78152,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,699062400,"{'value': 6300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماتس سيلس', 'hi': 'मैट्ज़ सेल्स', 'bn': 'ম্যাটজ সেলস'}, 'shortNameTranslation': {'ar': 'م. سيلس', 'hi': 'एम. सेल्स', 'bn': 'এম. সেলস'}}",17.0,12.0,7.0,2.0,11.0,13.0,1.0,4.0,1.0,5.0,1.0,2.0,3.0,90.0,26.0,6.6,5.0,0.0118232,"{'original': 6.6, 'alternative': 6.6}",0,-0.0904,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neco Williams,williams-neco,N. Williams,D,3,183,3163,M,927356,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,987120000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويليامز، نيكو', 'hi': 'विलियम्स, नेको', 'bn': 'উইলিয়ামস, নেকো'}, 'shortNameTranslation': {'ar': 'ن. ويليامز', 'hi': 'एन. विलियम्स', 'bn': 'এন. উইলিয়ামস'}}",4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,35.0,10.0,6.9,,0.00532137,"{'original': 6.9, 'alternative': 6.8}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,1.0,1.0,1.0,1.0,0.1248,0.1205,,,,,,,,,,,,,,,,,,,,,,,,,,
Willy Boly,willy-boly,W. Boly,D,30,195,1805,M,139310,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,665539200,"{'value': 775000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ويلي بولي', 'hi': 'विली बोली', 'bn': 'উইলি বলি'}, 'shortNameTranslation': {'ar': 'و. بولي', 'hi': 'डब्लू. बोली', 'bn': 'ডব্লিউ. বলি'}}",27.0,22.0,4.0,3.0,14.0,16.0,8.0,11.0,10.0,4.0,,,,84.0,48.0,7.2,9.0,0.0021169,"{'original': 7.2, 'alternative': 7.4}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,1.0,,,,2.0,0.084,,1.0,6.0,2.0,2.0,1.0,1.0,2.0,8.0,4.0,1.0,3.0,,,,,,,,,,,,,,,
Murillo,murillo,Murillo,D,5,180,9796,M,1199282,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,1025740800,"{'value': 53000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}, 'shortNameTranslation': {'ar': 'موريو', 'hi': 'मुरिलो', 'bn': 'মুরিলো'}}",34.0,22.0,9.0,3.0,17.0,24.0,5.0,10.0,3.0,4.0,,,,74.0,46.0,6.6,14.0,0.00115986,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Murillo,,,,,4.0,,0.5533,,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,murillosantiago40,1.0,1.0,,,,,,,,,,,,
Moussa Niakhaté,moussa-niakhate,M. Niakhaté,D,19,190,6811,M,758168,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,826243200,"{'value': 14600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'موسى نياكاتي', 'hi': 'मूसा नियाखाटे', 'bn': 'মুসা নিয়াখাটে'}, 'shortNameTranslation': {'ar': 'م. نياكاتي', 'hi': 'एम. नियाखाटे', 'bn': 'এম. নিয়াখাটে'}}",35.0,29.0,5.0,2.0,20.0,22.0,9.0,13.0,,5.0,,,,90.0,44.0,6.4,7.0,0.00488698,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,niakhate,,,1.0,,,,,,,,,,,
Ola Aina,ola-aina,O. Aina,D,34,182,4048,M,800417,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,844732800,"{'value': 18200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أولا أينا', 'hi': 'ओला आइना', 'bn': 'ওলা আইনা'}, 'shortNameTranslation': {'ar': 'أ. أينا', 'hi': 'ओ. आइना', 'bn': 'ও. আইনা'}}",32.0,29.0,2.0,2.0,8.0,9.0,24.0,29.0,8.0,7.0,1.0,,,90.0,62.0,7.4,11.0,0.174297,"{'original': 7.4, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,5.0,2.0,4.0,4.0,,2.0,3.0,3.0,2.0,2.0,,,,1.0,6.0,3.0,1.0,,,,,,,,
Anthony Elanga,anthony-elanga,A. Elanga,M,20,178,10539,M,979232,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,1019865600,"{'value': 48000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني إلانغا', 'hi': 'एंथनी एलंगा', 'bn': 'অ্যান্টনি এলাঙ্গা'}, 'shortNameTranslation': {'ar': 'أ. إلانغا', 'hi': 'ए. एलंगा', 'bn': 'এ. এলাঙ্গা'}}",18.0,16.0,,,8.0,9.0,8.0,10.0,1.0,5.0,,,,74.0,24.0,6.6,5.0,0.107752,"{'original': 6.6, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,1.0,,,,1.0,3.0,1.0,2.0,1.0,,,,,,,anthonyelanga,,,,1.0,,1.0,1.0,1.0,,,,,,
Danilo,danilo,Danilo,M,35,177,4572,M,1064039,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988502400,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}, 'shortNameTranslation': {'ar': 'دانيلو', 'hi': 'डेनिलो', 'bn': 'দানিলো'}}",29.0,24.0,6.0,4.0,12.0,14.0,13.0,17.0,3.0,5.0,,,,74.0,37.0,6.9,8.0,0.0267928,"{'original': 6.9, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,2.0,1.0,,,,1.0,3.0,2.0,1.0,1.0,Danilo,,,,2.0,1.0,2.0,,,,,,,,
Morgan Gibbs-White,morgan-gibbs-white,M. Gibbs-White,M,10,171,6717,M,865912,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,948931200,"{'value': 62000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مورغان غيبز-وايت', 'hi': 'मॉर्गन गिब्स-व्हाइट', 'bn': 'মরগান গিবস-হোয়াইট'}, 'shortNameTranslation': {'ar': 'م. غيبز-وايت', 'hi': 'एम. गिब्स-व्हाइट', 'bn': 'এম. গিবস-হোয়াইট'}}",42.0,37.0,6.0,3.0,19.0,21.0,19.0,22.0,1.0,11.0,1.0,,,90.0,63.0,6.7,12.0,0.0938377,"{'original': 6.7, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,1.0,,,0.1088,,,6.0,3.0,2.0,,2.0,3.0,,,1.0,1.0,Morgangibbs27,,,,1.0,1.0,1.0,,,,,,,,
Callum Hudson-Odoi,callum-hudson-odoi,C. Hudson-Odoi,M,7,177,9379,M,867442,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,973555200,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم هادسون أودوي', 'hi': 'कैलम हडसन-ओडोई', 'bn': 'ক্যালাম হাডসন-ওডোই'}, 'shortNameTranslation': {'ar': 'ك. هودسون أودوي', 'hi': 'सी. हडसन-ओडोई', 'bn': 'সি. হাডসন-ওডোই'}}",38.0,35.0,1.0,,8.0,9.0,29.0,34.0,2.0,5.0,1.0,,,90.0,55.0,7.2,10.0,0.168756,"{'original': 7.2, 'alternative': 7}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,1.0,,,,0.0899,0.5613,,2.0,2.0,1.0,1.0,2.0,,,,1.0,,Calteck10,,,,5.0,2.0,2.0,,,,,,,,
