minute,value
1.0,-4
2.0,-7
3.0,-11
4.0,-1
5.0,-5
6.0,-36
7.0,-25
8.0,-18
9.0,-15
10.0,-13
11.0,-50
12.0,-28
13.0,-19
14.0,-7
15.0,-10
16.0,-11
17.0,-43
18.0,-23
19.0,29
20.0,30
21.0,33
22.0,67
23.0,4
24.0,-7
25.0,-12
26.0,-38
27.0,-45
28.0,-29
29.0,27
30.0,-26
31.0,-26
32.0,-9
33.0,-38
34.0,-13
35.0,-51
36.0,-20
37.0,26
38.0,43
39.0,20
40.0,12
41.0,-11
42.0,-3
43.0,-3
44.0,18
45.0,-15
45.5,-12
46.0,4
47.0,2
48.0,26
49.0,12
50.0,52
51.0,-55
52.0,22
53.0,9
54.0,-16
55.0,-7
56.0,-80
57.0,-46
58.0,-9
59.0,6
60.0,22
61.0,25
62.0,42
63.0,37
64.0,25
65.0,68
66.0,43
67.0,37
68.0,23
69.0,4
70.0,-1
71.0,19
72.0,11
73.0,8
74.0,7
75.0,-33
76.0,-17
77.0,-6
78.0,6
79.0,-12
80.0,-33
81.0,-23
82.0,-26
83.0,-19
84.0,-9
85.0,100
86.0,62
87.0,41
88.0,67
89.0,43
90.0,14
90.5,6
