name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,dispossessed,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelWon,challengeLost,onTargetScoringAttempt,goals,outfielderBlock,interceptionWon,totalTackle,expectedGoals,expectedGoalsOnTarget,goalAssist,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,wasFouled,fouls,keyPass,wonTackle,errorLeadToAShot,unsuccessfulTouch,sofascoreId,totalCross,aerialLost,shotOffTarget,totalOffside,accurateCross,penaltyWon,firstName,lastName,goodHighClaim,penaltyFaced,clearanceOffLine,bigChanceMissed,penaltyConceded
Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,24690,M,845273,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,898905600,"{'value': 17600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان ريسنير بلغارد', 'hi': 'जीन-रिकनर बेलेगार्डे', 'bn': 'জিন-রিকনার বেলেগার্ড'}, 'shortNameTranslation': {'ar': 'ج-ر. بيلغارد', 'hi': 'जे.आर. बेलेगार्डे', 'bn': 'জে.-আর. বেলগার্ড'}}",19.0,19.0,,,8.0,8.0,11.0,11.0,2.0,2.0,,2.0,,,,,64.0,28.0,6.8,5.0,0.0588968,"{'original': 6.8, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,2.0,,,,,,2.0,,,,,,,,,1.0,1.0,2.0,,3.0,,,,,,,,,,,,,,
Rayan Aït-Nouri,rayan-ait-nouri,R. A. Nouri,M,21,179,39814,M,931278,"{'alpha2': 'DZ', 'alpha3': 'DZA', 'name': 'Algeria', 'slug': 'algeria'}",EUR,991785600,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان آيت نوري', 'hi': 'रेयान ऐत नूरी', 'bn': 'রায়ান আইত নুরী'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'hi': 'आर. ऐ. नूरी', 'bn': 'আর. এ. নুরী'}}",20.0,18.0,,,5.0,5.0,13.0,16.0,4.0,,,2.0,,,,,36.0,30.0,6.2,7.0,0.0083177,"{'original': 6.2, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,1.0,,,,,1.0,,,,3.0,1.0,,,,1.0,,,,1.0,r_aitnouri,1.0,,,,,,,,,,,,
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,176,2578,M,138573,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,705542400,"{'value': 4700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بابلو سارابيا', 'hi': 'पाब्लो साराबिया', 'bn': 'পাবলো সারাবিয়া'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'hi': 'पी. साराबिया', 'bn': 'পি. সারাবিয়া'}}",15.0,11.0,1.0,1.0,4.0,4.0,8.0,13.0,,,,1.0,,,,,26.0,21.0,7.2,6.0,0.0446388,"{'original': 7.2, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,,1.0,1.0,,,1.0,0.7884,0.8416,,1.0,1.0,,,,,1.0,,,1.0,,2.0,,,,1.0,,,,,,,,
João Gomes,joao-gomes,J. Gomes,M,8,176,15514,M,1015267,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,981936000,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'hi': 'जोआओ गोम्स', 'bn': 'জোয়াও গোমেস'}}",10.0,9.0,1.0,,1.0,1.0,8.0,9.0,2.0,,,1.0,,,,,8.0,13.0,6.5,1.0,0.00999657,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,2.0,,,,,1.0,,,,,,,,,,,1.0,,,joaogomes.01,,,,,,,,,,,,,
Nathan Fraser,nathan-fraser,N. Fraser,F,29,188,828,M,1166679,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1120176000,"{'value': 625000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان فريزر', 'hi': 'नाथन फ्रेजर', 'bn': 'নাথান ফ্রেজার'}, 'shortNameTranslation': {'ar': 'ن. فريزر', 'hi': 'एन. फ्रेजर', 'bn': 'এন. ফ্রেজার'}}",1.0,1.0,,,,,1.0,1.0,2.0,,1.0,1.0,,,,,8.0,4.0,6.6,,6.642e-05,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
Daniel Bentley,daniel-bentley,D. Bentley,G,25,188,263,M,101367,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,742521600,"{'value': 910000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دانيال بنتلي', 'hi': 'डैनियल बेंटले', 'bn': 'ড্যানিয়েল বেন্টলি'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'hi': 'डी. बेंटले', 'bn': 'ডি. বেন্টলি'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Bueno,santiago-bueno,S. Bueno,D,4,189,1209,M,846308,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,910569600,"{'value': 9200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سانتياغو بويينو', 'hi': 'सैंटियागो ब्यूनो', 'bn': 'সান্তিয়াগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'س. بويينو', 'hi': 'एस. ब्यूनो', 'bn': 'এস. বুয়েনো'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Bueno,hugo-bueno,H. Bueno,D,3,180,661,M,1013928,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,1032307200,"{'value': 10800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هوغو بوينو', 'hi': 'ह्यूगो ब्यूनो', 'bn': 'হুগো বুয়েনো'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'hi': 'एच. ब्यूनो', 'bn': 'এইচ. বুয়েনো'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Hodge,hodge-joe,J. Hodge,M,10,172,268,M,988882,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,1031961600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هودج، جو', 'hi': 'हॉज, जो', 'bn': 'হজ, জো'}, 'shortNameTranslation': {'ar': 'ج. هودج', 'hi': 'जे. हॉज', 'bn': 'জে. হজ'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawanda Chirewa,tawanda-chirewa,T. Chirewa,M,23,181,860,M,1005725,"{'alpha2': 'ZW', 'alpha3': 'ZWE', 'name': 'Zimbabwe', 'slug': 'zimbabwe'}",EUR,1065830400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تاواندا شيريوا', 'hi': 'तवांडा चिरेवा', 'bn': 'তাওয়ান্ডা চিরেওয়া'}, 'shortNameTranslation': {'ar': 'ت. شيريوا', 'hi': 'टी. चिरेवा', 'bn': 'টি. চিরোয়া'}}",,,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
