name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialWon,duelWon,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalClearance,interceptionWon,possessionLostCtrl,expectedGoals,keyPass,duelLost,fouls,shotOffTarget,bigChanceMissed,onTargetScoringAttempt,goals,totalTackle,expectedGoalsOnTarget,aerialLost,dispossessed,wasFouled,sofascoreId,goalAssist,challengeLost,unsuccessfulTouch,errorLeadToAShot,wonTackle,totalOffside,hitWoodwork,punches,outfielderBlock
Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,190,3025,M,42209,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,600825600,"{'value': 725000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارتن دوبرافكا', 'hi': 'मार्टिन डुब्राव्का', 'bn': 'মার্টিন ডুব্রাভকা'}, 'shortNameTranslation': {'ar': 'م. دوبرافكا', 'hi': 'एम. डुब्राव्का', 'bn': 'এম. ডুব্রাভকা'}}",10.0,10.0,1.0,1.0,10.0,10.0,11.0,2.0,2.0,4.0,90.0,25.0,7.7,5.628e-05,"{'original': 7.7, 'alternative': 7.6}",0,0.3075,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentino Livramento,,,valentino-livramento,V. Livramento,D,21,181,4844,M,980634,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1037059200,"{'value': 39000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فالنتينو ليفرامينتو', 'hi': 'वैलेंटिनो लिवरामेंटो', 'bn': 'ভ্যালেন্টিনো লিভরামেন্টো'}, 'shortNameTranslation': {'ar': 'ف. ليفرامينتو', 'hi': 'वी. लिवरामेंटो', 'bn': 'ভি. লিভরামেন্টো'}}",62.0,59.0,1.0,1.0,16.0,16.0,4.0,,,,84.0,75.0,7.8,0.15763,"{'original': 7.8, 'alternative': 7.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,44.0,49.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.0414,2.0,,,,,,,,,,,,,,,,,,,,,
Jamaal Lascelles,,,jamaal-lascelles,J. Lascelles,D,6,188,970,M,153444,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,752976000,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جمال لاسيلس', 'hi': 'जमाल लास्केल्स', 'bn': 'জামাল ল্যাস্কেলস'}, 'shortNameTranslation': {'ar': 'ج. لاسيلس', 'hi': 'जे. लास्केल्स', 'bn': 'জে. ল্যাস্কেলস'}}",96.0,87.0,5.0,2.0,43.0,46.0,7.0,,,,90.0,102.0,7.4,0.0195271,"{'original': 7.4, 'alternative': 7.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,44.0,50.0,,,9.0,9.0,,,,,4.0,,9.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3205,M,101882,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,693187200,"{'value': 5800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فابيان شار', 'hi': 'फेबियन शार', 'bn': 'ফ্যাবিয়ান শার'}, 'shortNameTranslation': {'ar': 'ف. شار', 'hi': 'एफ. शार', 'bn': 'এফ. শার'}}",11.0,9.0,3.0,1.0,6.0,6.0,1.0,,,,14.0,13.0,6.6,0.00299274,"{'original': 6.6, 'alternative': 6.5}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,3.0,5.0,,,,,,,,,,,2.0,0.0068,,,,1.0,,,,,,,,,,,,,,,,,,
Dan Burn,,,dan-burn,D. Burn,D,33,201,4399,M,99090,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,705369600,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دان بيرن', 'hi': 'डैन बर्न', 'bn': 'ড্যান বার্ন'}, 'shortNameTranslation': {'ar': 'د. بيرن', 'hi': 'डी. बर्न', 'bn': 'ডি বার্ন'}}",73.0,64.0,5.0,1.0,35.0,37.0,3.0,,,,84.0,83.0,8.0,0.0140728,"{'original': 8, 'alternative': 7.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,29.0,36.0,,,7.0,8.0,,,,,1.0,4.0,10.0,0.7582,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0941,,,,,,,,,,,,,
Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1640,M,866191,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,878169600,"{'value': 17200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شون لونغستاف', 'hi': 'सीन लॉन्गस्टाफ़', 'bn': 'শন লংস্টাফ'}, 'shortNameTranslation': {'ar': 'ش. لونغستاف', 'hi': 'एस. लॉन्गस्टाफ़', 'bn': 'এস. লংস্টাফ'}}",55.0,52.0,,,18.0,19.0,5.0,,,,90.0,71.0,7.2,0.146604,"{'original': 7.2, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,34.0,37.0,1.0,,,4.0,3.0,1.0,,1.0,,,7.0,0.3236,2.0,4.0,,1.0,1.0,1.0,,1.0,0.5892,1.0,1.0,2.0,,,,,,,,,,
Bruno Guimarães,,,bruno-guimaraes,B. Guimarães,M,39,182,31656,M,866469,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,879638400,"{'value': 77000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برونو غيماريش', 'hi': 'ब्रूनो गीमरेस', 'bn': 'ব্রুনো গুইমারেস'}, 'shortNameTranslation': {'ar': 'ب. غيمارايش', 'hi': 'बी. गीमरेस', 'bn': 'বি. গুইমারেস'}}",118.0,106.0,10.0,7.0,26.0,26.0,5.0,,,,90.0,141.0,9.3,0.877188,"{'original': 9.3, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,81.0,96.0,4.0,1.0,,9.0,6.0,4.0,2.0,,,,19.0,0.1296,5.0,5.0,1.0,1.0,,1.0,,,0.1006,,,5.0,BrunoGuimarães,1.0,2.0,1.0,,,,,,
Joelinton,,,joelinton,Joelinton,M,7,186,9814,M,560128,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,839980800,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويلينتون', 'hi': 'जोलिंटन', 'bn': 'জোলিন্টন'}, 'shortNameTranslation': {'ar': 'جولينتون', 'hi': 'जोएलिंटन', 'bn': 'জোলিন্টন'}}",13.0,11.0,1.0,1.0,2.0,3.0,4.0,,,,36.0,17.0,6.3,0.0280705,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,9.0,10.0,,,,,,,,,,,4.0,,,1.0,,,,,,,,,1.0,,joelinton34,,,,1.0,,,,,
Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8455,M,333373,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,760838400,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ميغيل ألميرون', 'hi': 'मिगुएल अल्मिरोन', 'bn': 'মিগুয়েল আলমিরন'}, 'shortNameTranslation': {'ar': 'م. ألميرون', 'hi': 'एम. अल्मिरोन', 'bn': 'এম. আলমিরন'}}",72.0,65.0,1.0,1.0,11.0,12.0,3.0,,,,90.0,88.0,8.3,0.105482,"{'original': 8.3, 'alternative': 7.9}",5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,55.0,63.0,3.0,1.0,,4.0,4.0,1.0,,3.0,,,12.0,1.1723,3.0,4.0,1.0,1.0,,1.0,1.0,3.0,0.9766,,,,miguel_almiron,,,,,2.0,1.0,,,
Callum Wilson,,,callum-wilson,C. Wilson,F,9,180,3183,M,113956,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,699148800,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالوم ويلسون', 'hi': 'कैलम विल्सन', 'bn': 'ক্যালাম উইলসন'}, 'shortNameTranslation': {'ar': 'ك. ويلسون', 'hi': 'सी. विल्सन', 'bn': 'সি. উইলসন'}}",8.0,5.0,,,,,1.0,,,,90.0,29.0,6.8,0.0261746,"{'original': 6.8, 'alternative': 6.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,5.0,8.0,,,,4.0,6.0,1.0,,2.0,,,11.0,0.2807,1.0,11.0,1.0,1.0,,1.0,,,0.018,2.0,2.0,3.0,,,1.0,1.0,,,1.0,1.0,,
