minute,value
1.0,4
2.0,8
3.0,8
4.0,45
5.0,49
6.0,23
7.0,-38
8.0,-9
9.0,22
10.0,14
11.0,17
12.0,7
13.0,7
14.0,4
15.0,10
16.0,6
17.0,40
18.0,26
19.0,18
20.0,21
21.0,15
22.0,15
23.0,12
24.0,17
25.0,26
26.0,34
27.0,66
28.0,44
29.0,31
30.0,22
31.0,80
32.0,23
33.0,-24
34.0,-2
35.0,-4
36.0,-4
37.0,9
38.0,23
39.0,35
40.0,-22
41.0,8
42.0,10
43.0,-16
44.0,37
45.0,21
45.5,54
46.0,9
47.0,36
48.0,35
49.0,42
50.0,28
51.0,29
52.0,26
53.0,44
54.0,48
55.0,30
56.0,36
57.0,41
58.0,25
59.0,15
60.0,11
61.0,8
62.0,6
63.0,45
64.0,72
65.0,40
66.0,24
67.0,-18
68.0,-5
69.0,22
70.0,44
71.0,28
72.0,58
73.0,25
74.0,23
75.0,23
76.0,50
77.0,34
78.0,44
79.0,40
80.0,30
81.0,35
82.0,100
83.0,69
84.0,39
85.0,44
86.0,14
87.0,15
88.0,27
89.0,24
90.0,-44
90.5,137
