name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,isHome,shotType,situation,bodyPart,time,timeSeconds,periodTimeSeconds,goalType,playerX,playerY,goalMouthX,goalMouthY,goalMouthZ,firstName,lastName,sofascoreId
Josh Cullen,cullen-josh,J. Cullen,M,24,937,M,792122,"{'nameTranslation': {'ar': 'كولين، جوش', 'hi': 'कुलेन, जोश', 'bn': 'কুলেন, জোশ'}, 'shortNameTranslation': {'ar': 'ج. كولين', 'hi': 'जे. कुलेन', 'bn': 'জে. কুলেন'}}",False,block,regular,left-foot,86,5156,2456,,9.5,30.3,0,51.7,19.0,,,
Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,11977,M,870360,"{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",True,miss,set-piece,head,86,5114,2414,,3.9,41.9,0,65.9,61.1,,,daniel.chitiva
Jean-Philippe Mateta,jean-philippe-mateta,J. Mateta,F,14,9259,M,848276,"{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",True,goal,penalty,right-foot,79,4693,1993,penalty,11.5,50.0,0,46.3,17.7,,,Matetajphilippe
Jordan Ayew,jordan-ayew,J. Ayew,F,9,14311,M,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",True,goal,assisted,right-foot,72,4260,1560,regular,2.9,57.7,0,47.6,3.8,,,jordanayew9
Chris Richards,chris-richards,C. Richards,D,26,2004,M,931844,"{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",True,goal,corner,head,68,4056,1356,regular,7.1,42.9,0,48.0,7.0,,,
Naouirou Ahamada,naouirou-ahamada,N. Ahamada,M,28,422,M,997104,"{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",True,save,assisted,right-foot,67,4017,1317,,13.1,72.5,0,45.6,21.5,,,
David Datro Fofana,david-datro-fofana,D. D. Fofana,F,19,6836,M,1090458,"{'nameTranslation': {'ar': 'ديفيد داترو فوفانا', 'hi': 'डेविड दात्रो फ़ोफ़ाना', 'bn': 'ডেভিড দাত্রো ফোফানা'}, 'shortNameTranslation': {'ar': 'د. د. فوفانا', 'hi': 'डी.डी. फ़ोफ़ाना', 'bn': 'ডি. ডি. ফোফানা'}}",False,miss,assisted,head,59,3520,820,,8.3,42.6,0,65.2,13.9,,,datro_9
Adam Wharton,adam-wharton,A. Wharton,M,20,5314,M,1109771,"{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",True,miss,assisted,left-foot,58,3421,721,,20.7,42.7,0,57.0,36.1,,,
Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,11977,M,870360,"{'nameTranslation': {'ar': 'دانييل مونوز', 'hi': 'डैनियल मुनोज़', 'bn': 'ড্যানিয়েল মুনোজ'}, 'shortNameTranslation': {'ar': 'د. مونوز', 'hi': 'डी. मुनोज़', 'bn': 'ডি. মুনোজ'}}",True,block,assisted,head,53,3145,445,,8.6,44.6,0,51.4,19.0,,,daniel.chitiva
Jefferson Lerma,jefferson-lerma,J. Lerma,M,8,5382,M,355796,"{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",True,save,regular,right-foot,47,2778,78,,21.2,38.9,0,51.2,3.2,,,jeffersonlerma
