name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,averageX,averageY,pointsCount,team,lastName,sofascoreId
Matheus França,Matheus França,matheus-franca,Matheus França,F,9,3730,M,1116593,"{'nameTranslation': {'ar': 'ماتيوس فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}, 'shortNameTranslation': {'ar': 'م. فرانكا', 'hi': 'मैथियस फ्रांस', 'bn': 'ম্যাথিউস ফ্রাঙ্কা'}}",50.173333333333,71.613333333333,15,home,,
Naouirou Ahamada,,naouirou-ahamada,N. Ahamada,M,28,422,M,997104,"{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",49.744444444444,37.911111111111,18,home,,
Odsonne Édouard,,odsonne-edouard,O. Édouard,F,19,5777,M,795228,"{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",67.06511627907,71.427906976744,43,home,,
Sam Johnstone,,sam-johnstone,S. Johnstone,G,31,643,M,98427,"{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",11.768965517241,49.886206896552,29,home,,
James Tomkins,,james-tomkins,J. Tomkins,D,,104,M,32124,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",38.48,60.08,5,home,,
Jean-Philippe Mateta,,jean-philippe-mateta,J. Mateta,F,14,9259,M,848276,"{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",69.704651162791,49.088372093023,43,home,,Matetajphilippe
Adam Wharton,,adam-wharton,A. Wharton,M,20,5314,M,1109771,"{'nameTranslation': {'ar': 'آدم وارتون', 'hi': 'एडम व्हार्टन', 'bn': 'অ্যাডাম ওয়ার্টন'}, 'shortNameTranslation': {'ar': 'أ. وارتون', 'hi': 'ए. व्हार्टन', 'bn': 'এ. ওয়ার্টন'}}",62.314754098361,32.752459016393,61,home,,
Joel Ward,,joel-ward,J. Ward,D,,256,M,39183,"{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",42.658666666667,25.124,75,home,,
Tyrick Mitchell,,tyrick-mitchell,T. Mitchell,M,3,1365,M,988275,"{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",52.506666666667,88.893333333333,75,home,,
Joachim Andersen,,joachim-andersen,J. Andersen,D,5,2408,M,362682,"{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",41.345360824742,46.937113402062,97,home,,
