season,date,home_team,away_team,home_score,away_score,result,odds_1,odds_x,odds_2
2015-2016,2015-12-02,Diósgyőri VTK,MTK Budapest,1.0,1.0,D,2.88,3.18,2.36
2015-2016,2015-12-02,Budapest Honvéd FC,Paksi FC,0.0,0.0,D,2.33,3.19,2.9
2015-2016,2015-12-02,Ferencvárosi TC,Fehérvár FC,1.0,0.0,H,1.41,3.97,7.96
2015-2016,2015-12-01,Puskás Akadémia FC,Újpest FC,1.0,1.0,D,3.63,3.42,1.95
2015-2016,2015-11-28,Ferencvárosi TC,Debreceni VSC,3.0,0.0,H,1.43,3.97,7.36
2015-2016,2015-11-28,Budapest Honvéd FC,Bekescsaba 1912,3.0,2.0,H,1.65,3.56,5.17
2015-2016,2015-11-28,Diósgyőri VTK,Paksi FC,1.0,1.0,D,2.69,3.21,2.48
2015-2016,2015-11-28,Szombathelyi Haladás,Újpest FC,0.0,3.0,A,2.88,3.01,2.43
2015-2016,2015-11-28,Fehérvár FC,MTK Budapest,1.0,0.0,H,1.46,3.89,6.98
2015-2016,2015-11-28,Vasas FC,Puskás Akadémia FC,2.0,4.0,A,2.18,3.28,3.06
2015-2016,2015-11-21,MTK Budapest,Ferencvárosi TC,1.0,0.0,H,6.23,3.85,1.51
2015-2016,2015-11-21,Bekescsaba 1912,Puskás Akadémia FC,2.0,1.0,H,2.6,3.27,2.52
2015-2016,2015-11-21,Debreceni VSC,Diósgyőri VTK,1.0,0.0,H,1.41,4.28,7.2
2015-2016,2015-11-21,Paksi FC,Szombathelyi Haladás,2.0,0.0,H,1.96,3.23,3.76
2015-2016,2015-11-21,Budapest Honvéd FC,Újpest FC,1.0,2.0,A,2.6,3.22,2.51
2015-2016,2015-11-21,Fehérvár FC,Vasas FC,2.0,0.0,H,1.35,4.43,8.56
2015-2016,2015-10-31,Bekescsaba 1912,Újpest FC,1.0,3.0,A,4.09,3.42,1.85
2015-2016,2015-10-31,Fehérvár FC,Diósgyőri VTK,2.0,1.0,H,1.36,4.28,8.46
2015-2016,2015-10-31,Ferencvárosi TC,Vasas FC,5.0,1.0,H,1.17,6.51,14.35
2015-2016,2015-10-31,MTK Budapest,Szombathelyi Haladás,0.0,1.0,A,2.14,3.2,3.37
2015-2016,2015-10-31,Debreceni VSC,Budapest Honvéd FC,0.0,0.0,D,1.79,3.43,4.36
2015-2016,2015-10-31,Paksi FC,Puskás Akadémia FC,4.0,2.0,H,1.91,3.32,3.9
2015-2016,2015-10-24,Bekescsaba 1912,Paksi FC,2.0,3.0,A,2.92,3.16,2.34
2015-2016,2015-10-24,Diósgyőri VTK,Ferencvárosi TC,0.0,2.0,A,9.54,4.67,1.32
2015-2016,2015-10-24,Szombathelyi Haladás,Fehérvár FC,1.0,0.0,H,3.83,3.2,1.95
2015-2016,2015-10-24,MTK Budapest,Budapest Honvéd FC,2.0,1.0,H,2.17,3.18,3.23
2015-2016,2015-10-24,Újpest FC,Vasas FC,2.0,0.0,H,1.81,3.36,4.03
2015-2016,2015-10-24,Puskás Akadémia FC,Debreceni VSC,1.0,1.0,D,3.41,3.25,2.04
2015-2016,2015-10-17,Ferencvárosi TC,Szombathelyi Haladás,3.0,1.0,H,1.19,5.5,14.8
2015-2016,2015-10-17,Debreceni VSC,Bekescsaba 1912,7.0,0.0,H,1.24,5.17,11.75
2015-2016,2015-10-17,Vasas FC,Diósgyőri VTK,0.0,1.0,A,1.66,3.66,4.72
2015-2016,2015-10-17,Fehérvár FC,Budapest Honvéd FC,3.0,0.0,H,1.75,3.4,4.38
2015-2016,2015-10-17,Puskás Akadémia FC,MTK Budapest,2.0,3.0,A,2.46,3.15,2.76
2015-2016,2015-10-17,Paksi FC,Újpest FC,1.0,0.0,H,2.44,3.11,2.83
2015-2016,2015-10-03,Bekescsaba 1912,MTK Budapest,1.0,1.0,D,4.41,3.32,1.84
2015-2016,2015-10-03,Debreceni VSC,Újpest FC,1.0,1.0,D,1.86,3.45,4.08
2015-2016,2015-10-03,Diósgyőri VTK,Szombathelyi Haladás,1.0,1.0,D,2.22,3.18,3.27
2015-2016,2015-10-03,Vasas FC,Paksi FC,1.0,2.0,A,2.09,3.21,3.55
2015-2016,2015-10-03,Fehérvár FC,Puskás Akadémia FC,3.0,2.0,H,1.36,4.15,9.55
2015-2016,2015-09-26,Újpest FC,MTK Budapest,2.0,2.0,D,1.9,3.41,3.86
2015-2016,2015-09-26,Bekescsaba 1912,Fehérvár FC,2.0,0.0,H,8.81,4.04,1.39
2015-2016,2015-09-26,Paksi FC,Debreceni VSC,1.0,1.0,D,2.7,3.16,2.51
2015-2016,2015-09-26,Budapest Honvéd FC,Diósgyőri VTK,2.0,1.0,H,1.59,3.7,5.43
2015-2016,2015-09-26,Puskás Akadémia FC,Ferencvárosi TC,0.0,0.0,D,7.75,4.25,1.4
2015-2016,2015-09-26,Szombathelyi Haladás,Vasas FC,1.0,1.0,D,2.17,3.09,3.26
2015-2016,2015-09-19,Fehérvár FC,Újpest FC,3.0,0.0,H,2.11,3.28,3.31
2015-2016,2015-09-19,Ferencvárosi TC,Bekescsaba 1912,1.0,0.0,H,1.11,9.25,16.0
2015-2016,2015-09-19,Vasas FC,Debreceni VSC,0.0,1.0,A,3.17,3.23,2.2
2015-2016,2015-09-19,Diósgyőri VTK,Puskás Akadémia FC,3.0,2.0,H,2.17,3.24,3.28
2015-2016,2015-09-19,Szombathelyi Haladás,Budapest Honvéd FC,0.0,0.0,D,2.45,3.11,2.81
2015-2016,2015-09-19,Paksi FC,MTK Budapest,0.0,0.0,D,2.33,3.14,3.04
2015-2016,2015-09-12,Újpest FC,Ferencvárosi TC,1.0,2.0,A,4.0,3.39,1.86
2015-2016,2015-09-12,Bekescsaba 1912,Diósgyőri VTK,1.0,1.0,D,3.27,3.36,2.12
2015-2016,2015-09-12,Debreceni VSC,MTK Budapest,1.0,0.0,H,1.64,3.67,4.91
2015-2016,2015-09-12,Budapest Honvéd FC,Vasas FC,0.0,1.0,A,1.95,3.34,3.73
2015-2016,2015-09-12,Paksi FC,Fehérvár FC,2.0,0.0,H,3.94,3.24,1.92
2015-2016,2015-08-29,Ferencvárosi TC,Paksi FC,2.0,0.0,H,1.18,5.94,14.34
2015-2016,2015-08-29,Bekescsaba 1912,Szombathelyi Haladás,0.0,1.0,A,4.36,3.53,1.76
2015-2016,2015-08-29,Diósgyőri VTK,Újpest FC,2.0,1.0,H,3.13,3.33,2.18
2015-2016,2015-08-29,Budapest Honvéd FC,Puskás Akadémia FC,0.0,0.0,D,1.65,3.62,4.81
2015-2016,2015-08-29,Vasas FC,MTK Budapest,0.0,1.0,A,2.85,3.21,2.41
2015-2016,2015-08-23,MTK Budapest,Fehérvár FC,1.0,0.0,H,2.53,3.33,2.61
2015-2016,2015-08-22,Debreceni VSC,Ferencvárosi TC,0.0,3.0,A,3.21,3.24,2.16
2015-2016,2015-08-22,Bekescsaba 1912,Budapest Honvéd FC,1.0,4.0,A,4.72,3.55,1.73
2015-2016,2015-08-22,Paksi FC,Diósgyőri VTK,1.0,1.0,D,1.99,3.46,3.42
2015-2016,2015-08-22,Újpest FC,Szombathelyi Haladás,0.0,0.0,D,1.77,3.47,4.38
2015-2016,2015-08-22,Puskás Akadémia FC,Vasas FC,1.0,0.0,H,2.33,3.34,2.84
2015-2016,2015-08-15,Ferencvárosi TC,MTK Budapest,2.0,0.0,H,1.38,4.38,7.73
2015-2016,2015-08-15,Puskás Akadémia FC,Bekescsaba 1912,1.0,2.0,A,1.46,4.01,6.77
2015-2016,2015-08-15,Diósgyőri VTK,Debreceni VSC,0.0,2.0,A,3.43,3.48,1.97
2015-2016,2015-08-15,Szombathelyi Haladás,Paksi FC,1.0,0.0,H,2.05,3.27,3.38
2015-2016,2015-08-15,Újpest FC,Budapest Honvéd FC,1.0,1.0,D,1.86,3.45,4.01
2015-2016,2015-08-15,Vasas FC,Fehérvár FC,2.0,1.0,H,3.14,3.36,2.14
2015-2016,2015-08-09,Debreceni VSC,Szombathelyi Haladás,0.0,1.0,A,1.41,4.31,6.99
2015-2016,2015-08-08,Fehérvár FC,Ferencvárosi TC,1.0,3.0,A,3.59,3.14,2.0
2015-2016,2015-08-08,Bekescsaba 1912,Vasas FC,0.0,2.0,A,3.0,3.37,2.2
2015-2016,2015-08-08,MTK Budapest,Diósgyőri VTK,5.0,0.0,H,2.02,3.44,3.36
2015-2016,2015-08-08,Paksi FC,Budapest Honvéd FC,3.0,1.0,H,2.37,3.16,2.91
2015-2016,2015-08-02,Budapest Honvéd FC,Debreceni VSC,3.0,3.0,D,2.49,3.19,2.72
2015-2016,2015-08-01,Vasas FC,Ferencvárosi TC,0.0,2.0,A,8.73,4.74,1.33
2015-2016,2015-08-01,Újpest FC,Bekescsaba 1912,2.0,0.0,H,1.38,4.34,8.15
2015-2016,2015-08-01,Diósgyőri VTK,Fehérvár FC,1.0,2.0,A,2.14,3.24,3.31
2015-2016,2015-08-01,Szombathelyi Haladás,MTK Budapest,2.0,2.0,D,2.72,3.16,2.52
2015-2016,2015-08-01,Puskás Akadémia FC,Paksi FC,1.0,0.0,H,2.1,3.25,3.36
2015-2016,2015-07-26,Debreceni VSC,Puskás Akadémia FC,1.0,1.0,D,1.4,4.21,7.34
2015-2016,2015-07-26,Ferencvárosi TC,Diósgyőri VTK,3.0,1.0,H,1.32,4.75,8.86
2015-2016,2015-07-25,Vasas FC,Újpest FC,1.0,3.0,A,2.83,3.26,2.36
2015-2016,2015-07-25,Paksi FC,Bekescsaba 1912,4.0,0.0,H,1.67,3.57,4.94
2015-2016,2015-07-25,Fehérvár FC,Szombathelyi Haladás,0.0,1.0,A,1.56,4.02,5.15
2015-2016,2015-07-25,Budapest Honvéd FC,MTK Budapest,2.0,1.0,H,2.64,3.11,2.61
2015-2016,2015-07-19,Bekescsaba 1912,Debreceni VSC,2.0,3.0,A,3.79,3.36,1.89
2015-2016,2015-07-19,Szombathelyi Haladás,Ferencvárosi TC,0.0,2.0,A,6.18,4.03,1.47
2015-2016,2015-07-18,Budapest Honvéd FC,Fehérvár FC,1.0,0.0,H,3.57,3.28,1.92
2015-2016,2015-07-18,Diósgyőri VTK,Vasas FC,2.0,1.0,H,1.77,3.56,4.12
2015-2016,2015-07-18,MTK Budapest,Puskás Akadémia FC,1.0,0.0,H,1.81,3.48,4.08
2015-2016,2015-07-18,Újpest FC,Paksi FC,0.0,0.0,D,1.94,3.34,3.62
