match_id,season_id,matchday,date,time,home_team,away_team,home_score,away_score,result,goal_diff
2024_1_KTE_FEHERVAR,2024,1,2024-07-28,12:50,Kecskeméti TE,Fehérvár FC,0,0,D,0
2024_1_DVSC_FTC,2024,1,2024-12-05,14:00,Debreceni VSC,Ferencvárosi TC,5,4,H,1
2024_2_ETO_DVSC,2024,2,2024-08-02,12:50,ETO FC,Debreceni VSC,0,3,A,-3
2024_2_FEHERVAR_DVTK,2024,2,2024-08-03,10:00,Fehérvár FC,Diósgyőri VTK,3,1,H,2
2024_2_FTC_KTE,2024,2,2024-08-03,13:45,Ferencvárosi TC,Kecskeméti TE,1,0,H,1
2024_2_MTK_NYIREGYHAZA,2024,2,2024-08-03,13:45,MTK Budapest,Nyíregyháza Spartacus,3,0,H,3
2024_2_PAKS_UJPEST,2024,2,2024-08-04,12:50,Paksi FC,Újpest FC,2,1,H,1
2024_2_PUSKAS_ZTE,2024,2,2024-08-04,12:50,Puskás Akadémia FC,Zalaegerszegi TE FC,2,1,H,1
2024_3_KTE_DVSC,2024,3,2024-08-09,12:50,Kecskeméti TE,Debreceni VSC,1,1,D,0
2024_3_DVTK_FTC,2024,3,2024-08-10,10:00,Diósgyőri VTK,Ferencvárosi TC,0,2,A,-2
2024_3_ZTE_PAKS,2024,3,2024-08-10,13:45,Zalaegerszegi TE FC,Paksi FC,3,1,H,2
2024_3_ETO_MTK,2024,3,2024-08-11,09:45,ETO FC,MTK Budapest,1,2,A,-1
2024_3_UJPEST_FEHERVAR,2024,3,2024-08-11,12:00,Újpest FC,Fehérvár FC,4,1,H,3
2024_3_PUSKAS_NYIREGYHAZA,2024,3,2024-08-11,14:15,Puskás Akadémia FC,Nyíregyháza Spartacus,3,1,H,2
2024_4_KTE_ETO,2024,4,2024-08-16,14:00,Kecskeméti TE,ETO FC,2,1,H,1
2024_4_DVSC_DVTK,2024,4,2024-08-17,11:00,Debreceni VSC,Diósgyőri VTK,0,1,A,-1
2024_4_FTC_UJPEST,2024,4,2024-08-17,13:30,Ferencvárosi TC,Újpest FC,1,0,H,1
2024_4_FEHERVAR_ZTE,2024,4,2024-08-18,09:30,Fehérvár FC,Zalaegerszegi TE FC,1,1,D,0
2024_4_PAKS_NYIREGYHAZA,2024,4,2024-08-18,11:45,Paksi FC,Nyíregyháza Spartacus,2,1,H,1
