matchday,team,current_pts,exp_final_pts,p_champion,p_top4,p_relegation,current_rank
8,Fehérvár FC,9,44.3,0.1,28.1,7.8,9
8,Ferencvárosi TC,19,71.4,84.6,99.9,0.0,1
8,Kecskeméti TE,5,36.3,0.0,3.4,42.3,11
8,MTK Budapest,15,44.1,0.1,29.8,7.1,3
8,Nyíregyháza Spartacus,10,41.4,0.1,16.0,16.5,8
8,Paksi FC,13,47.2,0.1,44.0,2.8,4
8,Puskás Akadémia FC,18,62.7,15.0,98.9,0.0,2
8,Zalaegerszegi TE FC,8,41.4,0.0,18.1,15.0,10
8,Újpest FC,11,41.8,0.0,19.3,13.2,6
9,Debreceni VSC,10,42.7,0.0,19.3,8.7,7
9,Diósgyőri VTK,15,43.8,0.1,21.0,6.4,5
9,ETO FC,8,34.7,0.0,1.6,52.0,11
9,Fehérvár FC,9,41.9,0.0,13.9,13.2,9
9,Ferencvárosi TC,19,68.7,72.6,100.0,0.0,2
9,Kecskeméti TE,5,34.3,0.0,1.6,55.5,12
9,MTK Budapest,18,46.3,0.0,38.0,3.1,3
9,Nyíregyháza Spartacus,10,38.5,0.0,5.0,28.4,8
9,Paksi FC,16,50.4,0.9,61.5,1.1,4
9,Puskás Akadémia FC,21,63.5,26.4,98.9,0.0,1
9,Zalaegerszegi TE FC,8,38.4,0.0,6.3,27.7,10
9,Újpest FC,14,45.1,0.1,33.1,3.8,6
10,Debreceni VSC,10,38.7,0.0,4.5,21.2,8
10,Diósgyőri VTK,15,41.2,0.0,7.4,9.3,6
10,ETO FC,11,37.2,0.0,2.6,27.1,7
10,Fehérvár FC,9,41.1,0.0,7.0,12.2,10
10,Ferencvárosi TC,22,69.3,65.5,100.0,0.0,2
10,Kecskeméti TE,5,31.8,0.0,0.3,64.6,12
10,MTK Budapest,21,49.4,0.3,52.9,0.5,3
10,Nyíregyháza Spartacus,10,37.4,0.0,2.6,28.9,9
10,Paksi FC,19,55.1,1.8,84.7,0.0,4
10,Puskás Akadémia FC,24,66.1,32.4,99.5,0.0,1
10,Zalaegerszegi TE FC,8,36.0,0.0,2.4,34.4,11
10,Újpest FC,17,46.6,0.0,36.1,1.8,5
11,Debreceni VSC,10,37.0,0.0,1.9,28.4,10
11,Diósgyőri VTK,16,41.9,0.0,7.5,6.9,6
11,ETO FC,12,38.0,0.0,2.7,22.1,7
11,Fehérvár FC,12,43.0,0.1,11.2,6.3,8
11,Ferencvárosi TC,23,67.6,63.2,99.8,0.0,3
11,Kecskeméti TE,5,31.1,0.0,0.1,70.3,12
11,MTK Budapest,24,51.9,1.2,71.0,0.1,2
11,Nyíregyháza Spartacus,11,36.6,0.0,1.1,29.6,9
11,Paksi FC,22,56.1,3.4,88.3,0.0,4
11,Puskás Akadémia FC,25,64.6,32.0,99.2,0.0,1
11,Zalaegerszegi TE FC,9,35.9,0.0,0.9,32.8,11
11,Újpest FC,17,44.2,0.1,16.2,3.4,5
12,Debreceni VSC,11,38.2,0.0,1.6,22.9,10
12,Diósgyőri VTK,19,44.8,0.1,16.0,2.6,5
12,ETO FC,13,37.1,0.0,1.7,25.0,8
12,Fehérvár FC,15,46.1,0.1,21.9,1.6,7
12,Ferencvárosi TC,24,65.9,64.0,99.8,0.0,3
12,Kecskeméti TE,5,28.4,0.0,0.0,84.7,12
12,MTK Budapest,25,51.4,2.2,64.7,0.1,2
12,Nyíregyháza Spartacus,12,36.6,0.0,1.1,29.8,9
12,Paksi FC,22,53.4,2.4,73.6,0.0,4
12,Puskás Akadémia FC,26,62.6,31.1,98.4,0.0,1
12,Zalaegerszegi TE FC,10,36.1,0.0,1.3,30.8,11
12,Újpest FC,18,45.2,0.1,20.1,2.5,6
13,Debreceni VSC,12,37.2,0.0,1.7,31.8,11
13,Diósgyőri VTK,22,47.0,0.1,29.9,1.2,5
13,ETO FC,14,37.2,0.0,1.7,29.2,9
13,Fehérvár FC,15,44.1,0.0,16.3,3.8,7
13,Ferencvárosi TC,27,67.2,79.2,99.9,0.0,1
13,Kecskeméti TE,5,27.7,0.0,0.0,90.0,12
13,MTK Budapest,25,49.2,0.4,52.4,0.1,3
13,Nyíregyháza Spartacus,15,38.9,0.1,3.0,21.0,8
13,Paksi FC,23,52.8,2.9,73.6,0.1,4
