season_name,season_id,match_name,match_id,match_url,winner,home_score,away_score
Magyar Kupa 25/26,81521,xNsAN,16079853,https://www.sofascore.com/football/match/ferencvaros-tc-zalaegerszegi-te/16079853,1,1,0
Magyar Kupa 24/25,66149,ANsjwc,13829083,https://www.sofascore.com/football/match/paksi-fc-ferencvaros-tc/13829083,2,1,1
Magyar Kupa 23/24,54880,ANsjwc,12282003,https://www.sofascore.com/football/match/paksi-fc-ferencvaros-tc/12282003,1,2,0
Magyar Kupa 22/23,45687,xNsKVo,11193495,https://www.sofascore.com/football/match/budafoki-mte-zalaegerszegi-te/11193495,2,0,2
Magyar Kupa 21/22,38681,ANsjwc,10266960,https://www.sofascore.com/football/match/paksi-fc-ferencvaros-tc/10266960,1,3,0
Magyar Kupa 20/21,32698,zNsBN,9479581,https://www.sofascore.com/football/match/fehervar-fc-ujpest/9479581,2,0,1
Magyar Kupa 19/20,25494,qNsimk,8673672,https://www.sofascore.com/football/match/mezokovesd-zsory-budapest-honved-fc/8673672,1,2,1
Magyar Kupa 18/19,18988,qNsBN,8203350,https://www.sofascore.com/football/match/fehervar-fc-budapest-honved-fc/8203350,2,1,2
Magyar Kupa 17/18,14558,zNsWlk,7801730,https://www.sofascore.com/football/match/puskas-akademia-ujpest/7801730,2,2,2
Magyar Kupa 16/17,12364,uNsAN,7417800,https://www.sofascore.com/football/match/ferencvaros-tc-vasas/7417800,2,1,1
Magyar Kupa 15/16,10663,zNsAN,7054776,https://www.sofascore.com/football/match/ferencvaros-tc-ujpest/7054776,2,0,1
Magyar Kupa 14/15,8718,ANsBN,6743411,https://www.sofascore.com/football/match/fehervar-fc-ferencvaros-tc/6743411,2,0,4
Magyar Kupa 13/14,6761,zNswcc,5458644,https://www.sofascore.com/football/match/diosgyori-vtk-ujpest/5458644,1,1,1
Magyar Kupa 12/13,5169,wNsyN,3847625,https://www.sofascore.com/football/match/eto-fc-gyor-debreceni-vsc/3847625,1,2,1
Magyar Kupa 11/12,3881,pNswN,2609030,https://www.sofascore.com/football/match/debreceni-vsc-mtk-budapest/2609030,3,3,3
Magyar Kupa 10/11,2947,BNsgEj,1737374,https://www.sofascore.com/football/match/kecskemet-te-fehervar-fc/1737374,1,3,2
Magyar Kupa 09/10,2430,wNsxN,1362187,https://www.sofascore.com/football/match/zalaegerszegi-te-debreceni-vsc/1362187,1,3,2
Magyar Kupa 08/09,1844,qNsyN,1035006,https://www.sofascore.com/football/match/eto-fc-gyor-budapest-honved-fc/1035006,2,0,1
Magyar Kupa 08/09,1844,qNsyN,1035007,https://www.sofascore.com/football/match/eto-fc-gyor-budapest-honved-fc/1035007,3,0,0
