name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,aerialLost,unsuccessfulTouch,totalCross,accurateCross,onTargetScoringAttempt,keyPass,totalOffside,sofascoreId,goodHighClaim,goalAssist,bigChanceCreated,bigChanceMissed,goals
Sam Johnstone,,,sam-johnstone,S. Johnstone,G,31,193,643,M,98427,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,733017600,"{'value': 5300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سام جونستون', 'hi': 'सैम जॉनस्टोन', 'bn': 'স্যাম জনস্টোন'}, 'shortNameTranslation': {'ar': 'س. جونستون', 'hi': 'एस. जॉनस्टोन', 'bn': 'এস. জনস্টোন'}}",23.0,17.0,13.0,7.0,16.0,16.0,1.0,7.0,7.0,,1.0,90.0,30.0,7.1,6.0,0.0,0.0,0.00044746,"{'original': 7.1, 'alternative': 7.1}",0,0.0475,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Joel Ward,,,joel-ward,J. Ward,D,,188,256,M,39183,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,625622400,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جويل وارد', 'hi': 'जोएल वार्ड', 'bn': 'জোয়েল ওয়ার্ড'}, 'shortNameTranslation': {'ar': 'ج. وارد', 'hi': 'जे. वार्ड', 'bn': 'জে. ওয়ার্ড'}}",58.0,50.0,4.0,1.0,26.0,27.0,24.0,33.0,6.0,,,90.0,85.0,6.9,17.0,0.0,0.0,0.0217638,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,3.0,3.0,5.0,,1.0,1.0,,,,2.0,,,2.0,1.0,,1.0,,2.0,2.0,,,,,,,,,,
Joachim Andersen,,,joachim-andersen,J. Andersen,D,5,190,2408,M,362682,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,833500800,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يواكيم أندرسن', 'hi': 'जोआचिम एंडरसन', 'bn': 'জোয়াকিম অ্যান্ডারসেন'}, 'shortNameTranslation': {'ar': 'ي. أندرسن', 'hi': 'जे. एंडरसन', 'bn': 'জে. অ্যান্ডারসেন'}}",84.0,78.0,12.0,10.0,45.0,46.0,33.0,39.0,6.0,,,90.0,101.0,8.6,8.0,0.1512,0.33,0.11382,"{'original': 8.6, 'alternative': 8.6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,4.0,3.0,10.0,,,2.0,2.0,,,6.0,1.0,,3.0,1.0,1.0,2.0,1.0,,1.0,,2.0,2.0,,,,,,,
Marc Guéhi,,,marc-guehi,M. Guéhi,D,6,182,7807,M,877994,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,963446400,"{'value': 52000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك غيهي', 'hi': 'मार्क गुएही', 'bn': 'মার্ক গুয়েহি'}, 'shortNameTranslation': {'ar': 'م. غيهي', 'hi': 'एम. गुएही', 'bn': 'এম. গুয়েহি'}}",83.0,74.0,11.0,8.0,58.0,64.0,16.0,19.0,4.0,,,89.0,95.0,7.6,10.0,0.03,0.0,0.00796476,"{'original': 7.6, 'alternative': 7.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,2.0,7.0,,,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,,2.0,,2.0,1.0,,,,1.0,,MarcGuehi13,,,,,
Tyrick Mitchell,,,tyrick-mitchell,T. Mitchell,M,3,174,1365,M,988275,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,936144000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيريك ميتشل', 'hi': 'टायरिक मिशेल', 'bn': 'টাইরিক মিচেল'}, 'shortNameTranslation': {'ar': 'ت. ميتشل', 'hi': 'टी. मिशेल', 'bn': 'টি. মিচেল'}}",66.0,51.0,5.0,1.0,32.0,39.0,19.0,27.0,11.0,,,90.0,99.0,7.3,20.0,0.0,0.0,0.0236407,"{'original': 7.3, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,2.0,6.0,1.0,,1.0,1.0,,,3.0,,,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,
Jefferson Lerma,,,jefferson-lerma,J. Lerma,M,8,179,5382,M,355796,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,783043200,"{'value': 7400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفرسون ليرما', 'hi': 'जेफरसन लेर्मा', 'bn': 'জেফারসন লারমা'}, 'shortNameTranslation': {'ar': 'ج. ليرما', 'hi': 'जे. लेर्मा', 'bn': 'জে. লারমা'}}",73.0,58.0,,,26.0,35.0,32.0,38.0,4.0,,,90.0,89.0,7.7,18.0,0.0162,0.0,0.0191135,"{'original': 7.7, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,12.0,6.0,18.0,,3.0,1.0,1.0,1.0,,1.0,,1.0,3.0,3.0,2.0,2.0,1.0,,,,,1.0,,jeffersonlerma,,,,,
Cheick Doucouré,,,cheick-doucoure,C. Doucouré,M,28,181,1459,M,906047,"{'alpha2': 'ML', 'alpha3': 'MLI', 'name': 'Mali', 'slug': 'mali'}",EUR,947289600,"{'value': 15900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'شيخ دوكوري', 'hi': 'चेक डौकोरे', 'bn': 'ডউকোরে'}, 'shortNameTranslation': {'ar': 'ش. دوكوري', 'hi': 'सी. डौकोरे', 'bn': 'সি. ডউকোরে'}}",46.0,38.0,2.0,,21.0,25.0,17.0,21.0,7.0,,,90.0,59.0,6.9,15.0,0.009,0.1944,0.0304347,"{'original': 6.9, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,4.0,3.0,,1.0,,,,,,,,2.0,1.0,,2.0,1.0,6.0,,,1.0,3.0,,,,,,,
Jordan Ayew,,,jordan-ayew,J. Ayew,F,9,182,14311,M,103045,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,684547200,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوردان أيو', 'hi': 'जॉर्डन अय्यू', 'bn': 'জর্ডান আইউ'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'hi': 'जे. अय्यू', 'bn': 'জে. আইউ'}}",41.0,33.0,2.0,,12.0,13.0,22.0,33.0,4.0,,,90.0,72.0,7.2,23.0,0.0912,0.0239,0.451391,"{'original': 7.2, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,11.0,5.0,,8.0,2.0,1.0,,1.0,,,1.0,1.0,,2.0,2.0,,2.0,5.0,1.0,1.0,2.0,1.0,jordanayew9,,1.0,1.0,,
Eberechi Eze,,,eberechi-eze,E. Eze,F,10,178,55112,M,864921,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,899078400,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيبيريشي إيز', 'hi': 'एबेरची ईज़े', 'bn': 'ইবেরেচি এজ'}, 'shortNameTranslation': {'ar': 'إ. إيز', 'hi': 'ई. ईज़े', 'bn': 'ই. এজ'}}",46.0,39.0,,,11.0,11.0,33.0,44.0,4.0,,,90.0,85.0,8.4,20.0,0.5079,0.0,0.411604,"{'original': 8.4, 'alternative': 8}",8,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,7.0,9.0,1.0,2.0,2.0,2.0,2.0,6.0,,,,,,5.0,1.0,3.0,5.0,9.0,5.0,,7.0,,eze,,,1.0,,
Jeffrey Schlupp,,,jeffrey-schlupp,J. Schlupp,D,27,178,762,M,148710,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,725068800,"{'value': 1900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيفري شلوب', 'hi': 'जेफ़री श्लुप्प', 'bn': 'জেফরি শ্লুপ'}, 'shortNameTranslation': {'ar': 'ج. شلوب', 'hi': 'जे. श्लुप्प', 'bn': 'জে. শ্লুপ'}}",28.0,17.0,5.0,,5.0,9.0,12.0,19.0,7.0,,,90.0,45.0,7.1,17.0,0.0821,0.0689,0.0854707,"{'original': 7.1, 'alternative': 7.2}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,3.0,9.0,,2.0,4.0,3.0,1.0,,,,,4.0,1.0,1.0,,,3.0,,,1.0,2.0,,,,,,,
Odsonne Édouard,,,odsonne-edouard,O. Édouard,F,19,187,5777,M,795228,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,884908800,"{'value': 7600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أودسون إدوارد', 'hi': 'ओडसन एडुआर्ड', 'bn': 'ওডসন এডওয়ার্ড'}, 'shortNameTranslation': {'ar': 'أ. إدوارد', 'hi': 'ओ. एडुआर्ड', 'bn': 'ও. এডওয়ার্ড'}}",13.0,10.0,,,1.0,1.0,9.0,12.0,2.0,,,90.0,40.0,8.0,12.0,1.0058,1.3107,0.135752,"{'original': 8, 'alternative': 7.8}",7,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,3.0,7.0,11.0,,1.0,3.0,2.0,3.0,1.0,,,,3.0,1.0,3.0,1.0,4.0,7.0,,,3.0,2.0,1.0,,,,,1.0,1.0
James Tomkins,,,james-tomkins,J. Tomkins,D,,192,104,M,32124,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,607132800,,"{'nameTranslation': {'ar': 'جيمس تومكينز', 'hi': 'जेम्स टॉमकिंस', 'bn': 'জেমস টমকিন্স'}, 'shortNameTranslation': {'ar': 'ج. تومكينز', 'hi': 'जे. टॉमकिंस', 'bn': 'জে. টমকিন্স'}}",1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,0.0,0.0,6.4e-06,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remi Matthews,,,remi-matthews,R. Matthews,G,31,184,187,M,581610,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,760838400,"{'value': 325000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريمي ماثيوز', 'hi': 'रेमी मैथ्यूज़', 'bn': 'রেমি ম্যাথিউস'}, 'shortNameTranslation': {'ar': 'ر. ماثيوز', 'hi': 'आर. मैथ्यूज़', 'bn': 'আর. ম্যাথিউস'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Clyne,,,nathaniel-clyne,N. Clyne,D,17,175,674,M,43215,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,670809600,"{'value': 465000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثانييل كلاين', 'hi': 'नाथनियल क्लाइन', 'bn': 'নাথানিয়েল ক্লাইন'}, 'shortNameTranslation': {'ar': 'ن. كلاين', 'hi': 'एन. क्लाइन', 'bn': 'এন. ক্লাইন'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Richards,,,chris-richards,C. Richards,D,26,188,2004,M,931844,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,954201600,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريس ريتشاردز', 'hi': 'क्रिस रिचर्ड्स', 'bn': 'ক্রিস রিচার্ডস'}, 'shortNameTranslation': {'ar': 'ك. ريتشاردز', 'hi': 'सी. रिचर्ड्स', 'bn': 'সি. রিচার্ডস'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John-Kymani Gordon,John-Kymani Gordon,,john-kymani-gordon,J. Gordon,M,11,181,52,M,1046390,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1045094400,"{'value': 190000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جون كيماني جوردون', 'hi': 'जॉन-किमानी गॉर्डन', 'bn': 'জন-কাইমানি গর্ডন'}, 'shortNameTranslation': {'ar': 'ج. جوردون', 'hi': 'जे. गॉर्डन', 'bn': 'জে. গর্ডন'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaïro Riedewald,,,jairo-riedewald,J. Riedewald,M,44,186,1300,M,285989,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,842227200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيرو ريدوالد', 'hi': 'जैरो रीडेवाल्ड', 'bn': 'জাইরো রিডেওয়াল্ড'}, 'shortNameTranslation': {'ar': 'ج. ريدوالد', 'hi': 'जे. रीडेवाल्ड', 'bn': 'জে. রিডেওয়াল্ড'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesurun Rak-Sakyi,,,jesurun-rak-sakyi,J. Rak-Sakyi,M,19,178,1031,M,1101362,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1033776000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيسورون راك-ساكيي', 'hi': 'जेसुरुन राक-साकी', 'bn': 'জেসুরুন রাক-সাকি'}, 'shortNameTranslation': {'ar': 'ج. راك-ساكيي', 'hi': 'जे. राक-साकी', 'bn': 'জে. রাক-সাকাই'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naouirou Ahamada,,,naouirou-ahamada,N. Ahamada,M,28,183,422,M,997104,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,1017360000,"{'value': 3400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نويرو أحمادا', 'hi': 'नाओइरौ अहमदा', 'bn': 'নাউইরু আহমাদা'}, 'shortNameTranslation': {'ar': 'ن. أحمادا', 'hi': 'एन. अहमदा', 'bn': 'এন. আহমাদা'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Philippe Mateta,,,jean-philippe-mateta,J. Mateta,F,14,192,9259,M,848276,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,867456000,"{'value': 38000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جان-فيليب ماتيتا', 'hi': 'जीन-फिलिप माटेटा', 'bn': 'জিন-ফিলিপ মাটেটা'}, 'shortNameTranslation': {'ar': 'ج. ماتيتا', 'hi': 'जे. माटेटा', 'bn': 'জে. মাটেটা'}}",,,,,,,,,,,,,,,,,0.0,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,Matetajphilippe,,,,,
