name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,expectedGoals,expectedGoalsOnTarget,keyPass,firstName,lastName,goalAssist,aerialWon,shotOffTarget,fouls,outfielderBlock,unsuccessfulTouch,dispossessed,bigChanceMissed,goals,totalOffside,sofascoreId
David Datro Fofana,david-datro-fofana,D. D. Fofana,F,19,181.0,6836,M,1090458,"{'alpha2': 'CI', 'alpha3': 'CIV', 'name': ""Côte d'Ivoire"", 'slug': 'cote-divoire'}",EUR,1040515200,"{'value': 5200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ديفيد داترو فوفانا', 'hi': 'डेविड दात्रो फ़ोफ़ाना', 'bn': 'ডেভিড দাত্রো ফোফানা'}, 'shortNameTranslation': {'ar': 'د. د. فوفانا', 'hi': 'डी.डी. फ़ोफ़ाना', 'bn': 'ডি. ডি. ফোফানা'}}",25.0,19.0,,,7.0,8.0,13.0,18.0,,4.0,,,,,,90.0,42.0,6.8,16.0,0.0797141,"{'original': 6.8, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,6.0,4.0,,2.0,,,,,,,,3.0,0.0701,,1.0,,,,1.0,1.0,,,5.0,2.0,,,,datro_9
Jay Rodriguez,jay-rodriguez,J. Rodriguez,F,16,185.0,323,M,26989,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,617673600,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاي رودريغيز', 'hi': 'जे रोड्रिगेज', 'bn': 'জে রদ্রিগেজ'}, 'shortNameTranslation': {'ar': 'ج. رودريغيز', 'hi': 'जे. रोड्रिगेज', 'bn': 'জে. রদ্রিগেজ'}}",5.0,3.0,1.0,1.0,,1.0,3.0,4.0,,2.0,,,,,,17.0,6.0,6.5,3.0,0.00191019,"{'original': 6.5, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,
Manuel Benson,manuel-benson,M. Benson,M,21,166.0,2981,M,552632,"{'alpha2': 'AO', 'alpha3': 'AGO', 'name': 'Angola', 'slug': 'angola'}",EUR,859507200,"{'value': 2900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مانويل بنسون', 'hi': 'मैनुअल बेन्सन', 'bn': 'ম্যানুয়েল বেনসন'}, 'shortNameTranslation': {'ar': 'م. بنسون', 'hi': 'एम. बेन्सन', 'bn': 'এম. বেনসন'}}",2.0,2.0,,,,,2.0,3.0,,1.0,,,,,,9.0,8.0,6.7,2.0,0.00441478,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,0.0184,0.2656,,,,,,,,,,,,,,
Lawrence Vigouroux,lawrence-vigouroux,L. Vigouroux,G,22,194.0,854,M,373240,"{'alpha2': 'CL', 'alpha3': 'CHL', 'name': 'Chile', 'slug': 'chile'}",EUR,753667200,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لورانس فيغورو', 'hi': 'लॉरेंस विगोरौक्स', 'bn': 'লরেন্স ভিগোরক্স'}, 'shortNameTranslation': {'ar': 'ل. فيغورو', 'hi': 'एल. विगोरौक्स', 'bn': 'এল. ভিগোরক্স'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hjalmar Ekdal,hjalmar-ekdal,H. Ekdal,D,18,187.0,575,M,875360,"{'alpha2': 'SE', 'alpha3': 'SWE', 'name': 'Sweden', 'slug': 'sweden'}",EUR,908928000,"{'value': 5600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هالمار إيكدال', 'hi': 'हजलमर एकदल', 'bn': 'হজলমার একদল'}, 'shortNameTranslation': {'ar': 'ه. إيكدال', 'hi': 'एच. एकदल', 'bn': 'এইচ. একডাল'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannes Delcroix,hannes-delcroix,H. Delcroix,D,44,185.0,5084,M,826169,"{'alpha2': 'HT', 'alpha3': 'HTI', 'name': 'Haiti', 'slug': 'haiti'}",EUR,920160000,"{'value': 2600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هانيس ديلكروكس', 'hi': 'हेन्नेस डेलक्रोइक्स', 'bn': 'হ্যানেস ডেলক্রোইক্স'}, 'shortNameTranslation': {'ar': 'ه. ديلكروكس', 'hi': 'एच. डेलक्रोइक्स', 'bn': 'এইচ. ডেলক্রোইক্স'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Brownhill,josh-brownhill,J. Brownhill,M,8,179.0,832,M,358394,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819331200,"{'value': 12700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوش براونهيل', 'hi': 'जोश ब्राउनहिल', 'bn': 'জোশ ব্রাউনহিল'}, 'shortNameTranslation': {'ar': 'ج. براونهيل', 'hi': 'जे. ब्राउनहिल', 'bn': 'জে. ব্রাউনহিল'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cork,jack-cork,J. Cork,M,,185.0,86,M,20993,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,614736000,"{'value': 745000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاك كورك', 'hi': 'जैक कॉर्क', 'bn': 'জ্যাক কর্ক'}, 'shortNameTranslation': {'ar': 'ج. كورك', 'hi': 'जे. कॉर्क', 'bn': 'জে. কর্ক'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jóhann Guðmundsson,johann-gudmundsson,J. Guðmundsson,M,7,186.0,389,M,49805,"{'alpha2': 'IS', 'alpha3': 'ISL', 'name': 'Iceland', 'slug': 'iceland'}",EUR,656985600,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوهان غودموندسون', 'hi': 'जोहान गुडमंडसन', 'bn': 'জন গুডমুন্ডসন'}, 'shortNameTranslation': {'ar': 'ي. غودموندسون', 'hi': 'जे. गुडमंडसन', 'bn': 'জে. গুডমন্ডসন'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeki Amdouni,zeki-amdouni,Z. Amdouni,F,7,183.0,2862,M,990550,"{'alpha2': 'CH', 'alpha3': 'CHE', 'name': 'Switzerland', 'slug': 'switzerland'}",EUR,975888000,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زكي أمدوني', 'hi': 'ज़ेकी अमदौनी', 'bn': 'জেকি আমদউনি'}, 'shortNameTranslation': {'ar': 'ز. أمدوني', 'hi': 'ज़ेड. अमदौनी', 'bn': 'জেড. আমদউনি'}}",,,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
