period,group,statistic,home_value,away_value,home_total,away_total,home_display,away_display,compare_code,key
ALL,Match overview,Ball possession,55.0,45.0,,,55%,45%,1,ballPossession
ALL,Match overview,Expected goals,2.19,0.86,,,2.19,0.86,1,expectedGoals
ALL,Match overview,Big chances,2.0,0.0,,,2,0,1,bigChanceCreated
ALL,Match overview,Total shots,17.0,14.0,,,17,14,1,totalShotsOnGoal
ALL,Match overview,Goalkeeper saves,4.0,2.0,,,4,2,1,goalkeeperSaves
ALL,Match overview,Corner kicks,6.0,4.0,,,6,4,1,cornerKicks
ALL,Match overview,Fouls,13.0,9.0,,,13,9,1,fouls
ALL,Match overview,Passes,524.0,423.0,,,524,423,1,passes
ALL,Match overview,Tackles,20.0,25.0,,,20,25,2,totalTackle
ALL,Match overview,Free kicks,8.0,13.0,,,8,13,2,freeKicks
ALL,Match overview,Yellow cards,5.0,1.0,,,5,1,1,yellowCards
ALL,Shots,Total shots,17.0,14.0,,,17,14,1,totalShotsOnGoal
ALL,Shots,Shots on target,3.0,4.0,,,3,4,2,shotsOnGoal
ALL,Shots,Hit woodwork,2.0,0.0,,,2,0,1,hitWoodwork
ALL,Shots,Shots off target,9.0,6.0,,,9,6,1,shotsOffGoal
ALL,Shots,Blocked shots,5.0,4.0,,,5,4,1,blockedScoringAttempt
ALL,Shots,Shots inside box,12.0,8.0,,,12,8,1,totalShotsInsideBox
ALL,Shots,Shots outside box,5.0,6.0,,,5,6,2,totalShotsOutsideBox
ALL,Attack,Big chances scored,1.0,0.0,,,1,0,1,bigChanceScored
ALL,Attack,Big chances missed,1.0,0.0,,,1,0,1,bigChanceMissed
ALL,Attack,Through balls,1.0,0.0,,,1,0,1,accurateThroughBall
ALL,Attack,Fouled in final third,3.0,5.0,,,3,5,2,fouledFinalThird
ALL,Attack,Offsides,4.0,0.0,,,4,0,1,offsides
ALL,Passes,Accurate passes,442.0,330.0,,,442,330,1,accuratePasses
ALL,Passes,Throw-ins,19.0,25.0,,,19,25,2,throwIns
ALL,Passes,Final third entries,62.0,40.0,,,62,40,1,finalThirdEntries
ALL,Passes,Long balls,21.0,22.0,40.0,44.0,21/40 (53%),22/44 (50%),1,accurateLongBalls
ALL,Passes,Crosses,4.0,4.0,19.0,17.0,4/19 (21%),4/17 (24%),2,accurateCross
ALL,Duels,Duels,47.0,53.0,,,47%,53%,2,duelWonPercent
ALL,Duels,Dispossessed,11.0,13.0,,,11,13,2,dispossessed
ALL,Duels,Ground duels,41.0,46.0,87.0,87.0,41/87 (47%),46/87 (53%),2,groundDuelsPercentage
ALL,Duels,Aerial duels,14.0,15.0,29.0,29.0,14/29 (48%),15/29 (52%),2,aerialDuelsPercentage
ALL,Duels,Dribbles,13.0,8.0,27.0,15.0,13/27 (48%),8/15 (53%),2,dribblesPercentage
ALL,Defending,Tackles won,8.0,15.0,20.0,25.0,40%,60%,2,wonTacklePercent
ALL,Defending,Total tackles,20.0,25.0,,,20,25,2,totalTackle
ALL,Defending,Interceptions,7.0,18.0,,,7,18,2,interceptionWon
ALL,Defending,Recoveries,59.0,47.0,,,59,47,1,ballRecovery
ALL,Defending,Clearances,37.0,24.0,,,37,24,1,totalClearance
ALL,Goalkeeping,Total saves,4.0,2.0,,,4,2,1,goalkeeperSaves
ALL,Goalkeeping,Goals prevented,0.9963,0.1894,,,1.00,0.19,1,goalsPrevented
ALL,Goalkeeping,Goal kicks,6.0,8.0,,,6,8,2,goalKicks
1ST,Match overview,Ball possession,58.0,42.0,,,58%,42%,1,ballPossession
1ST,Match overview,Expected goals,1.2,0.18,,,1.20,0.18,1,expectedGoals
1ST,Match overview,Big chances,1.0,0.0,,,1,0,1,bigChanceCreated
1ST,Match overview,Total shots,9.0,5.0,,,9,5,1,totalShotsOnGoal
1ST,Match overview,Goalkeeper saves,2.0,1.0,,,2,1,1,goalkeeperSaves
1ST,Match overview,Corner kicks,1.0,4.0,,,1,4,2,cornerKicks
1ST,Match overview,Passes,307.0,212.0,,,307,212,1,passes
1ST,Match overview,Tackles,10.0,13.0,,,10,13,2,totalTackle
1ST,Match overview,Free kicks,5.0,4.0,,,5,4,1,freeKicks
1ST,Match overview,Yellow cards,1.0,0.0,,,1,0,1,yellowCards
1ST,Shots,Total shots,9.0,5.0,,,9,5,1,totalShotsOnGoal
1ST,Shots,Shots on target,2.0,2.0,,,2,2,3,shotsOnGoal
1ST,Shots,Hit woodwork,0.0,0.0,,,0,0,3,hitWoodwork
1ST,Shots,Shots off target,3.0,2.0,,,3,2,1,shotsOffGoal
1ST,Shots,Blocked shots,4.0,1.0,,,4,1,1,blockedScoringAttempt
1ST,Shots,Shots inside box,5.0,2.0,,,5,2,1,totalShotsInsideBox
1ST,Shots,Shots outside box,4.0,3.0,,,4,3,1,totalShotsOutsideBox
1ST,Attack,Big chances scored,1.0,0.0,,,1,0,1,bigChanceScored
1ST,Attack,Big chances missed,0.0,0.0,,,0,0,3,bigChanceMissed
1ST,Attack,Through balls,0.0,0.0,,,0,0,3,accurateThroughBall
1ST,Attack,Fouled in final third,2.0,0.0,,,2,0,1,fouledFinalThird
1ST,Attack,Offsides,2.0,0.0,,,2,0,1,offsides
1ST,Passes,Accurate passes,266.0,169.0,,,266,169,1,accuratePasses
1ST,Passes,Throw-ins,13.0,9.0,,,13,9,1,throwIns
1ST,Passes,Final third entries,38.0,14.0,,,38,14,1,finalThirdEntries
1ST,Passes,Long balls,11.0,10.0,18.0,19.0,11/18 (61%),10/19 (53%),1,accurateLongBalls
1ST,Passes,Crosses,1.0,2.0,8.0,12.0,1/8 (13%),2/12 (17%),2,accurateCross
1ST,Duels,Duels,51.0,49.0,,,51%,49%,1,duelWonPercent
1ST,Duels,Dispossessed,7.0,6.0,,,7,6,1,dispossessed
1ST,Duels,Ground duels,21.0,21.0,42.0,42.0,21/42 (50%),21/42 (50%),3,groundDuelsPercentage
1ST,Duels,Aerial duels,5.0,4.0,9.0,9.0,5/9 (56%),4/9 (44%),1,aerialDuelsPercentage
1ST,Duels,Dribbles,6.0,4.0,12.0,8.0,6/12 (50%),4/8 (50%),1,dribblesPercentage
1ST,Defending,Tackles won,2.0,8.0,10.0,13.0,20%,62%,2,wonTacklePercent
1ST,Defending,Total tackles,10.0,13.0,,,10,13,2,totalTackle
1ST,Defending,Interceptions,3.0,9.0,,,3,9,2,interceptionWon
1ST,Defending,Recoveries,25.0,22.0,,,25,22,1,ballRecovery
1ST,Defending,Clearances,15.0,13.0,,,15,13,1,totalClearance
1ST,Goalkeeping,Total saves,2.0,1.0,,,2,1,1,goalkeeperSaves
1ST,Goalkeeping,Goal kicks,3.0,4.0,,,3,4,2,goalKicks
2ND,Match overview,Ball possession,51.0,49.0,,,51%,49%,1,ballPossession
2ND,Match overview,Expected goals,0.99,0.67,,,0.99,0.67,1,expectedGoals
2ND,Match overview,Big chances,1.0,0.0,,,1,0,1,bigChanceCreated
2ND,Match overview,Total shots,8.0,9.0,,,8,9,2,totalShotsOnGoal
2ND,Match overview,Goalkeeper saves,2.0,1.0,,,2,1,1,goalkeeperSaves
2ND,Match overview,Corner kicks,5.0,0.0,,,5,0,1,cornerKicks
2ND,Match overview,Passes,217.0,211.0,,,217,211,1,passes
2ND,Match overview,Tackles,10.0,12.0,,,10,12,2,totalTackle
2ND,Match overview,Free kicks,3.0,9.0,,,3,9,2,freeKicks
2ND,Match overview,Yellow cards,4.0,1.0,,,4,1,1,yellowCards
2ND,Shots,Total shots,8.0,9.0,,,8,9,2,totalShotsOnGoal
2ND,Shots,Shots on target,1.0,2.0,,,1,2,2,shotsOnGoal
2ND,Shots,Hit woodwork,2.0,0.0,,,2,0,1,hitWoodwork
2ND,Shots,Shots off target,6.0,4.0,,,6,4,1,shotsOffGoal
2ND,Shots,Blocked shots,1.0,3.0,,,1,3,2,blockedScoringAttempt
2ND,Shots,Shots inside box,7.0,6.0,,,7,6,1,totalShotsInsideBox
2ND,Shots,Shots outside box,1.0,3.0,,,1,3,2,totalShotsOutsideBox
2ND,Attack,Big chances scored,0.0,0.0,,,0,0,3,bigChanceScored
2ND,Attack,Big chances missed,1.0,0.0,,,1,0,1,bigChanceMissed
2ND,Attack,Through balls,1.0,0.0,,,1,0,1,accurateThroughBall
2ND,Attack,Fouled in final third,1.0,5.0,,,1,5,2,fouledFinalThird
2ND,Attack,Offsides,2.0,0.0,,,2,0,1,offsides
2ND,Passes,Accurate passes,176.0,161.0,,,176,161,1,accuratePasses
2ND,Passes,Throw-ins,6.0,16.0,,,6,16,2,throwIns
2ND,Passes,Final third entries,24.0,26.0,,,24,26,2,finalThirdEntries
2ND,Passes,Long balls,10.0,12.0,22.0,25.0,10/22 (45%),12/25 (48%),2,accurateLongBalls
2ND,Passes,Crosses,3.0,2.0,11.0,5.0,3/11 (27%),2/5 (40%),2,accurateCross
2ND,Duels,Duels,45.0,55.0,,,45%,55%,2,duelWonPercent
2ND,Duels,Dispossessed,4.0,7.0,,,4,7,2,dispossessed
2ND,Duels,Ground duels,20.0,25.0,45.0,45.0,20/45 (44%),25/45 (56%),2,groundDuelsPercentage
2ND,Duels,Aerial duels,9.0,11.0,20.0,20.0,9/20 (45%),11/20 (55%),2,aerialDuelsPercentage
2ND,Duels,Dribbles,7.0,4.0,15.0,7.0,7/15 (47%),4/7 (57%),2,dribblesPercentage
2ND,Defending,Tackles won,6.0,7.0,10.0,12.0,60%,58%,1,wonTacklePercent
2ND,Defending,Total tackles,10.0,12.0,,,10,12,2,totalTackle
2ND,Defending,Interceptions,4.0,9.0,,,4,9,2,interceptionWon
2ND,Defending,Recoveries,34.0,25.0,,,34,25,1,ballRecovery
2ND,Defending,Clearances,22.0,11.0,,,22,11,1,totalClearance
2ND,Goalkeeping,Total saves,2.0,1.0,,,2,1,1,goalkeeperSaves
2ND,Goalkeeping,Goal kicks,3.0,4.0,,,3,4,2,goalKicks
