name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,interceptionWon,totalTackle,wonTackle,wasFouled,aerialWon,totalClearance,fouls,totalContest,wonContest,unsuccessfulTouch,dispossessed,keyPass,blockedScoringAttempt,expectedGoals,firstName,lastName,totalOffside,onTargetScoringAttempt,goals,expectedGoalsOnTarget,goalAssist,bigChanceCreated,punches,totalKeeperSweeper,accurateKeeperSweeper,shotOffTarget,outfielderBlock
Neto,neto,Neto,G,22,190,5304,M,Neto_Murara,84844,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,616809600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}, 'shortNameTranslation': {'ar': 'نيتو', 'hi': 'नेटो', 'bn': 'নেটো'}}",27.0,21.0,9.0,3.0,19.0,19.0,2.0,8.0,12.0,3.0,3.0,5.0,90.0,43.0,7.5,7.0,0.0007565,"{'original': 7.5, 'alternative': 7.3}",0,0.3007,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Smith,adam-smith,A. Smith,D,15,180,465,M,,44566,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,672883200,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'آدم سميث', 'hi': 'एडम स्मिथ', 'bn': 'অ্যাডাম স্মিথ'}, 'shortNameTranslation': {'ar': 'آ. سميث', 'hi': 'ए. स्मिथ', 'bn': 'এ. স্মিথ'}}",24.0,15.0,6.0,,9.0,11.0,7.0,15.0,3.0,,,,90.0,45.0,6.6,10.0,0.0315345,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Ilya Zabarnyi,illia-zabarnyi,I. Zabarnyi,D,6,189,16673,M,IlliaZabarnyi,1023567,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1030838400,"{'value': 46000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيليا زابارني', 'hi': 'इलिया ज़बरनयी', 'bn': 'ইলিয়া জাবারনি'}, 'shortNameTranslation': {'ar': 'إ. زابارني', 'hi': 'आई. ज़बरनयी', 'bn': 'আই. জাবারনি'}}",41.0,31.0,11.0,5.0,23.0,26.0,8.0,15.0,,,,,90.0,48.0,6.7,10.0,0.00459224,"{'original': 6.7, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,6.0,7.0,1.0,,2.0,2.0,1.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,
Marcos Senesi,marcos-senesi,M. Senesi,D,5,184,4999,M,,830659,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,863222400,"{'value': 20000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماركوس سينيسي', 'hi': 'मार्कोस सेनेसी', 'bn': 'মার্কোস সেনেসি'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'hi': 'एम. सेनेसी', 'bn': 'এম. সেনেসি'}}",46.0,30.0,16.0,4.0,20.0,21.0,10.0,25.0,7.0,,,,90.0,59.0,6.2,18.0,0.00783371,"{'original': 6.2, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,2.0,5.0,3.0,1.0,1.0,2.0,,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
Lloyd Kelly,lloyd-kelly,L. Kelly,D,6,191,2786,M,,865167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,907632000,"{'value': 18500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويد كيلي', 'hi': 'लॉयड केली', 'bn': 'লয়েড কেলি'}, 'shortNameTranslation': {'ar': 'ل. كيلي', 'hi': 'एल. केली', 'bn': 'এল. কেলি'}}",33.0,19.0,9.0,,12.0,14.0,7.0,20.0,5.0,,,,83.0,59.0,6.5,22.0,0.00812037,"{'original': 6.5, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,1.0,2.0,1.0,,1.0,,,,1.0,3.0,1.0,,,3.0,,,,,,,,,,,,,,,,,
Lewis Cook,lewis-cook,L. Cook,M,4,175,837,M,,548188,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,854928000,"{'value': 13700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس كوك', 'hi': 'लुईस कुक', 'bn': 'লুইস কুক'}, 'shortNameTranslation': {'ar': 'ل. كوك', 'hi': 'एल. कुक', 'bn': 'এল. কুক'}}",39.0,31.0,2.0,,15.0,17.0,18.0,30.0,7.0,,,,90.0,59.0,7.1,17.0,0.312485,"{'original': 7.1, 'alternative': 7.2}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,8.0,2.0,,4.0,6.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,,,2.0,1.0,3.0,,,,,,,,,,,,,,,
Ryan Christie,ryan-christie,R. Christie,M,10,178,1202,M,,322391,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,793411200,"{'value': 9700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ريان كريستي', 'hi': 'रयान क्रिस्टी', 'bn': 'রায়ান ক্রিস্টি'}, 'shortNameTranslation': {'ar': 'ر. كريستي', 'hi': 'आर. क्रिस्टी', 'bn': 'আর. ক্রিস্টি'}}",17.0,11.0,2.0,1.0,4.0,4.0,7.0,15.0,2.0,,,,56.0,32.0,6.5,12.0,0.00550074,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,2.0,6.0,4.0,,1.0,1.0,1.0,1.0,,1.0,,4.0,2.0,,2.0,,1.0,0.0426,,,,,,,,,,,,,
Antoine Semenyo,antoine-semenyo,A. Semenyo,M,24,185,33799,M,antoinesemenyo42,934354,"{'alpha2': 'GH', 'alpha3': 'GHA', 'name': 'Ghana', 'slug': 'ghana'}",EUR,947203200,"{'value': 69000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنطوان سيمينيو', 'hi': 'एंटोनी सेमेन्यो', 'bn': 'অ্যান্টোইন সেমেনিও'}, 'shortNameTranslation': {'ar': 'أ. سيمينيو', 'hi': 'ए. सेमेन्यो', 'bn': 'এ. সেমেনিও'}}",7.0,5.0,1.0,,1.0,2.0,4.0,6.0,3.0,,,,45.0,21.0,6.2,7.0,0.013567,"{'original': 6.2, 'alternative': 6.2}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,5.0,2.0,1.0,1.0,,,2.0,,1.0,,4.0,,,,1.0,1.0,0.0234,,,1.0,,,,,,,,,,
Justin Kluivert,justin-kluivert,J. Kluivert,M,19,171,7016,M,justinkluivert,851596,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,925862400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاستن كلويفرت', 'hi': 'जस्टिन क्लुइवर्ट', 'bn': 'জাস্টিন ক্লুইভার্ট'}, 'shortNameTranslation': {'ar': 'ج. كلويفرت', 'hi': 'जे. क्लुइवर्ट', 'bn': 'জে. ক্লুইভার্ট'}}",8.0,5.0,,,,,5.0,9.0,2.0,,,,56.0,23.0,6.7,11.0,0.0172377,"{'original': 6.7, 'alternative': 6.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,,,8.0,2.0,,,1.0,,1.0,,,5.0,2.0,,4.0,1.0,,2.0,0.9995,,,,1.0,1.0,0.9385,,,,,,,
Luis Sinisterra,luis-sinisterra,L. Sinisterra,F,17,176,6517,M,Sinisterra29,836070,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,929577600,"{'value': 11600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس سينيستيرا', 'hi': 'लुइस सिनिस्टर्रा', 'bn': 'লুইস সিনিস্টেরা'}, 'shortNameTranslation': {'ar': 'ل. سينيستيرا', 'hi': 'एल. सिनिस्टर्रा', 'bn': 'এল. সিনিস্টেরা'}}",28.0,21.0,1.0,1.0,3.0,4.0,19.0,25.0,5.0,,,,71.0,52.0,7.8,13.0,0.137703,"{'original': 7.8, 'alternative': 7.5}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,1.0,1.0,2.0,9.0,9.0,,1.0,2.0,2.0,2.0,2.0,,3.0,5.0,3.0,1.0,2.0,2.0,2.0,0.3279,,,,1.0,,,1.0,1.0,,,,,
