name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,expectedAssists,keyPass,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,possessionLostCtrl,expectedGoals,firstName,lastName,aerialWon,outfielderBlock,fouls,onTargetScoringAttempt,wasFouled,expectedGoalsOnTarget,goals,totalOffside,hitWoodwork,goalAssist,bigChanceCreated,penaltyFaced,punches,totalKeeperSweeper,accurateKeeperSweeper,errorLeadToAShot,penaltyConceded
Luis Díaz,luis-diaz,L. Díaz,F,14,178.0,140854,M,LuisDíaz,883537,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600,"{'value': 76000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لويس دياز', 'hi': 'लुइस डियाज़', 'bn': 'লুইস দিয়াজ'}, 'shortNameTranslation': {'ar': 'ل. دياز', 'hi': 'एल. डियाज़', 'bn': 'এল. দিয়াজ'}}",41.0,36.0,2.0,2.0,2.0,2.0,34.0,41.0,,2.0,,,,81.0,59.0,7.7,0.0713259,,"{'original': 7.7, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,2.0,,2.0,4.0,9.0,1.0,,4.0,3.0,2.0,1.0,,2.0,2.0,2.0,11.0,0.2373,,,2.0,,1.0,,2.0,,,,,,,,,,,,
Harvey Elliott,harvey-elliott,H. Elliott,M,19,170.0,21929,M,harvelliott,955245,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1049414400,"{'value': 31000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هارفي إليوت', 'hi': 'हार्वे इलियट', 'bn': 'হার্ভে এলিয়ট'}, 'shortNameTranslation': {'ar': 'ه. إليوت', 'hi': 'एच. इलियट', 'bn': 'এইচ. এলিয়ট'}}",31.0,31.0,3.0,3.0,9.0,9.0,22.0,22.0,,5.0,,,,28.0,35.0,7.2,0.044381,,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,2.0,3.0,,1.0,,,,,,1.0,,,,1.0,0.0213,,,,,,1.0,,0.1191,,,1.0,,,,,,,,
Darwin Núñez,darwin-nunez,D. Núñez,F,7,188.0,74506,M,Darwin,924871,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,930182400,"{'value': 41000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'داروين نونيز', 'hi': 'डार्विन नुन्येज़', 'bn': 'ডারউইন নুনেজ'}, 'shortNameTranslation': {'ar': 'د. نونيز', 'hi': 'डी. नुन्येज़', 'bn': 'ডি. নুনেজ'}}",13.0,8.0,2.0,,,1.0,8.0,12.0,,1.0,,,,28.0,17.0,7.2,0.0838928,1.0,"{'original': 7.2, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,2.0,1.0,,,1.0,,,,,1.0,1.0,1.0,7.0,0.023,,,,,,1.0,,0.0328,,,,1.0,1.0,,,,,,
Joël Matip,joel-matip,J. Matip,D,,195.0,3499,M,joelmatip,51501,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,681609600,,"{'nameTranslation': {'ar': 'جويل ماتيب', 'hi': 'जोएल माटिप', 'bn': 'জোয়েল মাতিপ'}, 'shortNameTranslation': {'ar': 'ج. ماتيب', 'hi': 'जे. माटिप', 'bn': 'জে. মাতিপ'}}",29.0,24.0,1.0,,17.0,17.0,7.0,12.0,2.0,6.0,,,,24.0,33.0,7.0,0.0129124,,"{'original': 7, 'alternative': 7.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,1.0,1.0,8.0,,,,,,,,2.0,,,5.0,,,,6.0,,,,,,,,,,,,,,,,
Joe Gomez,joe-gomez,J. Gomez,D,2,188.0,14017,M,joegomez5,318927,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,864345600,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جو غوميز', 'hi': 'जो गोमेज़', 'bn': 'জো গোমেজ'}, 'shortNameTranslation': {'ar': 'ج. غوميز', 'hi': 'जे. गोमेज़', 'bn': 'জে গোমেজ'}}",20.0,19.0,,,8.0,8.0,11.0,12.0,,3.0,,,,9.0,24.0,6.9,0.00852203,1.0,"{'original': 6.9, 'alternative': 6.9}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,0.0556,,,,,,,,,,,,,,,,,,,
Caoimhin Kelleher,caoimhin-kelleher,C. Kelleher,G,1,188.0,10299,M,caoimhinkelleher98,827362,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,911779200,"{'value': 19800000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاويمن كيليهير', 'hi': 'काओइमहिन केल्हेर', 'bn': 'কাওইমহিন কেলেহার'}, 'shortNameTranslation': {'ar': 'ك. كيليهير', 'hi': 'सी. केल्हेर', 'bn': 'সি. কেলেহার'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calum Scanlon,scanlon-calum,C. Scanlon,D,33,,483,M,,1188167,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1108339200,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سكانلون، كالوم', 'hi': 'स्कैनलॉन, कैलम', 'bn': 'স্ক্যানলন, ক্যালাম'}, 'shortNameTranslation': {'ar': 'ك. سكانلون', 'hi': 'सी. स्कैनलॉन', 'bn': 'সি. স্ক্যানলন'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Quansah,jarell-quansah,J. Quansah,D,4,190.0,10706,M,jarellquansah,1003339,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1043798400,"{'value': 37000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جاريل كوانسا', 'hi': 'जेरेल क्वांसाह', 'bn': 'জারেল কোয়ানসাহ'}, 'shortNameTranslation': {'ar': 'ج. كوانسا', 'hi': 'जे. क्वांसाह', 'bn': 'জে. কোয়ানসাহ'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James McConnell,mcconnell-james,J. McConnell,M,16,180.0,2880,M,,1138428,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1095033600,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماكونيل، جيمس', 'hi': 'मैककोनेल, जेम्स', 'bn': 'ম্যাককনেল, জেমস'}, 'shortNameTranslation': {'ar': 'ج. ماكونيل', 'hi': 'जे. मैककोनेल', 'bn': 'জে. ম্যাককনেল'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,James McConnell,,,,,,,,,,,,,,,,,,
Wataru Endo,wataru-endo,W. Endo,M,3,178.0,19922,M,endowataru,143040,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,729216000,"{'value': 4600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'واتارو إندو', 'hi': 'वातारू एंडो', 'bn': 'ওয়ান্ডারিং এন্ডো'}, 'shortNameTranslation': {'ar': 'و. إندو', 'hi': 'डब्लू. एंडो', 'bn': 'ডব্লিউ. এন্ডো'}}",,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
