name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,totalTackle,wonTackle,errorLeadToAGoal,unsuccessfulTouch,firstName,lastName,aerialLost,outfielderBlock,interceptionWon,fouls,totalCross,accurateCross,wasFouled,keyPass,sofascoreId,dispossessed,totalContest,wonContest,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,blockedScoringAttempt,shotOffTarget,goals,errorLeadToAShot,goodHighClaim,goalAssist,bigChanceCreated,hitWoodwork,bigChanceMissed
Carlton Morris,carlton-morris,C. Morris,F,9,185,1084,M,358222,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,819072000,"{'value': 6200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلتون موريس', 'hi': 'कार्लटन मॉरिस', 'bn': 'কার্লটন মরিস'}, 'shortNameTranslation': {'ar': 'ك. موريس', 'hi': 'सी. मॉरिस', 'bn': 'সি. মরিস'}}",25.0,19.0,2.0,,10.0,10.0,9.0,15.0,2.0,1.0,,,,,90.0,35.0,6.6,9.0,0.0140625,"{'original': 6.6, 'alternative': 6.6}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,4.0,12.0,6.0,,,,,2.0,,,10.0,,,1.0,,,1.0,,,,2.0,1.0,1.0,0.0761,0.2928,,,,,,,,,
Fred Onyedinma,fred-onyedinma,F. Onyedinma,M,44,185,115,M,370932,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,848793600,"{'value': 610000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فريد أونيادينما'}, 'shortNameTranslation': {'ar': 'ف. أونيادينما'}}",8.0,7.0,,,4.0,5.0,3.0,5.0,4.0,,,,,,55.0,23.0,6.1,6.0,0.00219562,"{'original': 6.1, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,1.0,6.0,4.0,,2.0,,,,,,1.0,,,2.0,2.0,,,,,2.0,2.0,1.0,,,,,,,,,,,,
Luke Berry,luke-berry,L. Berry,M,8,177,67,M,97465,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,710899200,"{'value': 240000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك بيري', 'hi': 'ल्यूक बेरी', 'bn': 'লুক বেরি'}, 'shortNameTranslation': {'ar': 'ل. بيري', 'hi': 'एल. बेरी', 'bn': 'এল. বেরি'}}",10.0,7.0,1.0,,7.0,8.0,,2.0,,2.0,,,,,45.0,14.0,6.9,4.0,0.00016573,"{'original': 6.9, 'alternative': 7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,2.0,2.0,,1.0,,,1.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,0.2952,0.5274,,,1.0,,,,,,
Daiki Hashioka,daiki-hashioka,D. Hashioka,D,8,185,1034,M,897334,"{'alpha2': 'JP', 'alpha3': 'JPN', 'name': 'Japan', 'slug': 'japan'}",EUR,926899200,"{'value': 1700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دايكي هاشيوكا', 'hi': 'दाइकी हाशिओका', 'bn': 'ডাইকি হাশিওকা'}, 'shortNameTranslation': {'ar': 'د. هاشيوكا', 'hi': 'डी. हाशिओका', 'bn': 'ডি. হাশিওকা'}}",3.0,3.0,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,19.0,12.0,6.3,4.0,9.745e-05,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,4.0,2.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,
Andros Townsend,andros-townsend,A. Townsend,F,30,181,609,M,47992,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,679622400,"{'value': 600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندروس تاونسيند', 'hi': 'एंड्रोस टाउनसेंड', 'bn': 'অ্যান্ড্রোস টাউনসেন্ড'}, 'shortNameTranslation': {'ar': 'أ. تاونسيند', 'hi': 'ए. टाउनसेंड', 'bn': 'এ. টাউনসেন্ড'}}",5.0,3.0,1.0,,1.0,1.0,2.0,5.0,,,,,,,19.0,8.0,6.3,4.0,0.00057884,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Pelly Ruddock Mpanzu,pelly-ruddock-mpanzu,P. R. Mpanzu,M,17,175,296,M,387116,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,742867200,"{'value': 390000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بيلي رودوك مبانزو', 'hi': 'पेली रुडॉक मपांज़ू', 'bn': 'পেলি রাডক এমপানজু'}, 'shortNameTranslation': {'ar': 'ب. رودوك مبانزو', 'hi': 'पीआर रुडॉक', 'bn': 'পি. আর. এমপানজু'}}",8.0,6.0,,,3.0,4.0,3.0,4.0,,,,,,,9.0,9.0,6.0,2.0,0.00054269,"{'original': 6, 'alternative': 6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
James Shea,james-shea,J. Shea,G,1,180,45,M,137789,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,677030400,"{'value': 115000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جيمس شيا', 'hi': 'जेम्स शिया', 'bn': 'জেমস শিয়া'}, 'shortNameTranslation': {'ar': 'ج. شيا', 'hi': 'जे. शिया', 'bn': 'জে. শিয়া'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Krul,tim-krul,T. Krul,G,,193,426,M,18154,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,576028800,,"{'nameTranslation': {'ar': 'تيم كرول', 'hi': 'टिम क्रुल', 'bn': 'টিম ক্রুল'}, 'shortNameTranslation': {'ar': 'ت. كرول', 'hi': 'टी. क्रुल', 'bn': 'টি. ক্রুল'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Johnson,joseph-johnson,J. Johnson,D,38,180,84,M,825550,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1140480000,"{'value': 285000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جوزيف جونسون', 'hi': 'जोसेफ जॉनसन', 'bn': 'জোসেফ জনসন'}, 'shortNameTranslation': {'ar': 'ج. جونسون', 'hi': 'जे. जॉनसन', 'bn': 'জে. জনসন'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cauley Woodrow,cauley-woodrow,C. Woodrow,F,12,184,116,M,140487,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,786326400,"{'value': 485000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كاولي وودرو', 'hi': 'काउली वुडरो', 'bn': 'কাউলি উড্রো'}, 'shortNameTranslation': {'ar': 'ك. وودرو', 'hi': 'सी. वुडरो', 'bn': 'সি. উড্রো'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
