name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialWon,duelLost,duelWon,challengeLost,totalTackle,wonTackle,errorLeadToAGoal,unsuccessfulTouch,firstName,lastName,aerialLost,outfielderBlock,interceptionWon,fouls,totalCross,accurateCross,wasFouled,keyPass,sofascoreId,dispossessed,totalContest,wonContest,onTargetScoringAttempt,expectedGoals,expectedGoalsOnTarget,blockedScoringAttempt,shotOffTarget,goals,errorLeadToAShot,goodHighClaim,goalAssist,bigChanceCreated,hitWoodwork,bigChanceMissed
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",28.0,19.0,17.0,8.0,13.0,13.0,6.0,15.0,1.0,6.0,2.0,2.0,,,90.0,37.0,6.9,9.0,0.00081977,"{'original': 6.9, 'alternative': 6.5}",0,-0.0774,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
Kristoffer Ajer,kristoffer-ajer,K. Ajer,D,20,196,1118,M,576384,"{'alpha2': 'NO', 'alpha3': 'NOR', 'name': 'Norway', 'slug': 'norway'}",EUR,892771200,"{'value': 17300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستوفر آجير', 'hi': 'क्रिस्टोफ़र अजेर', 'bn': 'ক্রিস্টোফার আজের'}, 'shortNameTranslation': {'ar': 'ك. آجير', 'hi': 'के. अजेर', 'bn': 'কে. আজের'}}",19.0,14.0,1.0,,7.0,9.0,7.0,12.0,5.0,3.0,,,,,76.0,37.0,7.5,7.0,0.00944102,"{'original': 7.5, 'alternative': 7.3}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,5.0,3.0,8.0,1.0,3.0,2.0,,,,,,,,2.0,2.0,,,,,,,,1.0,0.1637,0.3995,,2.0,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",42.0,34.0,9.0,4.0,24.0,28.0,11.0,15.0,5.0,3.0,,,,,90.0,54.0,6.9,9.0,0.0196139,"{'original': 6.9, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,2.0,4.0,,2.0,2.0,,,,,1.0,,2.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",30.0,22.0,6.0,4.0,17.0,18.0,5.0,12.0,4.0,2.0,,,,,90.0,45.0,7.6,12.0,0.0036332,"{'original': 7.6, 'alternative': 7.5}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,6.0,6.0,7.0,,1.0,1.0,,4.0,,,5.0,1.0,1.0,1.0,,,,,,,,,1.0,0.1491,0.5291,,1.0,1.0,,,,,,
Sergio Reguilón,sergio-reguilon,S. Reguilón,D,,178,6051,M,858195,"{'alpha2': 'ES', 'alpha3': 'ESP', 'name': 'Spain', 'slug': 'spain'}",EUR,850694400,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سيرجيو ريغيلون', 'hi': 'सर्जियो रेगुइलोन', 'bn': 'সার্জিও রেগুইলন'}, 'shortNameTranslation': {'ar': 'س. ريغيلون', 'hi': 'एस. रेगुइलोन', 'bn': 'এস. রেগুইলন'}}",32.0,28.0,3.0,1.0,9.0,12.0,22.0,27.0,5.0,10.0,,,,,90.0,70.0,8.2,12.0,0.3218,"{'original': 8.2, 'alternative': 8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,5.0,8.0,1.0,3.0,3.0,,2.0,,,2.0,,2.0,,7.0,3.0,3.0,4.0,sergio_regui,2.0,1.0,1.0,,0.0213,,,1.0,,,,1.0,2.0,,
Mikkel Damsgaard,damsgaard-mikkel,M. Damsgaard,M,24,180,3573,M,907072,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,962582400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'دامسغارد، ميكيل', 'hi': 'डैम्सगार्ड, मिकेल', 'bn': 'ডামসগার্ড, মিক্কেল'}, 'shortNameTranslation': {'ar': 'م. دامسغارد', 'hi': 'एम. डैम्सगार्ड', 'bn': 'এম. ড্যামসগার্ড'}}",21.0,16.0,3.0,2.0,7.0,7.0,9.0,15.0,,1.0,,,,,71.0,41.0,7.4,12.0,0.195475,"{'original': 7.4, 'alternative': 7.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,10.0,8.0,3.0,7.0,5.0,,2.0,,,2.0,,,1.0,1.0,,,2.0,,2.0,3.0,1.0,1.0,0.0919,0.3012,,,,,,,1.0,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",31.0,24.0,7.0,4.0,13.0,15.0,12.0,19.0,5.0,7.0,,,,,90.0,51.0,7.1,10.0,0.43198,"{'original': 7.1, 'alternative': 7.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,3.0,9.0,1.0,4.0,2.0,1.0,,,,1.0,,1.0,1.0,3.0,1.0,3.0,2.0,,,1.0,,,0.0274,,1.0,,,,,1.0,1.0,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",39.0,25.0,3.0,1.0,15.0,19.0,14.0,27.0,2.0,4.0,,,,,82.0,64.0,6.9,21.0,0.348907,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,5.0,2.0,4.0,,,,1.0,,,,,2.0,,7.0,4.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",31.0,23.0,1.0,1.0,10.0,10.0,14.0,22.0,,7.0,,,,,90.0,53.0,8.3,18.0,0.7964,"{'original': 8.3, 'alternative': 8.2}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,7.0,5.0,1.0,,,,3.0,,,,,,,1.0,1.0,2.0,3.0,bryan_m19,3.0,6.0,3.0,1.0,0.2117,0.3524,,2.0,,,,2.0,1.0,1.0,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",20.0,11.0,1.0,,1.0,3.0,10.0,17.0,,2.0,,,,,82.0,33.0,8.8,12.0,0.103124,"{'original': 8.8, 'alternative': 8.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,5.0,,2.0,1.0,,2.0,,,2.0,,,1.0,,,1.0,3.0,yowissa,,3.0,2.0,2.0,0.6497,1.1158,,,2.0,,,,,,
Keane Lewis-Potter,keane-lewis-potter,K. Lewis-Potter,D,23,170,979,M,972421,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,982800000,"{'value': 21000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيان لويس-بوتر', 'hi': 'कीन लुईस-पॉटर', 'bn': 'কিন লুইস-পটার'}, 'shortNameTranslation': {'ar': 'ك. لويس-بوتر', 'hi': 'के. लुईस-पॉटर', 'bn': 'কে. লুইস-পটার'}}",11.0,9.0,1.0,,,,9.0,13.0,,3.0,,,,,71.0,23.0,6.8,6.0,0.0520514,"{'original': 6.8, 'alternative': 6.5}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,4.0,1.0,,,,,,,,2.0,,,,2.0,,1.0,,,2.0,,,2.0,1.2822,1.6702,1.0,1.0,1.0,,,,,,2.0
Kevin Schade,kevin-schade,K. Schade,M,7,183,2784,M,1006387,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,1006819200,"{'value': 36000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كيفين شايد', 'hi': 'केविन शैड', 'bn': 'কেভিন শেড'}, 'shortNameTranslation': {'ar': 'ك. شايد', 'hi': 'के. शैड', 'bn': 'কে. স্কেড'}}",6.0,4.0,,,1.0,1.0,3.0,5.0,1.0,2.0,,,,,19.0,13.0,7.1,5.0,0.00058344,"{'original': 7.1, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,2.0,3.0,2.0,1.0,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,1.0,0.4393,0.6891,,,1.0,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",14.0,12.0,1.0,,10.0,11.0,2.0,3.0,,2.0,,,,,19.0,16.0,6.7,2.0,0.00072555,"{'original': 6.7, 'alternative': 6.7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",11.0,9.0,1.0,,8.0,8.0,1.0,3.0,,1.0,,,,,14.0,15.0,6.6,2.0,0.00094009,"{'original': 6.6, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,2.0,,2.0,,,,Mads,Roerslev,,,,,,,,,,,,,,0.07,,,1.0,,,,,,,
Yehor Yarmolyuk,yarmoliuk-yehor,Y. Yarmolyuk,M,18,180,2447,M,1031258,"{'alpha2': 'UA', 'alpha3': 'UKR', 'name': 'Ukraine', 'slug': 'ukraine'}",EUR,1078099200,"{'value': 24000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يارموليوك، يهور', 'hi': 'यार्मोलीउक, योहोर', 'bn': 'ইয়ারমোলিক, ইহোর'}, 'shortNameTranslation': {'ar': 'ي. يارموليوك', 'hi': 'वाई. यार्मोलीउक', 'bn': 'ওয়াই. ইয়ারমোলিক'}}",5.0,5.0,,,3.0,3.0,2.0,2.0,,3.0,,,,,8.0,9.0,6.6,,0.00083139,"{'original': 6.6, 'alternative': 6.6}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,3.0,3.0,,1.0,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,
Neal Maupay,neal-maupay,N. Maupay,F,9,171,2064,M,268903,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,839980800,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'نيل موباي', 'hi': 'नील मौपे', 'bn': 'নিল মাউপে'}, 'shortNameTranslation': {'ar': 'ن. موباي', 'hi': 'एन. मौपे', 'bn': 'এন. মাউপে'}}",5.0,5.0,1.0,1.0,2.0,2.0,3.0,3.0,,1.0,,,,,8.0,8.0,6.7,,0.00084301,"{'original': 6.7, 'alternative': 6.7}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,0.0324,,,2.0,,,,,,,
Thomas Strakosha,thomas-strakosha,T. Strakosha,G,1,191,1699,M,227212,"{'alpha2': 'AL', 'alpha3': 'ALB', 'name': 'Albania', 'slug': 'albania'}",EUR,795571200,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توماس ستراكوشا', 'hi': 'थॉमस स्ट्राकोशा', 'bn': 'টমাস স্ট্রাকোশা'}, 'shortNameTranslation': {'ar': 'ت. ستراكوشا', 'hi': 'टी. स्ट्राकोशा', 'bn': 'টি. স্ট্রাকোশা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanka,zanka,Zanka,D,5,189,495,M,26404,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,640828800,"{'value': 310000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}, 'shortNameTranslation': {'ar': 'زانكا', 'hi': 'ज़ंका', 'bn': 'জাঙ্কা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saman Ghoddos,saman-ghoddos,S. Ghoddos,M,7,177,2148,M,548050,"{'alpha2': 'IR', 'alpha3': 'IRN', 'name': 'Iran', 'slug': 'iran'}",EUR,747273600,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'سامان قدوس', 'hi': 'समन घोड्डोस', 'bn': 'সামান ঘোদ্দোস'}, 'shortNameTranslation': {'ar': 'س. قدوس', 'hi': 'एस. घोड्डोस', 'bn': 'এস, ঘোদ্দোস'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Onyeka,frank-onyeka,F. Onyeka,M,15,183,3717,M,885864,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,883612800,"{'value': 6700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فرانك أونييكا', 'hi': 'फ्रैंक ओनेका', 'bn': 'ফ্রাঙ্ক ওনিয়েকা'}, 'shortNameTranslation': {'ar': 'ف. أونييكا', 'hi': 'एफ. ओनेका', 'bn': 'এফ. ওনিয়েকা'}}",,,,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
