name,slug,shortName,position,jerseyNumber,height,userCount,gender,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedGoalsOnTarget,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,firstName,lastName,accurateOppositionHalfPasses,aerialLost,duelLost,dispossessed,totalContest,wonContest,unsuccessfulTouch,wasFouled,fouls,keyPass,challengeLost,bigChanceCreated,interceptionWon,totalTackle,wonTackle,errorLeadToAGoal,bigChanceMissed,blockedScoringAttempt,errorLeadToAShot,totalCross,shotOffTarget,onTargetScoringAttempt,goals,outfielderBlock,goalAssist,sofascoreId,accurateCross,totalOffside,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle,hitWoodwork
Mark Flekken,mark-flekken,M. Flekken,G,1,194,2871,M,171919,"{'alpha2': 'NL', 'alpha3': 'NLD', 'name': 'Netherlands', 'slug': 'netherlands'}",EUR,739929600,"{'value': 10700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مارك فليكين', 'hi': 'मार्क फ्लेकेन', 'bn': 'মার্ক ফ্লেককেন'}, 'shortNameTranslation': {'ar': 'م. فليكين', 'hi': 'एम. फ्लेकेन', 'bn': 'এম. ফ্লেকেন'}}",54.0,46.0,9.0,1.0,46.0,48.0,6.0,1.0,1.0,1.0,8.0,1.0,3.0,1.0,90.0,65.0,6.5,8.0,0.0,0.0,0.00012435,"{'original': 6.5, 'alternative': 6.2}",0,-1.4709,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mads Roerslev,mads-roerslev,M. Roerslev,D,2,184,470,M,826057,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,930182400,"{'value': 6400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'مادس روزرفيل', 'hi': 'मैड्स रोर्सलेव', 'bn': 'ম্যাডস রোয়ার্সলেভ'}, 'shortNameTranslation': {'ar': 'م. روزرفيل', 'hi': 'एम. रोर्सलेव', 'bn': 'এম. রোয়ার্সলেভ'}}",48.0,35.0,4.0,3.0,22.0,29.0,19.0,1.0,3.0,1.0,4.0,,,,61.0,61.0,6.4,17.0,0.0,0.0,0.0143825,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,Mads,Roerslev,13.0,5.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Nathan Collins,nathan-collins,N. Collins,D,22,193,1469,M,958916,"{'alpha2': 'IE', 'alpha3': 'IRL', 'name': 'Ireland', 'slug': 'ireland'}",EUR,988588800,"{'value': 34000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ناثان كولينز', 'hi': 'नाथन कोलिन्स', 'bn': 'নাথান কলিন্স'}, 'shortNameTranslation': {'ar': 'ن. كولينز', 'hi': 'एन. कोलिन्स', 'bn': 'এন. কলিন্স'}}",97.0,85.0,11.0,6.0,61.0,63.0,34.0,1.0,5.0,3.0,5.0,,,,90.0,117.0,6.3,18.0,0.0,0.0,0.00845089,"{'original': 6.3, 'alternative': 6.1}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,24.0,4.0,7.0,1.0,2.0,1.0,3.0,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,
Ethan Pinnock,ethan-pinnock,E. Pinnock,D,5,194,1038,M,855864,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,738633600,"{'value': 3700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'إيثان بينوك', 'hi': 'एथन पिनॉक', 'bn': 'ইথান পিনক'}, 'shortNameTranslation': {'ar': 'إ. بينوك', 'hi': 'ई. पिनॉक', 'bn': 'ই. পিনক'}}",93.0,79.0,13.0,4.0,67.0,73.0,20.0,6.0,7.0,6.0,4.0,,,,90.0,107.0,6.2,14.0,0.2247,0.0,0.00399209,"{'original': 6.2, 'alternative': 6.1}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,12.0,6.0,7.0,,,,,,,,1.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
Aaron Hickey,hickey-aaron,A. Hickey,D,2,185,849,M,966869,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,1023667200,"{'value': 16500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هيكي، آرون', 'hi': 'हिक्की, आरोन', 'bn': 'হিকি, অ্যারন'}, 'shortNameTranslation': {'ar': 'آ. هيكي', 'hi': 'ए. हिक्की', 'bn': 'এ. হিকি'}}",27.0,24.0,1.0,,14.0,15.0,13.0,,,1.0,7.0,,,,73.0,37.0,6.1,4.0,0.0658,0.0,0.00385386,"{'original': 6.1, 'alternative': 6}",2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,10.0,1.0,2.0,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,
Mathias Jensen,mathias-jensen,M. Jensen,M,8,180,973,M,799251,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,820454400,"{'value': 12500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جينسين، ماتياس', 'hi': 'जेन्सेन, मैथियास', 'bn': 'জেনসেন, ম্যাথিয়াস'}, 'shortNameTranslation': {'ar': 'م. جينسين', 'hi': 'एम. जेन्सेन', 'bn': 'এম. জেনসেন'}}",44.0,35.0,3.0,2.0,20.0,21.0,24.0,,3.0,,7.0,,,,90.0,62.0,7.0,16.0,0.0729,0.6355,0.00676423,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,15.0,1.0,5.0,1.0,2.0,,,1.0,1.0,,,,,2.0,2.0,,,,,1.0,,1.0,1.0,,,,,,,,,,
Christian Nørgaard,christian-norgaard,C. Nørgaard,M,16,185,8776,M,135256,"{'alpha2': 'DK', 'alpha3': 'DNK', 'name': 'Denmark', 'slug': 'denmark'}",EUR,763257600,"{'value': 8700000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كريستيان نورغارد', 'hi': 'क्रिश्चियन नॉरगार्ड', 'bn': 'ক্রিশ্চিয়ান নরগার্ড'}, 'shortNameTranslation': {'ar': 'ك. نورغارد', 'hi': 'सी. नॉरगार्ड', 'bn': 'সি. নরগার্ড'}}",70.0,55.0,6.0,4.0,31.0,38.0,33.0,3.0,10.0,1.0,12.0,,,,90.0,89.0,6.9,19.0,0.1301,0.0,0.0158938,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,True,,,24.0,3.0,5.0,,1.0,,1.0,3.0,,,1.0,,1.0,4.0,4.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,
Vitaly Janelt,vitaly-janelt,V. Janelt,M,27,184,1013,M,814873,"{'alpha2': 'DE', 'alpha3': 'DEU', 'name': 'Germany', 'slug': 'germany'}",EUR,894758400,"{'value': 18600000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فيتالي جانيلت', 'hi': 'विटाली जेनेल्ट', 'bn': 'ভিটালি জেনেল্ট'}, 'shortNameTranslation': {'ar': 'ف. جانيلت', 'hi': 'वी. जेनेल्ट', 'bn': 'ভি. জেনেল্ট'}}",31.0,22.0,6.0,2.0,12.0,12.0,19.0,2.0,4.0,,2.0,,,,61.0,35.0,7.0,9.0,0.0226,0.0,0.0268715,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,10.0,2.0,3.0,,,,,,1.0,1.0,,,1.0,2.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,
Bryan Mbeumo,bryan-mbeumo,B. Mbeumo,M,19,173,89920,M,927083,"{'alpha2': 'CM', 'alpha3': 'CMR', 'name': 'Cameroon', 'slug': 'cameroon'}",EUR,933984000,"{'value': 73000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'برايان مبيومو', 'hi': 'ब्रायन मबेउमो', 'bn': 'ব্রায়ান এমবেউমো'}, 'shortNameTranslation': {'ar': 'ب. مبيومو', 'hi': 'बी. मबेउमो', 'bn': 'বি. এমবেউমো'}}",39.0,29.0,,,15.0,16.0,27.0,1.0,9.0,2.0,6.0,,,,90.0,68.0,7.0,20.0,0.2444,0.2656,0.200113,"{'original': 7, 'alternative': 6.9}",3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,16.0,1.0,7.0,1.0,4.0,2.0,5.0,2.0,3.0,1.0,,,,4.0,1.0,,1.0,,,4.0,2.0,1.0,,,,bryan_m19,2.0,,,,,,
Yoane Wissa,yoane-wissa,Y. Wissa,F,9,176,43905,M,805123,"{'alpha2': 'CD', 'alpha3': 'COD', 'name': 'DR Congo', 'slug': 'dr-congo'}",EUR,841708800,"{'value': 33000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'يوني ويسا', 'hi': 'योआने विस्सा', 'bn': 'জন উইসা'}, 'shortNameTranslation': {'ar': 'ي. ويسا', 'hi': 'वाई. विस्सा', 'bn': 'ওয়াই. উইসা'}}",11.0,9.0,1.0,,5.0,5.0,6.0,,,,6.0,,,,90.0,17.0,6.7,4.0,0.0537,0.0,0.0319047,"{'original': 6.7, 'alternative': 6.7}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",home,False,False,,,4.0,2.0,3.0,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,yowissa,,,,,,,
