name,slug,shortName,position,jerseyNumber,height,userCount,gender,sofascoreId,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,totalPass,accuratePass,totalLongBalls,accurateLongBalls,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,expectedAssists,ratingVersions,totalShots,goalsPrevented,statisticsType,team,substitute,captain,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,fouls,keyPass,totalCross,dispossessed,outfielderBlock,unsuccessfulTouch,firstName,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,wasFouled,expectedGoals,goalAssist,accurateCross,bigChanceCreated,lastName,penaltyWon,bigChanceMissed,onTargetScoringAttempt,goals,expectedGoalsOnTarget,totalOffside,penaltyFaced,punches,penaltyConceded
Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,4536,M,,861972,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,946598400,"{'value': 29000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كالفين باسي', 'hi': 'केल्विन बैसी', 'bn': 'ক্যালভিন বাসসি'}, 'shortNameTranslation': {'ar': 'ك. باسي', 'hi': 'सी. बैसी', 'bn': 'সি. বাসসি'}}",82.0,74.0,10.0,6.0,43.0,46.0,31.0,37.0,6.0,,,,90.0,95.0,7.0,10.0,0.0296931,"{'original': 7, 'alternative': 6.9}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,1.0,5.0,4.0,2.0,5.0,,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2925,M,,803174,"{'alpha2': 'US', 'alpha3': 'USA', 'name': 'USA', 'slug': 'usa'}",EUR,870998400,"{'value': 32000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أنتوني روبنسون', 'hi': 'एंटोनी रॉबिन्सन', 'bn': 'অ্যান্টনি রবিনসন'}, 'shortNameTranslation': {'ar': 'أ. روبنسون', 'hi': 'ए. रॉबिन्सन', 'bn': 'এ. রবিনসন'}}",39.0,27.0,9.0,4.0,11.0,15.0,18.0,29.0,3.0,,,,83.0,73.0,7.0,19.0,0.258095,"{'original': 7, 'alternative': 6.9}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,1.0,5.0,5.0,1.0,3.0,,2.0,1.0,1.0,2.0,5.0,1.0,,2.0,,3.0,2.0,,,,0.0068,,2.0,,,,,1.0,,0.3583,,,,
João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16675,M,Palhinha,364612,"{'alpha2': 'PT', 'alpha3': 'PRT', 'name': 'Portugal', 'slug': 'portugal'}",EUR,805248000,"{'value': 23000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'جواو بالينيا', 'hi': 'जोआओ पालहिन्हा', 'bn': 'জোয়াও পালহিনহা'}, 'shortNameTranslation': {'ar': 'ج. بالينيا', 'hi': 'जे. पालहिन्हा', 'bn': 'জে. পলহিনহা'}}",51.0,44.0,7.0,3.0,30.0,31.0,14.0,20.0,8.0,,,,90.0,66.0,6.9,9.0,0.01333,"{'original': 6.9, 'alternative': 6.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,,,3.0,7.0,2.0,4.0,1.0,4.0,4.0,1.0,,,,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,1.0
Tom Cairney,tom-cairney,T. Cairney,M,10,185,480,M,,82566,"{'alpha2': 'SX', 'alpha3': 'SCO', 'name': 'Scotland', 'slug': 'scotland'}",EUR,664329600,"{'value': 795000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'توم كايرني', 'hi': 'टॉम केर्नी', 'bn': 'টম কেয়ারনে'}, 'shortNameTranslation': {'ar': 'ت. كايرني', 'hi': 'टी. केर्नी', 'bn': 'টি. কেয়ারনে'}}",75.0,70.0,2.0,1.0,34.0,35.0,36.0,41.0,3.0,,,,83.0,87.0,7.1,9.0,0.101215,"{'original': 7.1, 'alternative': 7}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,True,,1.0,2.0,5.0,1.0,,3.0,3.0,2.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,
Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1202,M,,151499,"{'alpha2': 'JM', 'alpha3': 'JAM', 'name': 'Jamaica', 'slug': 'jamaica'}",EUR,728611200,"{'value': 1400000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'بوبي ديكوردوفا-ريد', 'hi': 'बॉबी डेकोर्डोवा-रीड', 'bn': 'ববি ডেকোরডোভা-রিড'}, 'shortNameTranslation': {'ar': 'ب. ريد', 'hi': 'बी. डेकोर्डोवा-रीड', 'bn': 'বি. রিড'}}",37.0,28.0,,,6.0,8.0,22.0,31.0,3.0,,,,73.0,48.0,6.5,15.0,0.0342944,"{'original': 6.5, 'alternative': 6.3}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,3.0,1.0,1.0,,1.0,,1.0,,2.0,,,3.0,,3.0,2.0,,1.0,,0.044,,,,,,,,,,,,,
Andreas Pereira,andreas-pereira,A. Pereira,M,18,177,13772,M,andreaspereira,285949,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,820454400,"{'value': 14500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}, 'shortNameTranslation': {'ar': 'أندرياس بيريرا', 'hi': 'एंड्रियास परेरा', 'bn': 'আন্দ্রেয়াস পেরেইরা'}}",37.0,32.0,3.0,2.0,12.0,13.0,21.0,30.0,5.0,,,,83.0,50.0,6.9,13.0,0.0620914,"{'original': 6.9, 'alternative': 6.8}",1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,2.0,,5.0,3.0,,,,,,1.0,2.0,6.0,1.0,,1.0,,3.0,2.0,,,1.0,0.0269,,1.0,,,,,1.0,,0.1406,,,,
Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,7053,M,alexanderiwobi,352770,"{'alpha2': 'NG', 'alpha3': 'NGA', 'name': 'Nigeria', 'slug': 'nigeria'}",EUR,831081600,"{'value': 26000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'أليكس إيووبي', 'hi': 'एलेक्स इवोबी', 'bn': 'অ্যালেক্স ইওবি'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'hi': 'ए. इवोबी', 'bn': 'এ. ইওবি'}}",53.0,42.0,6.0,1.0,15.0,17.0,27.0,41.0,8.0,,,,90.0,69.0,6.8,20.0,0.0613049,"{'original': 6.8, 'alternative': 6.5}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,1.0,,4.0,4.0,,,1.0,1.0,1.0,1.0,,5.0,2.0,,2.0,,3.0,3.0,,,,,,,,,,,,,,,,,
Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4513,M,RodrigoMuniz019,1015256,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,988934400,"{'value': 27000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'رودريغو مونيز', 'hi': 'रोड्रिगो मुनिज़', 'bn': 'রদ্রিগো মুনিজ'}, 'shortNameTranslation': {'ar': 'ر. مونيز', 'hi': 'आर. मुनिज़', 'bn': 'আর. মুনিজ'}}",15.0,10.0,,,5.0,6.0,5.0,9.0,2.0,,,,90.0,32.0,6.8,10.0,0.0276738,"{'original': 6.8, 'alternative': 6.7}",4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,False,False,7.0,4.0,11.0,8.0,,1.0,,,,1.0,,,1.0,1.0,2.0,,3.0,1.0,,3.0,3.0,0.1615,,,,,,,1.0,,0.0772,,,,
Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2324,M,,329417,"{'alpha2': 'BE', 'alpha3': 'BEL', 'name': 'Belgium', 'slug': 'belgium'}",EUR,818121600,"{'value': 9500000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'تيموثي كاستاني', 'hi': 'टिमोथी कास्टेग्ने', 'bn': 'টিমোথি কাস্টেন'}, 'shortNameTranslation': {'ar': 'ت. كاستاني', 'hi': 'टी. कास्टेग्ने', 'bn': 'টি. কাস্টেন'}}",5.0,5.0,,,2.0,2.0,3.0,4.0,,,,,17.0,11.0,6.3,2.0,0.00212668,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
Harry Wilson,harry-wilson,H. Wilson,M,8,173,4052,M,,355528,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,858988800,"{'value': 22000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاري ويلسون', 'hi': 'हैरी विल्सन', 'bn': 'হ্যারি উইলসন'}, 'shortNameTranslation': {'ar': 'ه. ويلسون', 'hi': 'एच. विल्सन', 'bn': 'এইচ. উইলসন'}}",8.0,5.0,,,1.0,1.0,4.0,7.0,,,,,17.0,10.0,6.0,4.0,0.00062003,"{'original': 6, 'alternative': 5.8}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,3.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177,1471,M,,788170,"{'alpha2': 'SN', 'alpha3': 'SEN', 'name': 'Senegal', 'slug': 'senegal'}",EUR,852249600,"{'value': 1100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'فودي بالو توريه', 'hi': 'फ़ोडे बल्लो-टूरे', 'bn': 'ফোডে ব্যালো-টোরে'}, 'shortNameTranslation': {'ar': 'ف. بالو توريه', 'hi': 'एफ. बल्लो-टूरे', 'bn': 'এফ. বাল্লো-টোরে'}}",8.0,7.0,1.0,1.0,6.0,6.0,1.0,2.0,,,,,14.0,11.0,6.4,2.0,0.00080857,"{'original': 6.4, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saša Lukić,sasa-lukic,S. Lukić,M,20,183,2089,M,,371222,"{'alpha2': 'RS', 'alpha3': 'SRB', 'name': 'Serbia', 'slug': 'serbia'}",EUR,839894400,"{'value': 11300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ساسا لوكيتش', 'hi': 'साशा लुकीच', 'bn': 'সাসা লুকিচ'}, 'shortNameTranslation': {'ar': 'س. لوكيتش', 'hi': 'एस. लुकीच', 'bn': 'এস. লুকিচ'}}",11.0,10.0,1.0,,6.0,6.0,4.0,6.0,,,,,14.0,12.0,6.3,2.0,0.00202981,"{'original': 6.3, 'alternative': 6.3}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190,4988,M,,891920,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,796089600,"{'value': 4900000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'كارلوس فينيسيوس', 'hi': 'कार्लोस विनीसियस', 'bn': 'কার্লোস ভিনিসিয়াস'}, 'shortNameTranslation': {'ar': 'ك. فينيسيوس', 'hi': 'सी. विनीसियस', 'bn': 'সি. ভিনিসিয়াস'}}",4.0,4.0,,,2.0,2.0,2.0,2.0,1.0,,,,14.0,4.0,6.4,,0.00501624,"{'original': 6.4, 'alternative': 6.4}",0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marek Rodák,marek-rodak,M. Rodák,G,1,188,425,M,,358694,"{'alpha2': 'SK', 'alpha3': 'SVK', 'name': 'Slovakia', 'slug': 'slovakia'}",EUR,850435200,"{'value': 3100000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'ماريك روداك', 'hi': 'मारेक रोडाक', 'bn': 'মারেক রডাক'}, 'shortNameTranslation': {'ar': 'م. روداك', 'hi': 'एम. रोडाक', 'bn': 'এম. রডাক'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issa Diop,issa-diop,I. Diop,D,31,194,855,M,,825719,"{'alpha2': 'FR', 'alpha3': 'FRA', 'name': 'France', 'slug': 'france'}",EUR,852768000,"{'value': 10300000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'عيسى ديوب', 'hi': 'इस्सा डियोप', 'bn': 'ইসা ডিওপ'}, 'shortNameTranslation': {'ar': 'ع. ديوب', 'hi': 'आई. डियोप', 'bn': 'আই. ডিওপ'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Reed,harrison-reed,H. Reed,M,6,176,269,M,,365802,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,791164800,"{'value': 3200000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'هاريسون ريد', 'hi': 'हैरिसन रीड', 'bn': 'হ্যারিসন রিড'}, 'shortNameTranslation': {'ar': 'ه. ريد', 'hi': 'एच. रीड', 'bn': 'এইচ. রিড'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Harris,luke-harris,L. Harris,M,12,177,230,M,,1134729,"{'alpha2': 'WA', 'alpha3': 'WAL', 'name': 'Wales', 'slug': 'wales'}",EUR,1112486400,"{'value': 1000000, 'currency': 'EUR'}","{'nameTranslation': {'ar': 'لوك هاريس', 'hi': 'ल्यूक हैरिस', 'bn': 'লুক হ্যারিস'}, 'shortNameTranslation': {'ar': 'ل. هاريس', 'hi': 'एल. हैरिस', 'bn': 'এল. হ্যারিস'}}",,,,,,,,,,,,,,,,,,,0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",away,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
