period,time_remaining,home_score,away_score,score_diff,clock,action_number,game_id,home_team,away_team
1,360,20,13,7,PT05M59.00S,83,0022300001,Pacers,Cavaliers
1,0,36,26,10,PT00M00.00S,177,0022300001,Pacers,Cavaliers
2,360,48,41,7,PT06M44.00S,250,0022300001,Pacers,Cavaliers
2,0,70,53,17,PT00M00.00S,349,0022300001,Pacers,Cavaliers
3,360,76,69,7,PT05M46.00S,433,0022300001,Pacers,Cavaliers
3,280,79,74,5,PT04M49.00S,440,0022300001,Pacers,Cavaliers
3,120,84,85,-1,PT01M53.00S,474,0022300001,Pacers,Cavaliers
3,0,88,87,1,PT00M00.00S,495,0022300001,Pacers,Cavaliers
4,300,108,105,3,PT04M57.00S,575,0022300001,Pacers,Cavaliers
4,180,113,110,3,PT02M46.00S,600,0022300001,Pacers,Cavaliers
4,60,117,114,3,PT00M17.70S,628,0022300001,Pacers,Cavaliers
4,30,117,114,3,PT00M17.70S,628,0022300001,Pacers,Cavaliers
1,360,16,15,1,PT05M57.00S,62,0022300002,Bucks,Knicks
1,0,21,25,-4,PT00M00.00S,152,0022300002,Bucks,Knicks
2,360,40,36,4,PT05M57.00S,236,0022300002,Bucks,Knicks
2,0,56,46,10,PT00M00.00S,342,0022300002,Bucks,Knicks
3,360,65,60,5,PT06M11.00S,404,0022300002,Bucks,Knicks
3,280,68,62,6,PT04M26.00S,433,0022300002,Bucks,Knicks
3,120,76,71,5,PT02M00.00S,463,0022300002,Bucks,Knicks
3,0,82,76,6,PT00M00.00S,494,0022300002,Bucks,Knicks
4,300,99,95,4,PT04M33.00S,613,0022300002,Bucks,Knicks
4,180,101,97,4,PT02M55.00S,632,0022300002,Bucks,Knicks
4,60,104,103,1,PT01M03.00S,654,0022300002,Bucks,Knicks
4,30,106,103,3,PT00M37.90S,658,0022300002,Bucks,Knicks
1,360,18,21,-3,PT06M01.00S,62,0022300003,Heat,Wizards
1,0,34,34,0,PT00M00.00S,134,0022300003,Heat,Wizards
2,360,52,46,6,PT05M55.00S,213,0022300003,Heat,Wizards
2,0,60,54,6,PT00M00.00S,289,0022300003,Heat,Wizards
3,360,78,64,14,PT06M04.00S,351,0022300003,Heat,Wizards
3,280,83,67,16,PT04M43.00S,367,0022300003,Heat,Wizards
3,120,91,76,15,PT01M52.00S,413,0022300003,Heat,Wizards
3,0,101,81,20,PT00M00.00S,441,0022300003,Heat,Wizards
4,300,115,100,15,PT05M00.00S,530,0022300003,Heat,Wizards
4,180,117,107,10,PT02M33.00S,573,0022300003,Heat,Wizards
4,60,121,109,12,PT01M05.00S,591,0022300003,Heat,Wizards
4,30,121,110,11,PT00M37.10S,598,0022300003,Heat,Wizards
1,360,20,19,1,PT05M57.00S,50,0022300004,Bulls,Nets
1,0,30,35,-5,PT00M00.00S,133,0022300004,Bulls,Nets
2,360,43,45,-2,PT05M48.00S,226,0022300004,Bulls,Nets
2,0,58,59,-1,PT00M00.00S,290,0022300004,Bulls,Nets
3,360,70,67,3,PT05M59.00S,362,0022300004,Bulls,Nets
3,280,74,69,5,PT04M36.00S,379,0022300004,Bulls,Nets
3,120,76,74,2,PT01M51.00S,422,0022300004,Bulls,Nets
3,0,80,78,2,PT00M00.00S,438,0022300004,Bulls,Nets
